last_first,description,born,died,birthplace,birth_city,birth_state,deathplace,artist_type,wikidata_description,name,creator_string
Yao Zhongbao,"-1924, born Beijing, China",,1924,Q956,Beijing, China,,painter,painter,Yao Zhongbao,"['Yao Zhongbao (-1924, born Beijing, China)']"
"Andriani, Andrea","Italian, 1584-1610",1584,1610,,,,,printmaker,Italian printmaker,Andrea Andriani,"['Andriani, Andrea (Italian, 1584-1610)']"
"Hond, Hendrik",1588-1658,1588,1658,,,,,printmaker,printmaker,Hendrik Hond,"['Hond, Hendrik (1588-1658)']"
"Wierix, Anton, III","Flemish printmaker, 1596-1624",1596,1624,,,,,printmaker,Flemish printmaker,Anton Wierix III,"['Wierix, Anton, III (Flemish printmaker, 1596-1624)']"
"Unkoku,Tōteki",1606-1664,1606,1664,,,,,painter,painter,Tōteki Unkoku,"['Unkoku,Tōteki (1606-1664)']"
Kanō Yashunobu,"Japanese painter, 1613-1685",1613,1685,,,,,painter,Japanese painter,Kanō Yashunobu,"['Kanō Yashunobu (Japanese painter, 1613-1685)']"
"Weyen, Herman",1643-1672,1643,1672,,,,,printmaker,printmaker,Herman Weyen,"['Weyen, Herman (1643-1672)']"
"Watanabe, Shugaku",1644-1734,1644,1734,,,,,painter,painter,Shugaku Watanabe,"['Watanabe, Shugaku (1644-1734)']"
"Shigemasa, Kitabatake",1739-1820,1739,1820,,,,,book artist,book artist,Kitabatake Shigemasa,"['Shigemasa, Kitabatake  (1739-1820)']"
"Bregeon, Angélique",1743-1782,1743,1782,,,,,printmaker,printmaker,Angélique Bregeon,"['Bregeon, Angélique (1743-1782)']"
Baisetsudo,1751-1764,1751,1764,,,,,book artist,book artist,Baisetsudo,['Baisetsudo (1751-1764)']
"Couche, Jacques","b. 1759, born Abbeville",1759,,Q28520,Abbeville,,,printmaker,printmaker,Jacques Couche,"['Couche, Jacques (b. 1759, born Abbeville)']"
Soken,"Japanese painter, 1759-1818",1759,1818,,,,,book artist,Japanese painter,Soken,"['Soken (Japanese painter, 1759-1818)']"
"Ryuryukyo, Shinsai",1764-1820,1764,1820,,,,,printmaker,printmaker,Shinsai Ryuryukyo,"['Ryuryukyo, Shinsai  (1764-1820)']"
"Toykuni, Utagawa",1769-1825,1769,1825,,,,,printmaker,printmaker,Utagawa Toykuni,"['Toykuni, Utagawa  (1769-1825)']"
Franz Hansftangl,1804-1877,1804,1877,,,,,printmaker,printmaker,Franz Hansftangl,['Franz Hansftangl (1804-1877)']
"Turner, F.C.",1810-1846,1810,1846,,,,,printmaker,printmaker,F.C. Turner,"['Turner, F.C. and Beckwith, Henry (1810-1846)']"
"Rothermil, P.F.",1817-1895,1817,1895,,,,,painter,painter,P.F. Rothermil,"['Rothermil, P.F. (1817-1895)']"
"Schlegel, Friedrich August","German artist, born 1828",1828,,,,,,painter,German artist,Friedrich August Schlegel,"['Schlegel, Friedrich August (German artist, born 1828)']"
"Brees, S. C.",1832-1837,1832,1837,,,,,printmaker,printmaker,S. C. Brees,"['Brees, S. C. and Harden, S. Melville (1832-1837, 1837-1879 )']"
"Sugawara, Hakuryu","1833-1898, born Uzen Province, Japan",1833,1898,Q1192050,Uzen Province, Japan,,painter,painter,Hakuryu Sugawara,"['Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)']"
"Young, August M.",1837-1913,1837,1913,,,,,painter,painter,August M. Young,"['Young, August M. (1837-1913)']"
"Bourne, Jean-Baptiste-Clement",1844-1866,1844,1866,,,,,printmaker,printmaker,Jean-Baptiste-Clement Bourne,"['Bourne, Jean-Baptiste-Clement (1844-1866)']"
"Carsen, Emil Soren",1848-1932,1848,1932,,,,,painter,painter,Emil Soren Carsen,"['Carsen, Emil Soren (1848-1932)']"
Kunisada,"Japanese woodcutter and graphic artist, 1848-1920",1848,1920,,,,,printmaker,Japanese woodcutter and graphic artist,Kunisada,"['Kunisada (Japanese woodcutter and graphic artist, 1848-1920)']"
"Schmidt-Felling, Hans",1854-1910,1854,1910,,,,,sculptor,sculptor,Hans Schmidt-Felling,"['Schmidt-Felling, Hans (1854-1910)']"
Chikuyodo,1860-1890,1860,1890,,,,,printmaker,printmaker,Chikuyodo,['Chikuyodo (1860-1890)']
"Kikuchi, Tsunejiro",Kilauchi Hobun,1862,1918,,,,,book artist,book artist,Tsunejiro Kikuchi,"['Kikuchi, Tsunejiro (Kilauchi Hobun) (1862-1918)']"
"Ellsworth, Young","American painter, 1866-1952",1866,1952,,,,,printmaker,American painter,Young Ellsworth,"['Ellsworth, Young (American painter, 1866-1952)']"
"Orr, Arthur Anselm","English glass painter and draftsman, 1868-1949",1868,1949,,,,,painter,English glass painter and draftsman,Arthur Anselm Orr,"['Orr, Arthur Anselm (English glass painter and draftsman, 1868-1949)', 'Orr, Arthur']"
"Tsuchiya, Kōitsu",1870-1949,1870,1949,,,,,printmaker,printmaker,Kōitsu Tsuchiya,"['Tsuchiya, Kōitsu (1870-1949)', 'Tsuchiya , Kōitsu (1870-1949)']"
"St. John, James Allen",1872-1957,1872,1957,,,,,printmaker,printmaker,James Allen St. John,"['St. John, James Allen  (1872-1957)']"
"Nussbaum, Jacob",1873-1934,1873,1934,,,,,printmaker,printmaker,Jacob Nussbaum,"['Nussbaum, Jacob (1873-1934)']"
"Mueller, Richard",1874-1954,1874,1954,,,,,printmaker,printmaker,Richard Mueller,"['Mueller, Richard (1874-1954)']"
"Dzubas, Wilhelm",1877-1947,1877,1947,,,,,artist,artist,Wilhelm Dzubas,"['Dzubas, Wilhelm (1877-1947)']"
"Masuda, Gyokujo",1881-1955,1881,1955,,,,,painter,painter,Gyokujo Masuda,"['Masuda, Gyokujo (1881-1955)']"
"Branson, Bernice M.",1882-1936,1882,1936,,,,,printmaker,printmaker,Bernice M. Branson,"['Branson, Bernice M. (1882-1936)']"
"Warner, Earl A.",1883-1918,1883,1918,,,,,drawer,drawer,Earl A. Warner,"['Warner, Earl A. (1883-1918)']"
"Pittman, A. Ross",1883-1969,1883,1969,,,,,printmaker,printmaker,A. Ross Pittman,"['Pittman, A. Ross (1883-1969)']"
"Laurencian, Marie",1885-1956,1885,1956,,,,,printmaker,printmaker,Marie Laurencian,"['Laurencian, Marie (1885-1956)']"
"Harris, Lawrence",1885-1970,1885,1970,,,,,printmaker,printmaker,Lawrence Harris,"['Harris, Lawrence  (1885-1970)']"
"Young, William Crawford","American illustrator, born 1886, active 1940",1886,,,,,,printmaker,"American illustrator, active 1940",William Crawford Young,"['Young, William Crawford (American illustrator, born 1886, active 1940)']"
Alfred Orr,"American painter, graphic designer, and illustrator, born 1886",1886,,,,,,printmaker,"American painter, graphic designer, and illustrator",Alfred Orr,"['Alfred Orr (American painter, graphic designer, and illustrator, born 1886)']"
"Wire, Melville Thomas","American painter and printmaker, 1887-1966",1887,1966,,,,,painter,American painter and printmaker,Melville Thomas Wire,"['Wire, Melville Thomas (American painter and printmaker, 1887-1966)']"
"Melbourne, Montgomery",1893-1970,1893,1970,,,,,printmaker,printmaker,Montgomery Melbourne,"['Melbourne, Montgomery (1893-1970)']"
"Würbel, Franz",1896-,1896,,,,,,printmaker,printmaker,Franz Würbel,"['Würbel, Franz (1896-)']"
"MacLean, William",1897-1977,1897,1977,,,,,printmaker,printmaker,William MacLean,"['MacLean, William (1897-1977)']"
"Mittelman, Ann",1898-1996,1898,1996,,,,,painter,painter,Ann Mittelman,"['Mittelman, Ann (1898-1996)']"
"Rosenblum, Sadie Skoletsky","American painter and sculptor, 1899-1982",1899,1982,,,,,painter,American painter and sculptor,Sadie Skoletsky Rosenblum,"['Rosenblum, Sadie Skoletsky (American painter and sculptor, 1899-1982)']"
"Hebert, Frances Marian","American, 1899-1960",1899,1960,,,,,printmaker,American,Frances Marian Hebert,"['Hebert, Frances Marian (American, 1899-1960)']"
"Key-Oberg, Rolf","American ceramicist, 1900-1959",1900,1959,,,,,artist,American ceramicist,Rolf Key-Oberg,"['Key-Oberg, Rolf (American ceramicist, 1900-1959)']"
"Merrick, James Kirk",1905-1985,1905,1985,,,,,printmaker,printmaker,James Kirk Merrick,"['Merrick, James Kirk  (1905-1985)']"
"Mims, Thomas Puryear","American sculptor, 1906-1975",1906,1975,,,,,sculptor,American sculptor,Thomas Puryear Mims,"['Mims, Thomas Puryear (American sculptor, 1906-1975)']"
"Walker, W. H.","British watercolorist and illustrator, 1906-1926",1906,1926,,,,,printmaker,British watercolorist and illustrator,W. H. Walker,"['Walker, W. H. (British watercolorist and illustrator, 1906-1926)']"
"Sanh, Phillipe","1908-, born Indo-China",1908,,Q43467,,Indo-China,,painter,painter,Phillipe Sanh,"['Sanh, Phillipe (1908-, born Indo-China)', 'Sanh, Phillipe (1908-)']"
"Storm, La Rue","1908-, born Miami, FL",1908,,Q8652,Miami, FL,,painter,painter,La Rue Storm,"['Storm, La Rue (1908-, born Miami, FL)']"
"Levy, Tibbie",1908-,1908,,,,,,painter,painter,Tibbie Levy,"['Levy, Tibbie (1908-)']"
"Sanh, Georges","1909-, born Hanoi, Vietnam",1909,,Q1858,Hanoi, Vietnam,,painter,painter,Georges Sanh,"['Sanh, Georges (1909-, born Hanoi, Vietnam)']"
"Pei-Zhi, Lei",1909-1985,1909,1985,,,,,painter,painter,Lei Pei-Zhi,"['Pei-Zhi, Lei (1909-1985)']"
"McPharlin, Vincent","1910-1985, born Hastings, MI",1910,1985,Q2544149,Hastings, MI,,painter,painter,Vincent McPharlin,"['McPharlin, Vincent (1910-1985, born Hastings, MI)']"
"Judson, Jeanette Alexander",1912-2002,1912,2002,,,,,painter,painter,Jeanette Alexander Judson,"['Judson, Jeanette Alexander (1912-2002)']"
"Handly, Avery",1913-1958,1913,1958,,,,,painter,painter,Avery Handly,"['Handly, Avery (1913-1958)']"
Su-chin Wen Chen,"1914-, born Wu-hsing, Chekiang Province, China",1914,,Q16967,Wu-hsing," Chekiang Province, China",,painter,painter,Su-chin Wen Chen,"['Su-chin Wen Chen (1914-, born Wu-hsing, Chekiang Province, China)']"
"Floris, Marcel",1914-2007,1914,2007,,,,,printmaker,printmaker,Marcel Floris,"['Floris, Marcel (1914-2007)']"
"Gyra, Francis Joseph, Jr.",1914-2007,1914,2007,,,,,painter,painter,"Francis Joseph Gyra, Jr.","['Gyra, Francis Joseph, Jr. (1914-2007)']"
"Gutiérrez, Francisco","1915-1945, born Oaxaca, Mexico",1915,1945,Q34110,Oaxaca, Mexico,,printmaker,printmaker,Francisco Gutiérrez,"['Gutiérrez, Francisco (1915-1945, born Oaxaca, Mexico)']"
"Moore, Beveridge","1915-2004, born Richmond, VA",1915,2004,Q43421,Richmond, VA,,painter,painter,Beveridge Moore,"['Moore, Beveridge (1915-2004, born Richmond, VA)']"
"Holly, Gerald","1917-2004, born Lewisburg, TN",1917,2004,Q2355638,Lewisburg, TN,,photographer,photographer,Gerald Holly,"['Holly, Gerald (1917-2004, born Lewisburg, TN)']"
"Mabuchi, Toru","1920-1994, born Tokyo, Japan",1920,1994,Q1490,Tokyo, Japan,,printmaker,printmaker,Toru Mabuchi,"['Mabuchi, Toru (1920-1994, born Tokyo, Japan)']"
"Zirin, Nola","1920-, born New York, NY",1920,,Q60,New York, NY,,printmaker,printmaker,Nola Zirin,"['Zirin, Nola (1920-, born New York, NY)']"
"Johnston, Yves",1920-,1920,,,,,,printmaker,printmaker,Yves Johnston,"['Johnston, Yves (1920-)']"
"Perdikitis, Dimitri","1922-, born Athens, Greece",1922,,Q1524,Athens, Greece,,painter,painter,Dimitri Perdikitis,"['Perdikitis, Dimitri (1922-, born Athens, Greece)']"
"Rue, De La","1922-, born Paris, France",1922,,Q90,Paris, France,,painter,painter,De La Rue,"['Rue, De La (1922-, born Paris, France)']"
"Scharf, Ralph H.","1923-1993, born Chicago, IL",1923,1993,Q1297,Chicago, IL,,printmaker,printmaker,Ralph H. Scharf,"['Scharf, Ralph H. (1923-1993, born Chicago, IL)']"
"Phillips, Gray","1923-2005, born Chattanooga, TN, died Pacific Palisades, CA",1923,2005,Q186702,Chattanooga, TN,Q1370207,painter,painter,Gray Phillips,"['Phillips, Gray (1923-2005, born Chattanooga, TN, died Pacific Palisades, CA)']"
"Stark, George King","1923-1992, born Schenectady, NY, died Granby, NY",1923,1992,Q331380,Schenectady, NY,Q3708437,sculptor,sculptor,George King Stark,"['Stark, George King (1923-1992, born Schenectady, NY, died Granby, NY)']"
"Lacey, Ninon","1923-, born New Hampshire",1923,,Q759,New Hampshire,,,printmaker,printmaker,Ninon Lacey,"['Lacey, Ninon (1923-, born New Hampshire)']"
"Mauke, Rudolf","German artist, born 1924",1924,,,,,,painter,German artist,Rudolf Mauke,"['Mauke, Rudolf (German artist, born 1924)']"
"Ubeda, Augustin","Spanish artist, born 1925",1925,,,,,,painter,Spanish artist,Augustin Ubeda,"['Ubeda, Augustin (Spanish artist, born 1925)']"
"Loberg, Robert W.","1927-1999, born Chicago, IL",1927,1999,Q1297,Chicago, IL,,painter,painter,Robert W. Loberg,"['Loberg, Robert W. (1927-1999, born Chicago, IL)']"
"Cohen, Jean","1927-2013, born Brooklyn, NY, died Long Island, NY",1927,2013,Q18419,Brooklyn, NY,Q18438,printmaker,printmaker,Jean Cohen,"['Cohen, Jean (1927-2013, born Brooklyn, NY, died Long Island, NY)', 'Cohen, Jean (1927-2013, born New York, NY, died Long Island, NY)']"
"Tur Costa, Rafael","1927-, born Santa Eulalia, Ibiza, Spain",1927,,Q24009589,Santa Eulalia," Ibiza, Spain",,drawer,drawer,Rafael Tur Costa,"['Tur Costa, Rafael (1927-, born Santa Eulalia, Ibiza, Spain)']"
"Bryant, Olen","1927-2017, born Cookeville, TN",1927,2017,Q2456192,Cookeville, TN,,sculptor,sculptor,Olen Bryant,"['Bryant, Olen (1927-2017, born Cookeville, TN)']"
"Reika, Iwami",1927-1989,1927,1989,,,,,printmaker,printmaker,Iwami Reika,"['Reika, Iwami (1927-1989)']"
"Blakstad, Rolph","1929-, born Vancouver, Canada",1929,,Q24639,Vancouver, Canada,,printmaker,printmaker,Rolph Blakstad,"['Blakstad, Rolph (1929-, born Vancouver, Canada)']"
"Schwarz, Joseph","American painter, born 1929",1929,,,,,,painter,American painter,Joseph Schwarz,"['Schwarz, Joseph (American painter, born 1929)']"
"Carone, Matthew","1930-, born New Jersey",1930,,Q1408,New Jersey,,,painter,painter,Matthew Carone,"['Carone, Matthew (1930-, born New Jersey)', 'Carone, Matthew']"
"Starowieysky, Franciszek","1930-, born Bratkówka, Poland",1930,,Q2070933,Bratkówka, Poland,,printmaker,printmaker,Franciszek Starowieysky,"['Starowieysky, Franciszek (1930-, born Bratkówka, Poland)']"
"Hauser, Robert",1930,1930,,,,,,printmaker,printmaker,Robert Hauser,"['Hauser, Robert (1930)']"
"Loy, William",1930-,1930,,,,,,printmaker,printmaker,William Loy,"['Loy, William (1930-)']"
"Darnaud, Maxime","1931-, born Lyon, France",1931,,Q456,Lyon, France,,painter,painter,Maxime Darnaud,"['Darnaud, Maxime (1931-, born Lyon, France)']"
"Pounders, Alfred J.",1931-,1931,,,,,,painter,painter,Alfred J. Pounders,"['Pounders, Alfred J. (1931-)']"
"Wilson, Thomas Zvi",1931-,1931,,,,,,painter,painter,Thomas Zvi Wilson,"['Wilson, Thomas Zvi (1931-)']"
"Bush, Claire","1933-, born Pocono Lake, PA",1933,,Q16898647,Pocono Lake, PA,,painter,painter,Claire Bush,"['Bush, Claire (1933-, born Pocono Lake, PA)']"
"Pagliari, Giorgio","1933-2015, born Rome, Italy, died Ibiza, Spain",1933,2015,Q220,Rome, Italy,Q52631,printmaker,printmaker,Giorgio Pagliari,"['Pagliari, Giorgio (1933-2015, born Rome, Italy, died Ibiza, Spain)', 'Pagliari, Giorgio (1933-, born Rome, Italy)']"
"Bonifacio, Alfonso Gomez",1933-2011,1933,2011,,,,,printmaker,printmaker,Alfonso Gomez Bonifacio,"['Bonifacio, Alfonso Gomez (1933-2011)']"
"Anthony, Lawrence",1934-,1934,,,,,,sculptor,sculptor,Lawrence Anthony,"['Anthony, Lawrence (1934-)']"
"Legge, Willow",1934-,1934,,,,,,book artist,book artist,Willow Legge,"['Legge, Willow (1934-)']"
"Burg, Patricia Jean","Canadian artist, born 1934",1934,,,,,,printmaker,Canadian artist,Patricia Jean Burg,"['Burg, Patricia Jean (Canadian artist, born 1934)']"
"Huggins, Victor","1936-, born Durham, NC",1936,,Q49229,Durham, NC,,printmaker,printmaker,Victor Huggins,"['Huggins, Victor (1936-, born Durham, NC)', 'Huggins, Victor  (1936-)', 'Huggins, Victor (1936-)']"
"Cameron, Don",1936-,1936,,,,,,printmaker,printmaker,Don Cameron,"['Cameron, Don (1936-)']"
"Putten, Henk van","Dutch sculptor, born 1936",1936,,,,,,printmaker,Dutch sculptor,Henk van Putten,"['Putten, Henk van (Dutch sculptor, born 1936)']"
"Teixidor, Ferran","Spanish painter, born 1936",1936,,,,,,printmaker,Spanish painter,Ferran Teixidor,"['Teixidor, Ferran (Spanish painter, born 1936)']"
"Magnan, Oscar","1937-, born Cienfuegos, Cuba",1937,,Q190005,Cienfuegos, Cuba,,printmaker,printmaker,Oscar Magnan,"['Magnan, Oscar (1937-, born Cienfuegos, Cuba)']"
"Quijada, Robert","American artist, 1937-1994",1937,1994,,,,,painter,American artist,Robert Quijada,"['Quijada, Robert (American artist, 1937-1994)']"
"Garman, Michael",1938-,1938,,,,,,sculptor,sculptor,Michael Garman,"['Garman, Michael (1938-)']"
"Schlosser, Adolf",1939-,1939,,,,,,printmaker,printmaker,Adolf Schlosser,"['Schlosser, Adolf (1939-)']"
"Vail, Clover","American painter, born 1939",1939,,,,,,printmaker,American painter,Clover Vail,"['Vail, Clover (American painter, born 1939)']"
"Pfnür, Rainer","German artist, born 1939",1939,,,,,,printmaker,German artist,Rainer Pfnür,"['Pfnür, Rainer (German artist, born 1939)']"
"Vilà, Miquel","1940-, born Barcelona, Spain",1940,,Q1492,Barcelona, Spain,,printmaker,printmaker,Miquel Vilà,"['Vilà, Miquel (1940-, born Barcelona, Spain)']"
"Lenerts, Cis",1940,1940,,,,,,printmaker,printmaker,Cis Lenerts,"['Lenerts, Cis (1940)']"
"Acisclo, Manzano",1940-,1940,,,,,,printmaker,printmaker,Manzano Acisclo,"['Acisclo, Manzano (1940-)']"
"Katsuda, Yukio",1941-,1941,,,,,,printmaker,printmaker,Yukio Katsuda,"['Katsuda, Yukio (1941-)']"
Wattana Wattanapun,"Thai painter, born 1941",1941,,,,,,painter,Thai painter,Wattana Wattanapun,"['Wattana Wattanapun (Thai painter, born 1941)']"
"Ideal, Phillis","1942-, born Roswell, NM",1942,,Q33561,Roswell, NM,,printmaker,printmaker,Phillis Ideal,"['Ideal, Phillis (1942-, born Roswell, NM)']"
"Alvarez, Manuel Boix",1942-,1942,,,,,,printmaker,printmaker,Manuel Boix Alvarez,"['Alvarez, Manuel Boix (1942-)']"
"Hansen, Diana R.",1942-,1942,,,,,,printmaker,printmaker,Diana R. Hansen,"['Hansen, Diana R. (1942-)']"
"Puiggros, Pere",1942-,1942,,,,,,printmaker,printmaker,Pere Puiggros,"['Puiggros, Pere (1942-)']"
"Pecsenke, Joseph A.",1942-1989,1942,1989,,,,,printmaker,printmaker,Joseph A. Pecsenke,"['Pecsenke, Joseph A. (1942-1989)']"
"Vanderkooi, Lenore","1943-, born Boston, MA",1943,,Q100,Boston, MA,,ceramic artist,ceramic artist,Lenore Vanderkooi,"['Vanderkooi, Lenore (1943-, born Boston, MA)']"
"Juszczk, James Joseph","1943-, born Chicago, IL",1943,,Q1297,Chicago, IL,,printmaker,printmaker,James Joseph Juszczk,"['Juszczk, James Joseph (1943-, born Chicago, IL)', 'Juszczyk, James Joseph (American painter, born 1943)']"
"Herreyns, Gilbert","1943-, born Uccle, Belgium",1943,,Q203312,Uccle, Belgium,,printmaker,printmaker,Gilbert Herreyns,"['Herreyns, Gilbert (1943-, born Uccle, Belgium)']"
"Kanner, Chaim","1943-2000, born Nice, France",1943,2000,Q33959,Nice, France,,photographer,photographer,Chaim Kanner,"['Kanner, Chaim (1943-2000, born Nice, France)']"
"Gualdoni, Daniel",1943-,1943,,,,,,printmaker,printmaker,Daniel Gualdoni,"['Gualdoni, Daniel (1943-)']"
"Shapiro, David","American painter and printmaker, born 1943",1943,,,,,,drawer,American painter and printmaker,David Shapiro,"['Shapiro, David (American painter and printmaker, born 1943)']"
"Smyth, David","American painter, born 1943",1943,,,,,,printmaker,American painter,David Smyth,"['Smyth, David (American painter, born 1943)']"
"Husein, Faik","1944-2004, born Nasria, Iraq, died New York, NY",1944,2004,Q38811,Nasria, Iraq,Q60,printmaker,printmaker,Faik Husein,"['Husein, Faik (1944-2004, born Nasria, Iraq, died New York, NY)', 'Husein, Faik']"
"Mira, Eduardo",1945-,1945,,,,,,artist,artist,Eduardo Mira,"['Mira, Eduardo (1945-)']"
"Stewart, John P.",1945-,1945,,,,,,printmaker,printmaker,John P. Stewart,"['Stewart, John P. (1945-)']"
"Page, Judith","1946-, born Lexington, KY",1946,,Q49241,Lexington, KY,,sculptor,sculptor,Judith Page,"['Page, Judith (1946-, born Lexington, KY)']"
"Walkup, Kathleen","1946-, born Portland, OR",1946,,Q6106,Portland, OR,,printmaker,printmaker,Kathleen Walkup,"['Walkup, Kathleen  (1946-, born Portland, OR)']"
"Buxkamper, Barry",1946-,1946,,,,,,painter,painter,Barry Buxkamper,"['Buxkamper, Barry (1946-)']"
"Garret, Alvin",1946-,1946,,,,,,printmaker,printmaker,Alvin Garret,"['Garret, Alvin (1946-)']"
"Ross, Elliot","1947-, born Chicago, IL",1947,,Q1297,Chicago, IL,,book artist,book artist,Elliot Ross,"['Ross, Elliot  (1947-, born Chicago, IL)']"
"Lukas, Dennis","1947-, born Hamilton, Ontario",1947,,Q133116,Hamilton, Ontario,,painter,painter,Dennis Lukas,"['Lukas, Dennis (1947-, born Hamilton, Ontario)']"
"Richards, Rosalyn",1947-,1947,,,,,,painter,painter,Rosalyn Richards,"['Richards, Rosalyn (1947-)']"
"Teru, Okada",1947-,1947,,,,,,ceramic artist,ceramic artist,Okada Teru,"['Teru, Okada (1947-)']"
"Albán, Hernan Zúñiga","1948-, born Ambato, Ecuador",1948,,Q210161,Ambato, Ecuador,,printmaker,printmaker,Hernan Zúñiga Albán,"['Albán, Hernan Zúñiga (1948-, born Ambato, Ecuador)']"
"Nesbitt, Dawson",1948-,1948,,,,,,photographer,photographer,Dawson Nesbitt,"['Nesbitt, Dawson (1948-)']"
"Berger, Paul Eric","American photographer and printmaker, born 1948",1948,,,,,,photographer,American photographer and printmaker,Paul Eric Berger,"['Berger, Paul Eric (American photographer and printmaker, born 1948)']"
"Shalala, Edward","1949-, born Cleveland, OH",1949,,Q37320,Cleveland, OH,,printmaker,printmaker,Edward Shalala,"['Shalala, Edward (1949-, born Cleveland, OH)']"
"Wilkinson, Jeanne","1949-, born Duluth, MN",1949,,Q485708,Duluth, MN,,printmaker,printmaker,Jeanne Wilkinson,"['Wilkinson, Jeanne (1949-, born Duluth, MN)']"
"Bolotin, Jay","1949-, born Fayette County, KY",1949,,Q491931,Fayette County, KY,,printmaker,printmaker,Jay Bolotin,"['Bolotin, Jay (1949-, born Fayette County, KY)']"
"Michael, Creighton","American sculptor, born 1949",1949,,,,,,printmaker,American sculptor,Creighton Michael,"['Michael, Creighton (American sculptor, born 1949)']"
"Williams, Mark","1950-, born Pittsburgh, PA",1950,,Q1342,Pittsburgh, PA,,printmaker,printmaker,Mark Williams,"['Williams, Mark (1950-, born Pittsburgh, PA)']"
"Kalmbach, Ann","1950-, born Rochester, NY",1950,,Q49218,Rochester, NY,,printmaker,printmaker,Ann Kalmbach,"['Kalmbach, Ann and Kellner, Tatana (1950-, 1950-, born Rochester, NY; Prague, Czech Republic)']"
