qid,label_en,description_en,exhibitions,ssid,reference_url
Q103309668,The Emancipation Approximation (Scene 5),print by Kara Elizabeth Walker," Disturbing Allegories: New Graphics by Kara Walker (February 8 - March 22, 2001)|
More Than One (Fall 2007)|
Difficult Art and the Liberal Arts Imagination, (September 27 - December 5, 2013)",26758631,https://library.artstor.org/#/asset/26758631
Q105091741,"Disco 3000, from American Abstract Artists 75th Anniversary Print Portfolio",print by Gilbert Hsiao,"""American Abstract Artists 75th Anniversary Print Portfolio"" January 15 - February 27, 2015",26760053,https://library.artstor.org/#/asset/26760053
Q104032751,Untitled,drawing by Antoni Marí Ribas 1996.079,"""Five Centuries of Drawing"",  June 11-September 23, 2010.",26757765,https://library.artstor.org/#/asset/26757765
Q104032750,Untitled,drawing by Antoni Marí Ribas 1996.078,"""Five Centuries of Drawing"",  June 11-September 23, 2010.",26757764,https://library.artstor.org/#/asset/26757764
Q104032747,Untitled,drawing by Antoni Marí Ribas 1996.076,"""Five Centuries of Drawing"",  June 11-September 23, 2010.",26757762,https://library.artstor.org/#/asset/26757762
Q104032855,Untitled,photograph by Harmony Korine 2009.001mm,"""Harmony Korine: Pigxote,"" January 8 - February 26, 2009",26759434,https://library.artstor.org/#/asset/26759434
Q104032854,Untitled,photograph by Harmony Korine 2009.001m,"""Harmony Korine: Pigxote,"" January 8 - February 26, 2009",26759433,https://library.artstor.org/#/asset/26759433
Q104032852,Untitled,photograph by Harmony Korine 2009.001ll,"""Harmony Korine: Pigxote,"" January 8 - February 26, 2009",26759432,https://library.artstor.org/#/asset/26759432
Q104032851,Untitled,photograph by Harmony Korine 2009.001l,"""Harmony Korine: Pigxote,"" January 8 - February 26, 2009",26759431,https://library.artstor.org/#/asset/26759431
Q104032850,Untitled,photograph by Harmony Korine 2009.001kk,"""Harmony Korine: Pigxote,"" January 8 - February 26, 2009",26759430,https://library.artstor.org/#/asset/26759430
Q103299222,Dialectica,print by Georg Pencz,"""Heaven & Earth: The Figure in Religious and Secular Art,"" 3/25-5/12/00
The Allegorical Impulse, (10/17 - 12/5/02)|
The Printed Page: Selections from the Anna C. Hoyt Collection (March 12–May 9, 2009)|
History's Shadow: German Art and the Formulation of Identity, (March 13 - June 5, 2014)",26753397,https://library.artstor.org/#/asset/26753397
Q102970016,Presentation of Jesus in the Temple,print by Michael Wolgemut,"""Heaven & Earth: The Figure in Religious and Secular Art,"" 3/25-5/12/00
The Printed Page (March 12–May 9, 2009)|
History's Shadow: German Art and the Formulation of Identity, (March 13 - June 5, 2014)|
Then & Now: Five Centuries of Woodcuts, (1/10-3/1/2019)",26753398,https://library.artstor.org/#/asset/26753398
Q102961312,A Philosopher,print by Antonio da Trento,"""Light & Shadow: The Chiaroscuro Woodcut,"" June 23 - August 13, 2005",26753412,https://library.artstor.org/#/asset/26753412
Q102966220,"How to Make Love to a Sound, from the Revolutions Per Minute (The Art Record)",print by Douglas Matthew Davis,"""Out of the Vault: Stories of People and Things,"" April 26 - September 9, 2016",26755705,https://library.artstor.org/#/asset/26755705
Q102962043,Being in the Moment,print by Richard Long,"""Reading Pictures: Text and Image in Contemporary Art"" (8/25-9/30/11)",26759056,https://library.artstor.org/#/asset/26759056
Q103308599,Sixth Morning Camp,print by Richard Long,"""Reading Pictures: Text and Image in Contemporary Art"" (8/25-9/30/11)",26759057,https://library.artstor.org/#/asset/26759057
Q106567601,"Songokū Creating an Army from his Fur, The Monkey King Blowing Out Hairs Which Turn Into Warriors, from the series Yoshitoshi ryakuga",print by Tsukioka Yoshitoshi,"""Reflections of War: Selections from the Vanderbilt University Fine Arts Gallery Collection"", March 14-May 13, 2011; January 12-February 26, 2012 for ""Arts of Japan.""",26756412,https://library.artstor.org/#/asset/26756412
Q102967194,"La Notte (Night), from Paesaggi (Landscapes)",print by Mimmo Paladino,"""The Allegorical Impulse,"" 10/17 - 12/5/02",26757567,https://library.artstor.org/#/asset/26757567
Q106577435,Spring,print by Arwed D. Gorella,"""The Allegorical Impulse,"" 10/17 - 12/5/02",26753648,https://library.artstor.org/#/asset/26753648
Q103304602,Lewie Memm or Self-Portrait,print by Sidney Chafetz,"""Then & Now: Five Centuries of Woodcuts,"" 1/10-3/1/2019",26760297,https://library.artstor.org/#/asset/26760297
Q104031922,"Clyde Beatty - Cole Bros. Circus; Nashville Fair Grounds-Saturday, Oct. 8",print by Artist Unknown 1979.1194P,"""Thrills & Chills! The Fantastic World of the American Circus,"" June 11 - September 4, 2015",26755375,https://library.artstor.org/#/asset/26755375
Q104032173,Martin Blinder,photograph by Andy Warhol 2008.065,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26759308,https://library.artstor.org/#/asset/26759308
Q105092221,"The Weight of a Pigeon (Ajanta, India)",photograph by Caleb Cain Marcus,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26759239,https://library.artstor.org/#/asset/26759239
Q105092106,"Smoke and Fog (Udaipur, India)",photograph by Caleb Cain Marcus,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26759240,https://library.artstor.org/#/asset/26759240
Q103298155,"Castelldefels, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756248,https://library.artstor.org/#/asset/26756248
Q103298175,"Catedral de Barcelona, from Fotografias de los Anõs 40, Volumen I",photograph by Joaquim Gomis,"""Wide Angle: Photography and its Influence on Contemporary Art - A Selection from the Vanderbilt University Fine Arts Gallery Collection,"" January 13-February 27, 2011.",26756256,https://library.artstor.org/#/asset/26756256
