Key,Divinity Faculty,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
HT8TGN9G,"Barnes, Sandra L.",bookSection,2008,"Barnes, Sandra L.",Ghetto,International Encyclopedia of the Social Sciences,978-0-02-866117-9,,,http://go.galegroup.com/ps/i.do?id=GALE%7CCX3045300923&v=2.1&u=nash87800&it=r&p=GVRL&sw=w&asid=405870010d237644dc0401ebb7d4020e,,2008,7/18/14 18:28,7/18/14 18:28,7/18/14 18:28,311-314,,,3,,,,,,,,Macmillan Reference USA,Detroit,English,"COPYRIGHT 2008 Gale, Cengage Learning",,Gale Virtual Reference Library,,Gale,,,,C:\Users\xus12\Zotero\storage\S8HHMMDS\retrieve.html,,,Inner cities; Jewish ghettos; Urban life; Urban poor,"Darity, William A., Jr.",,,,,,,,,,,,,,,,,,,2nd ed.,,,,,,,,,,,,,,,,,,,,,,,,,,
GPE3DBS8,"Knight, Douglas A.",dictionaryEntry,1985,"Knight, Douglas A.",Ethics,Harper's Bible Dictionary,978-0-06-069863-8,,,,,1985,5/16/14 16:26,11/20/14 22:28,,283–85,,,,,,,,,,,Harper & Row,San Francisco,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000098608&site=ehost-live&scope=cite,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISEARIS,"Knight, Douglas A.",dictionaryEntry,1985,"Knight, Douglas A.","Oral Materials, Sources and Traditions",Harper's Bible Dictionary,978-0-06-069863-8,,,,,1985,1/8/15 19:25,8/4/20 15:31,,732–33,,,,,,,,,,,Harper and Row,San Francisco,,,,,,EBSCOhost,,,,,,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHTYV26S,"Levine, Amy-Jill",bookSection,2019,"Levine, Amy-Jill","The Gospels and Acts: Oxford Handbook of New Testament, Gender, and Sexuality","The Oxford Handbook of New Testament, Gender, and Sexuality",978-0-19-021341-1,,,,,2019,11/14/22 19:30,11/14/22 19:30,,295-314,,,,,,The Gospels and Acts,,,,,,Oxford,,,,,,EBSCOhost,,DOI: 10.1093/oxfordhb/9780190213398.013.13,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn4821401&site=ehost-live&scope=site&scope=cite,,Sexual ethics; Sex in the Bible; Prostitution; Bible . New Testament--Ethics; Divorce -- Biblical teaching; Marriage -- Biblical teaching; Bible . Gospels--Theology; Bible . Luke-Acts--Theology; Celibacy -- Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2ZF35RB,"Marbury, Herbert",bookSection,2020,"Marbury, Herbert Robinson",Exogamy and Divorce in Ezra and Nehemiah: Oxford Handbook of the Historical Books of the Hebrew Bible,The Oxford Handbook of the Historical Books of the Hebrew Bible,978-0-19-026118-4,,,,,2020,11/14/22 21:03,11/14/22 21:03,,228-240,,,,,,Exogamy and Divorce in Ezra and Nehemiah,,,,,,New York,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn4935885&site=ehost-live&scope=site&scope=cite,,"Sociology, Biblical; Bible . Ezra--Criticism, Literary; Bible . Nehemiah--Criticism, Literary; Bible . Old Testament--Persian influence; Divorce -- Biblical teaching; Marriage -- Biblical teaching",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASDG9QL,"Lim, Paul",bookSection,2020,"Lim, Paul C H; Martin, Drew",Reformed Theology in North America: Oxford Handbook of Reformed Theology,The Oxford Handbook of Reformed Theology,978-0-19-179123-9,,,,,2020,11/14/22 20:28,11/14/22 20:28,,154-170,,,,,,Reformed Theology in North America,,,,,,Oxford,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn4998643&site=ehost-live&scope=site&scope=cite,,"Puritans; Theology, Reformed; North America; Edwards, Jonathan,   , 1703-1758; Great Awakening; Princeton University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X8KED8FF,"Knight, Douglas A.",bookSection,1994,"Knight, Douglas A.","Hebrews (pp. 273–74); Idols, Idolatry (pp. 297–98)",The Oxford companion to the Bible,978-0-19-504645-8,,,,,1994,5/16/14 16:52,7/30/20 19:42,,,,,,,,,,,,,Oxford University Press,,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000141914&site=ehost-live&scope=cite,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLGTSBS2,"Quigley, Jennifer",bookSection,2022,"Quigley, Jennifer A.",Philippi,Oxford Encyclopedias of the Bible: Digital Collection,978-0-19-766940-2,,,http://www.oxfordreference.com/view/10.1093/acref/9780197669402.001.0001/acref-9780197669402-e-53,"""Philippi"" published on  by Oxford University Press.",2022,11/16/22 17:18,11/16/22 17:21,11/16/22 17:18,,,,,,,,,,,,Oxford University Press,,en,,,,,www-oxfordreference-com.proxy.library.vanderbilt.edu,,,,C:\Users\xus12\Zotero\storage\M742A54W\acref-9780197669402-e-53.html,,,,"Coogan, Michael",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWU46RAY,"Anderson, Victor",bookSection,2014,"Anderson, Victor",Black ontology and theology: Oxford handbook of African American theology,The Oxford handbook of African American theology,978-0-19-938108-1,,,,,2014,11/8/22 17:50,11/8/22 17:50,,390-401,,,,,,Black ontology and theology,,,,,,Oxford,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn4926784&site=ehost-live&scope=site&scope=cite,,African Americans; Ontology; Womanist theology; Black theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMTIFAG6,"Geller, Jay",bookSection,2003,"Geller, Jay","Freud, Blüher, and the Secessio Inversa: Männerbünde, Homosexuality, and Freud's  Theory of Cultural Formation",Queer theory and the Jewish question,978-0-231-50895-7,,,,,2003,10/16/14 19:20,10/16/14 19:21,,,,,,,,,,,,,Columbia University Press,New York,eng,,,,,Primo,HQ75.15,,,,,,Jewish gays; Jewish lesbians; Queer theory,"Boyarin, Daniel; Itzkovitz, Daniel; Pellegrini, Ann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8N3D6X4,"Sasson, Jack",bookSection,2013,"Sasson, Jack M.",Beyond Babylon: closing remarks,Cultures in Contact: From Mesopotamia to the Mediterranean in the Second Millennium B.C.,978-0-300-18503-4,,,http://www.academia.edu/4779508/The_Metropolitan_Museum_of_Art_Symposia_Cultures_in_Contact,The Metropolitan Museum of Art Symposia Cultures in Contact,2013,12/11/14 20:22,12/11/14 21:44,12/11/14 20:22,312-317,,,,,,,,,,,Metropolitan Museum of Art,"New York, NY",,,,,,,,,,C:\Users\xus12\Zotero\storage\QZA3KPJC\The_Metropolitan_Museum_of_Art_Symposia_Cultures_in_Contact.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SXFN5QM4,"Knight, Douglas A.",dictionaryEntry,1992,"Knight, Douglas A.",Tradition History,The Anchor Bible dictionary,978-0-385-19351-1,,,,,1992,5/16/14 16:49,5/23/14 16:44,,633-38,,,,,,,,,,,Doubleday,New York,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000137042&site=ehost-live&scope=cite,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAVJ5G2E,"Sasson, Jack",dictionaryEntry,1992,"Sasson, Jack M.",Gilgamesh Epic,The Anchor Bible dictionary,978-0-385-19351-1,,,,,1992,12/16/14 14:29,12/16/14 19:54,,1024-1027,,,2: D-G,,,,,,,,Doubleday,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
