Key,reason,Item Type,ISBN,ISSN (P),ISSN (O),Publication Title,Publication Year,Author,Title,note,OCLC,,https://researchguides.library.vanderbilt.edu/az.php?a=u&p=1
MZ4QUGFV,Article or chapter without published_in.,journalArticle,,,,"Academics in Action!: A Model for Community-Engaged Research, Teaching, and Service",2016,"Barnes, S.L.; Brinkley-Rubinstein, L.; Doykos, B.; Martin, N.C.; McGuire, A.",Introduction,book chapter,,,http://www.library.vanderbilt.edu/eres?id=1215
VWTVXZ9Q,Article or chapter without published_in.,journalArticle,,,,Achaemenid Research on Texts and Archaeology,2015,"Azzoni, Annalisa; Stolper, Matthew W.","From the Persepolis Fortification Archive Project, 5:	The Aramaic Epigraph ns(y)ḥ on Elamite Persepolis Fortification Documents",NA,310356850,,
LMVUG9WV,Article or chapter without published_in.,journalArticle,,,,Achaemenid Research on Texts and Archaeology,2019,"Azzoni, Annalisa; Chandler, Christina; Garrison, Mark; Daly, Erin; Johnson, Jan; Muhs, Brian",A Demotic Tablet or Two in the Persepolis Fortification Archive,NA,310356850,,
APT5J5MJ,Article or chapter without published_in.,journalArticle,,0340-272X	,,Allgemeine Jüdische Wochenzeitung,2001,"Geller, Jay",Sigmund Freud und die Religion: Überlegungen zum Verhältnis von psychoanalytischem Denken und jüdischem Glauben,,,,
UBNSFS5P,Article or chapter without published_in.,journalArticle,,0002-7049,1943-3697,America: The National Catholic Review,2014,"Levine, Amy-Jill",Who Is My Neighbor: In the Footsteps of the Samaritan,,,,
VIUUT5NZ,Article or chapter without published_in.,journalArticle,,0192-2858,,Annals of Scholarship,1996,"Geller, Jay",Tolerating Prejudice,,,,
NMIVRKPV,Article or chapter without published_in.,journalArticle,,1710-1409,,Bearings,2015,"Miller-McLemore, Bonnie J.",In Defense of Practical Theological Knowledge,,,,
BSDP9USY,Article or chapter without published_in.,journalArticle,,0098-9444,,Biblical Archaeology Review,2018,"Levine, Amy-Jill",The Archaeological Evangelist,,,,
JJ86QXKK,Article or chapter without published_in.,journalArticle,,1043-5522,,Biblical Preaching Journal,1997,"Andrews, Dale P.",The Boy Wonder (Luke 2:41051),,,,
XEJJ69NZ,Article or chapter without published_in.,journalArticle,,1043-5522,,Biblical Preaching Journal,2001,"Andrews, Dale P.",The Lure of Cotton Candy,,,,
HZT8Q76F,Article or chapter without published_in.,journalArticle,,1543-1975,,"Bulletin of the Institute for Reformed Theology, Union Theological Seminary",2002,"DeHart, Paul","Review of Eberhard Jüngel, God’s Being is in Becoming",,,,
G9RXASE6,Article or chapter without published_in.,journalArticle,,,,Bulletin of the Park Ridge Center,1990,"Miller-McLemore, Bonnie J.",Gender experience and fetal life : a proposal,,17557639,,
D4FXZS5T,Article or chapter without published_in.,journalArticle,,2473-5000,2473-5027,C21 Resources: A Catalyst and Resource for the Renewal of the Catholic Church,2012,"Morrill, Bruce T.",Anointing as Pastoral-Sacramental Ministry to the Sick,,,,
CMUD3RZA,Article or chapter without published_in.,journalArticle,,0162-0177,,Centennial Review,1994,"Geller, Jay",Of Mice and Mensa: Antisemitism and the Jewish Genius,,,,
SW38NFCA,Article or chapter without published_in.,journalArticle,,0891-9666,,Christian History,2014,"Michelson, David A.",The Thousand Lives of Charlemagne: How Medieval Poets Turned a Border Skirmish into a Foundational Medieval Legend,,,,
3MEK8WX9,Article or chapter without published_in.,journalArticle,,0891-9666,,Christian History,2014,"Michelson, David A.",Charlemagne’s Furniture: Whatever Happened to the Holy Roman Empire,,,,
5KXGW7NW,Article or chapter without published_in.,journalArticle,,1535-6841,1540-6040,City & Community,2003,"Barnes, Sandra L.",Comeback Cities: A Blueprint for Urban Neighborhood Revival,,,,
TJS93RJ9,Article or chapter without published_in.,journalArticle,,,,Consider This…A Newsletter for Pastors,2000,"McClure, John S.",Preaching the Gospel as Good News,,,,
2TNWQ3W2,Article or chapter without published_in.,journalArticle,,2159-0508,,Contemporary Journal of Anthropology and Sociology,2013,"Blount, Allison; Barnes, Sandra L.",Voices among the Vulnerable: An Analysis of Native American Newspaper Articles,,,,
R5QVS29A,Article or chapter without published_in.,journalArticle,,1479-2206,,Conversations in Religion & Theology,2003,"Andrews, Dale P.",Author's Reply Article,,,,
X2PFCDLN,Article or chapter without published_in.,journalArticle,,,,Deeper Shades of Purple: Womanism in Religion and Society,2006,"Floyd-Thomas, S.M.",Introduction: Writing for our lives-Womanism as an epistemological revolution,book chapter,,,
XWWHGXFU,Article or chapter without published_in.,journalArticle,,1832-1976 ,,Dialogue Australasia: a journal for teachers of religious and values education.,2014,"Levine, Amy-Jill","Parables, Prodigals, and Pedagogy",,,,
ATUEJP6W,Article or chapter without published_in.,journalArticle,,,,Disciples Divinity House Bulletin,2011,"Miller-McLemore, Bonnie J.",Academic Theology and Disciple Dissent,,,,
9RG78XG4,Article or chapter without published_in.,journalArticle,,1539-1671,,DisciplesWorld,2007,"Miller-McLemore, Mark",Signs of Excellence in Ministry,,,,
P8BENBQJ,Article or chapter without published_in.,journalArticle,,0748-4682,2167-0153,Doxology,2002,"Morrill, Bruce T.",The Sacraments: The Word of God at the Mercy of the Body by Louis-Marie Chauvet,,,,
MPSX49XV,Article or chapter without published_in.,journalArticle,,1446-6643 ,,Echoing the Word: The Catholic Religious Education On-Line Journal,2010,"Levine, Amy-Jill",What Do We Call Our Scripture?,,,,
LX5S5RPH,Article or chapter without published_in.,journalArticle,,0883-0053,,Ex Auditu,2014,"Lim, Paul","Corinth, Calvin and Calcutta: Trinity, Trafficking and Transformation of Theologia",,,,
A62IB4Z5,Article or chapter without published_in.,journalArticle,,,,Faith and Leadership: An Offering of Leadership Education at Duke Divinity,,"Miller-McLemore, Bonnie","Theology, religious communities and practice",,,,
W35F6JDP,Article or chapter without published_in.,journalArticle,,1044-3894,1945-1350,Families in Society,2007,"Barnes, Sandra L.",Black Intimacies: A Gender Perspective on Families and Relationships,,,,
6FRHMVT6,Article or chapter without published_in.,journalArticle,,1935-5408,2325-3630,Family and Community Ministries: Empowering Through Faith,2004,"Andrews, Dale P.",Losing Our Minds!,,,,
6FRHMVT6,Article or chapter without published_in.,journalArticle,,1935-5408,2325-3630,Family and Community Ministries: Empowering Through Faith,2004,"Andrews, Dale P.",Losing Our Minds!,,,,
6FRHMVT6,Article or chapter without published_in.,journalArticle,,1935-5408,2325-3630,Family and Community Ministries: Empowering Through Faith,2004,"Andrews, Dale P.",Losing Our Minds!,,,,
MM8692GI,Article or chapter without published_in.,journalArticle,,1935-5408,2325-3630,Family and Community Ministry: Empowering Through Faith,2006,"Andrews, Dale P.",Reaching Out Without Overtaking,,,,
MM8692GI,Article or chapter without published_in.,journalArticle,,1935-5408,2325-3630,Family and Community Ministry: Empowering Through Faith,2006,"Andrews, Dale P.",Reaching Out Without Overtaking,,,,
MM8692GI,Article or chapter without published_in.,journalArticle,,1935-5408,2325-3630,Family and Community Ministry: Empowering Through Faith,2006,"Andrews, Dale P.",Reaching Out Without Overtaking,,,,
ZUBV7G79,Article or chapter without published_in.,journalArticle,,1062-7170,,Faultline,1992,"Geller, Jay",Blood Sin: Syphilis and the Construction of Jewish Identity,,,,
CPU7692P,Article or chapter without published_in.,journalArticle,,0360-3695,,Film and History,2002,"Geller, Jay",The Rites of Responsibility: The Cinematic Rhetoric of Claude Lanzmann's Shoah (1985),,,,
GD5HJA7K,Article or chapter without published_in.,journalArticle,,,,Focus  Boston University School of Theology,2014,"Budwey, Stephanie",Songs of Justice,,,,
5WFQB4WW,Article or chapter without published_in.,journalArticle,,,,"Focus, Boston University School of Theology",2005,"Andrews, Dale P.",On Theology and Praxis,,,,
R2B8PTEM,Article or chapter without published_in.,journalArticle,,,,Gathering Magazine,2017,"Budwey, Stephanie",Celebrating the Whole Body of Christ: Moving Beyond Binaries in Liturgy and Hymnody,,,,
VU562HZD,Article or chapter without published_in.,journalArticle,,1538-0661,,H-Net Reviews,2006,"Geller, Jay","Review of Kaplan, Marion; Meyer, Beate, Jüdische Welten: Juden in Deutschland vom 18. Jahrhundert bis in die Gegenwart",,,,
HZAU87ZN,Article or chapter without published_in.,journalArticle,,1538-0661,,H-Net Reviews,2009,"Geller, Jay","Review of Hollander, Dana, Exemplarity and Chosenness: Rosenzweig and Derrida on the Nation of Philosophy",,,,
XQ4IRTBE,Article or chapter without published_in.,journalArticle,,1538-0661,,H-Net Reviews,2006,"Geller, Jay","Review of Bilski, Emily D.; Braun, Emily, Jewish Women and Their Salons: The Power of Conversation",,,,
4UJUE6PG,Article or chapter without published_in.,journalArticle,,,,International Journal of Africana Studies,2002,"Floyd-Thomas, Juan","Rethinking 'The Problem of the Color-Line:' Black Ideological Diversity and the Foundations of Racial Uplife, 1895-1915",,474545040,,
WJP357ZT,Article or chapter without published_in.,journalArticle,,1081-4760,,Issues in Integrative Studies,2002,"Floyd-Thomas, Stacey M; Allen, Katherine R.; Gillman, Laura",Interdisciplinarity as Self and Subject: Metaphor and Transformation,,,,
3AQVF98C,Article or chapter without published_in.,journalArticle,,2159-8142,2159-8142,Journal for Social Action in Counseling and Psycholog,2014,"Barnes, Sandra L.; Collins, Leslie","Observing Privilege: Examining Race, Class, and Gender in Health and Human Service Organizations",,,,
QKN6RVNN,Article or chapter without published_in.,journalArticle,,0021-9371,1545-6986,Journal of British Studies,2013,"Lim, Paul","The Devil's Book: Charles I, the Book of Sports and Puritanism in Tudor and Early Stuart England by Alistair Dougall",,,,
MQFZVCJM,Article or chapter without published_in.,journalArticle,,2416-5999,2416-5999,Journal of Data Mining & Digital Humanities,2017,"Schwartz, Daniel L.; Michelson, David A.; Gibson, Nathan P.",From manuscript catalogues to a handbook of Syriac literature: Modeling an infrastructure for Syriaca.org,,,,
TPDWUT3F,Article or chapter without published_in.,journalArticle,,8755-4178,1553-3913,Journal of Feminist Studies in Religion,2004,"Levine, Amy-Jill; Pui-lan, Kwok; Kanyoro, Musimbi; Reinhartz, Adele; al, et",The Disease of Postcolonial New Testament Studies and the Hermeneutics of Healing/Response/Response/Response/Response/Response/Response,,,,
XZ6IZFC3,Article or chapter without published_in.,journalArticle,,8755-4178,1553-3913,Journal of Feminist Studies in Religion,2003,"Levine, Amy-Jill","Multiculturalism, Women's Studies, and Anti-Judaism",,,,
97QCC8J4,Article or chapter without published_in.,journalArticle,,2397-3471,,Journal of Interreligious Studies,2009,"Barnes, Sandra L.",The Influence of Black Church Culture: How Black Church Leaders Frame the HIV/AIDS Discourse,,,,
RJGW82VB,Article or chapter without published_in.,journalArticle,,1521-9216,0022-3883 ,Journal of Presbyterian History,2009,"Hudnut-Beumler, Jim",Review of Mrs. Russell Sage: Women's activism and philanthropy in Gilded Age and Progressive Era America,,,,
BJQW8BHX,Article or chapter without published_in.,journalArticle,,1521-9216,0022-3883,Journal of Presbyterian History,2012,"Hudnut-Beumler, Jim","Review of Original sin and everyday protestants: The theology of Reinhold Niebuhr, Billy Graham, and Paul Tillich in an age of anxiety",,,,
EBLCF38I,Article or chapter without published_in.,journalArticle,,2153-2370,2153-2370,"Journal of Race, Ethnicity, and Religion",2016,"Floyd-Thomas, Stacey M.","Ordering Our Steps, Engendering Ethics, and Race-ing Forward: The Promise and Peril of Organizations and Human Development",,,,
56SWAWD7,Article or chapter without published_in.,journalArticle,,0894-6388,,Journal of the Kafka Society of America,2011,"Geller, Jay",Eidola or Eidechsen? Kafka Asks Brod Asks Kraus Asks Heine a Jewish Question,,,,
W4GC525H,Article or chapter without published_in.,journalArticle,,1550-0195,1933-9208,Journal of Unitarian Universalist History,2011,"Floyd-Thomas, Juan","Review of Mark D. Morrison-Reed, ed. , Darkening the Doorways: Black Trailblazers and Missed Opportunities in Unitarian Universalism",,,,
ZXSP62HI,Article or chapter without published_in.,journalArticle,,,,Kalamazoo College Review,,"Meeks, M. Douglas",Three lectures on the Theology of Hope,,10092840,,
683VHBAU,Article or chapter without published_in.,journalArticle,,1220-630X,1220-630X,Keresztény Szó,2007,"Morrill, Bruce T.",Liturgia és	etika: a keresztény élet mint Isten dicsérete,,,,
AA6PPX75,Article or chapter without published_in.,journalArticle,,0179-7239,2511-8617,Kirche und Israel: Neukirchner Theologische Zeitschrift,2011,"Levine, Amy-Jill",Quo Vadis? Die Kirche und der Skandal des judische Jesus,,,,
HVLYFICJ,Article or chapter without published_in.,journalArticle,,1738-2785,,Korean Journal of Christian Counseling,2018,"Miller-McLemore, Bonnie",Reimaging Vocation Across the Lifespan and Into Childhood,,,,
QGIGB5VW,Article or chapter without published_in.,journalArticle,,1043-2310,,Lectionary Homiletics,2005,"Andrews, Dale P.",Preaching the Lesson,,,,
PMB56QPJ,Article or chapter without published_in.,journalArticle,,1939-5299,,Lifelong Faith: the theory and practice of lifelong faith formation,2007,"Miller-McLemore, Bonnie J.",The Rule of Family Faith: Practicing the Presence of God in Our Outward Lives,,,,
H5ZXURTT,Article or chapter without published_in.,journalArticle,,0896-209X,,Lutheran Woman Today,2006,"Flesberg, Evon",Giving my lamb for you,,,,
NEI5X7P9,Article or chapter without published_in.,journalArticle,,,,Making Christ known,2003,"Flesberg, Evon",Invisible ministry at the edge. Interview and article by Bob Sitze,,,,
E4CDUETC,Article or chapter without published_in.,journalArticle,,1759-1953,1759-1953,Melilah,2014,"Brettler, Marc Zvi; Levine, Amy-Jill",The Jewish Annotated New Testament: Retrospect and Prospects,,,,
V57MZMEZ,Article or chapter without published_in.,journalArticle,,,,National Baptist Voice. National Baptist Convention of the United States of America,2002,"Harris, Forrest E.",The Task for Every Christian,,469734651,,
UCQ7PJBH,Article or chapter without published_in.,journalArticle,,,,National Baptist voice.National Baptist Convention of the United States of America,2003,"Harris, Forrest E.",World Religions and the Public Face of God,,469734651,,
9SV2KWPI,Article or chapter without published_in.,journalArticle,,,,National Baptist Voice.National Baptist Convention of the United States of America,2007,"Harris, Forrest E.",The Prosperity Gospel of the Mega Church,,469734651,,
QSQW53VI,Article or chapter without published_in.,journalArticle,,,,National Baptist Voice.National Baptist Convention of the United States of America,2004,"Harris, Forrest E.",The African American Pastor as Theologian,,469734651,,
