Key,skipped,Divinity Faculty,Publication Year,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title
0,,"Knight, Douglas A.",2002,0-8264-6149-2,,,,,2002,5/16/14 15:51,5/16/14 15:51,,,,,,,,,,,,,Sheffield Academic Press,London,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001338489&site=ehost-live&scope=cite,,Ideology; Bible. Joshua 22-23; Boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Imagining"" biblical worlds"
1,,"Sasson, Jack",2000,1-930675-01-1 978-1-930675-01-8,,,,,2000,12/15/14 19:44,5/1/15 14:58,,,,,,,,,Brown Judaic Studies,,,,Brown Judaic Studies,"Providence, R.I.",English,,,,,Open WorldCat,,,,,,,,"Olyan, Saul M.; Culley, Robert C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""A wise and discerning mind"": essays in honor of Burke O. Long"
2,,"Rieger, Joerg",2018,978-3-89965-790-6,,,,,2018,6/11/20 19:00,9/29/20 18:18,,,,,,,,,,,,,VSA Verlag,Hamburg,German,,,,,Open WorldCat,,,,,,,,,,,"Ramminger, Michael; Segbers, Franz; Institut für Theologie und Politik; Rosa-Luxemburg-Stiftung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Alle Verhältnisse umzuwerfen ... und die Mächtigen vom Thron zu stürzen"": das gemeinsame Erbe von Christen und Marx"
3,,"Rieger, Joerg",2015,978-3-89965-656-5,,,,,2015,6/26/18 16:21,9/23/20 15:03,,,,,,,,,,,,,VSA,Hamburg,,,,,,,,,,,,,,,,,,,"Segbers, Franz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Diese Wirtschaft tötet"": (Papst Franziskus) Kirchen gegen Kapitalismus"
4,,"Sasson, Jack",1994,0-931464-88-9,,,,,1994,12/12/14 3:42,12/12/14 3:42,,,,,,,,"The ""Tower of Babel"" as a clue to the redactional structuring of the primeval history (Genesis 1",,,,,Eisenbrauns,"Winona Lake, Ind",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001208349&site=ehost-live&scope=cite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""I studied inscriptions before the Flood"""
5,,"Sasson, Jack",1992,978-0-931464-61-4,,,,"Book by Michael A. Fishbane, Emanuel Tov",1992,12/12/14 16:34,5/1/15 15:58,,,,,,,,,,,,,Eisenbrauns,"Winona Lake, Ind",English,,,,,Amazon.com,,,,,http://www.amazon.com/22ShaArei-Talmon-22-Studies-Presented-Shemaryahu/dp/0931464617,,,"Fishbane, Michael A.; Tov, Emanuel; Talmon, Shemaryahu; Fields, Weston W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"""Sha'Arei Talmon"": Studies in the Bible, Qumran, and the Ancient Near East Presented to Shemaryahu Talmon"
6,,"Morrill, Bruce T.",2007,978-0-8146-6017-1,,,,,2007,10/30/14 17:28,10/30/14 17:30,,,,,,,,,,,,,Liturgical Press,"Collegeville, Minn",eng,,,,,Primo,BX2015.3 .C66 2007,,,,,,Catholic Church Liturgy Texts Rubrics; Catholic Church. General instruction of the Roman missal; Catholic Church. Institutio generalis Missalis Romani; General instruction of the Roman missal; Institutio generalis Missalis Romani; Lord's Supper Catholic Church Liturgy Texts; Mass Celebration; Missals Texts,"Foley, Edward; Mitchell, Nathan; Pierce, Joanne M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A commentary on the general instruction of the Roman Missal : developed under the auspices of the Catholic Academy of Liturgy and cosponsored by the Federation of Diocesan Liturgical Commissions
7,,"Sasson, Jack",2008,978-1-4051-8838-8,,,,"A Companion to Ancient Epic  presents for the first time a comprehensive, up-to-date overview of ancient Near Eastern, Greek and Roman epic. It offers a multi-disciplinary discussion of both longstanding ideas and newer perspectives. A  Companion  to the Near Eastern, Greek, and Roman epic traditions Considers the interrelation between these different traditions Provides a balanced overview of longstanding ideas and newer perspectives in the study of epic Shows how scholarship over the last forty years has transformed the ways that we conceive of and understand the genre Covers recently introduced topics, such as the role of women, the history of reception, and comparison with living analogues from oral tradition The editor and contributors are leading scholars in the field Includes a detailed index of poems, poets, technical terms, and important figures and events",11/3/08,12/15/14 16:39,11/28/22 19:29,,,,,,,,,Blackwell companions to the ancient world. Literature and culture,,,,Wiley-Blackwell,Oxford,English,,,,,Amazon.com,,,,,http://www.amazon.com/Companion-Ancient-Epic-Miles-Foley/dp/1405188383,,,"Foley, John Miles",,,,,,,,,,,,,,,,,,,1 edition,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A Companion to Ancient Epic
8,,"Sasson, Jack",2011,978-1-907534-33-1,,,,"This volume honours the distinctive contribution to Hebrew Bible studies over four decades by Cheryl Exum, Professor Emerita of Biblical Studies in the University of Sheffield. Her special interests have lain, first, in the modern literary criticism of the Hebrew Bible, where her key work was Tragedy and Biblical Narrative: Arrows of the Almighty. Asecond area has been feminist criticism of the Hebrew Bible; here her notable contributions were Fragmented Women: Feminist (Sub)versions of Biblical Narratives and Plotted, Shot, and Painted: Cultural Representations of Biblical Women. A more recent, and now almost favourite, theme is the Bible and cultural studies, especially the Bible and art. Key works here have been a series of edited volumes, such as Beyond the Biblical Horizon: The Bible and the Arts, and The Bible in Film / The Bible and Film. Her fourth area of continuing interest has been the Song of Songs, with many articles culminating in her perceptive commentary in the Old Testament Library series. In this rich volume, 25 of her friends and colleagues offer her papers on all these themes. Several are on or around the Song of Songs (Graeme Auld, Fiona Black, David Clines, Sara Japhet, Martti Nissinen, Yair Zakovitch), and topics of feminist interest (Yairah Amit, Athalya Brenner, Claudia Camp, Hugh Pyper, Jack Sasson). Cultural studies are represented by Alice Bach, Hans Barstad, Andrew Davies, David Gunn, Martin O'Kane, John Sawyer and Ellen van Wolde, and literary criticism by Michael Fox, Edwin Good, Norman Gottwald, Edward Greenstein, Francis Landy, Burke Long and Hugh Williamson.",2011-11,12/11/14 21:12,12/11/14 21:14,,,,,,,,,,,,,Sheffield Phoenix Press Ltd,"Sheffield, England",Inglese,,,,,Amazon.com,,,,,http://www.amazon.it/Critical-Engagement-Essays-Hebrew-Honour/dp/1907534334,,,"Clines, David J. A.; Wolde, Ellen Van",,,,,,,,,,,,,,,,,,,New. edizione,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A Critical Engagement: Essays on the Hebrew Bible in Honour of J. Cheryl Exum
9,,"Levine, Amy-Jill",2015,,,,,"A Feminist Companion to Tobit and Judith extends the work of the hugely influential and respected Feminist Companion series, which continues to set the standard for feminist approaches to the Hebrew Bible and related texts. In the present volume Athalya Brenner-Idan (with Helen Efthimiadis-Keith) draws together a range of scholarly commentators and addresses the core issues relating to feminist interpretations of the two texts at hand. The volume examines attitudes to gender, identities, exile, social mores, beliefs, clothing, food and drink, personal relationships, and biblical reception. The contributors are: Beverly Bow and George Nickelsburg, Athalya Brenner-Idan, Ora Brison, Helen Efthimiadis-Keith, Renate Egger-Wenzel, Beate Ego, Emma England, Jennifer Glancy, Jan Willem van Henten, Naomi Jacobs, Amy-Jill Levine, Pamela Milne, and Barbara Schmitz.",2015,11/3/16 19:59,8/10/20 19:31,11/3/16 19:59,,,,,,,,,,,,Bloomsbury Publishing,,,,,,,,,,,C:\Users\xus12\Zotero\storage\BMQW6SEM\a-feminist-companion-to-tobit-and-judith-9780567656025.html,,,,"Brenner-Idan, Athalya; Efthimiadis-Keith, Helen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A Feminist Companion to Tobit and Judith
10,,"Levine, Amy-Jill",2014,978-90-04-28428-9,,,,"$$Ccontents$$VJacob Neusner's Legacy of Learning / William Scott Green, Alan J. Avery-Peck, Bruce Chilton, Gary G. Porton -- Ancient and Rabbinic Judaism -- The Amoraic Agenda in Bavli Rosh Hashanah: A Generational Analysis / Alan J. Avery-Peck -- Women and Gender in Jacob Neusner's Writings / Judith R. Baskin -- ""It Is Time to Act for the Lord"": In Appreciation of Midrash Samuel / Craig A. Evans -- Tent of Meeting as Bet Ulpana: Temple as Torah in the Targums of Israel / Paul V.M. Flesher -- Talmudic Stories about Angry and Annoyed Rabbis / Joel Gereboff -- Judaism Evolving: An Experimental Preliminary Translation / William Scott Green -- ""The Weaver of Midrash in Performance"": Notes to an Oral-Performative Translation of Sifre Devarim / Martin S. Jaffee -- The ""Neusnerian Turn"" in Method and the End of the Wissenschaft as We Knew It / Peter J. Haas -- Israelite Religion in the Light of Hebrew Epigraphy: The Inscriptions from Kuntillet 'Ajrud / Baruch A. Levine -- How the Rabbis Imagined Sarah: A Preliminary Study of the Feminine in Genesis Rabbah / Gary G. Porton -- Varieties of Religious Visualizations / Tzvee Zahavy -- Judaism and Christianity -- Vayavo Ya'acov Skalem / Herbert Basser -- The Platform of Mark's Gospel, Its Aramaic Sources and Mark's Achievement / Bruce Chilton -- Embodied Judaism, Emplaced Judaism / David Kraemer -- Jesus Talks Back / Amy-Jill Levine -- Parting of the Ways that Never Parted: Judaism and Christianity in the Work of Jacob Neusner / Elliot R. Wolfson -- American Judaism -- The American Jewish Holocaust ""Myth"" and ""Negative Judaism"": Jacob Neusner's Contribution to American Judaism / Shaul Magid -- World Religions and Philosophy -- Intentionality and Meaning / Robert M. Berchman -- Another Prophetic Paradigm: Moses in Sufi Verse / Th. Emil Homerin -- The Formative Period of Islam and the Documentary Approach: A Prolegomenon / Aaron W. Hughes -- The Academy -- Transcendent Education: Immortality and the Liberal Arts / Roger Brooks., $$Creproduction$$VElectronic reproduction. Palo Alto, Calif. Available via World Wide Web., $$Cbibliography_note$$VIncludes bibliographical references and index.",2014,11/3/16 19:33,11/3/16 19:34,11/3/16 19:33,,,,,,,,Brill reference library of Judaism ; v. 43. ^A1233636,,,,Brill,Leiden,eng,,,,,discoverlibrary.vanderbilt.edu,AVAILABLE ONLINE,,,,,,"Electronic books; Festschriften; Anniversary volumes; Commemorative volumes; Homage volumes; J. ニユーズナー, 1932-2016; Jubilee volumes; Judaism History Talmudic period, 10-425; Neuser, Jacob, 1932-2016; Neusner, Jacob, 1932-2016; r Employer: Bard College; Rabbinical literature History and criticism; Talmud Criticism, interpretation, etc; Talmud Evidences, authority, etc; Wedding publications; נוסנר, יעקב, ־1932; ניוזנר, יעקב, ־1932","Neusner, Jacob; Avery-Peck, Alan J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A legacy of learning: essays in honor of Jacob Neusner
11,,"Levine, Amy-Jill",2015,978-1-930675-96-4 978-1-930675-94-0,,,,,10/30/15,6/19/18 19:13,8/11/20 16:42,6/19/18 19:13,,,,,,,,,,,,Society of Biblical Literaure Press,,en,,,,,Crossref,,,,C:\Users\xus12\Zotero\storage\5XX75USS\Harvey et al. - 2015 - A Most Reliable Witness Essays in Honor of Ross S.pdf,,,,"Harvey, Susan Ashbrook; DesRosiers, Nathaniel P.; Lander, Shira L.; Pastis, Jacqueline Z.; Ullucci, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A Most Reliable Witness: Essays in Honor of Ross Shepard Kraemer
12,,"Armour, Ellen T.",1996,0-687-27803-1,,,,,1996,5/7/14 19:28,5/7/14 19:28,,,,,,,,,,,,,Abingdon Press,Nashville,,,,,,acorn.library.vanderbilt.edu Library Catalog,BT28 .N48 1996,,,,,,,"Price, Joseph; Musser, Donald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A new handbook of Christian theologians
13,,"Sasson, Jack",1988,0-934718-90-3,,,,,1988,12/12/14 16:06,10/7/20 18:53,,,,,,,,,Occasional Publications of the Samuel Noah Kramer Fund,,,,University of Pennsylvania Museum of Archaeology and Anthropology,Philadelphia,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001039674&site=ehost-live&scope=cite,,"Festschriften; Assyriology; Akkadian language--Texts; Astronomy, Assyro-Babylonian; Sachs, Abraham J, 1914-1983; Sumerian language--Texts","Leichty, Erle; Ellis, Maria deJong; Gerardi, Pamela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A scientific humanist : studies in memory of Abraham Sachs
14,,"Budwey, Stephanie A.",2021,978-1-5018-9657-6,,,,,2021,6/29/22 22:09,6/29/22 22:11,,,,,,,,,,,,,Abingdon Press,Nashville,eng,,,,,catalog.library.vanderbilt.edu,,,,,,,"Public worship; Worship; Handbooks, manuals, etc; Liturgies","Williams, Khalia J.",,,,,"Liu, Gerald C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,A worship workbook: a practical guide for extraordinary liturgy / Gerald C. Liu & Khalia J. Williams ; foreword by Lauren Winner.
15,,"Rieger, Joerg",2012,978-1-4267-2977-5,,,,"The Abingdon Theological Companion to the Lectionary gets straight to the point of the Revised Common Lectionary: to allow God’s people to encounter the meaning of Scripture through the Word read and proclaimed. For each Sunday or occasion, a homiletician and a theologian have collaborated on commentary that will help preachers create substantive and life-changing sermons. Designed to focus on the deep meaning of the biblical text, and the questions it raises for life as a Christian in the modern world, the Abingdon Theological Companion to the Lectionary begins with the conviction that Scripture speaks first and foremost to Christians now. While informed by the best in biblical studies, its commentary on the Scripture passages of the Revised Common Lectionary engages Christian belief and action in the present day. The Abingdon Theological Companion to the Lectionary will help the preacher to think deeply about the meaning of Scripture and communicate to worshipers the power of Scripture in their daily lives.",5/1/12,6/26/18 20:11,6/26/18 20:13,,,,,,,,,,,,,Abingdon Press,"Nashville, Tenn",English,,,,,Amazon,,,,,https://www.amazon.com/Abingdon-Theological-Companion-Lectionary-Preaching/dp/1426729774,,,"Wilson, Paul Scott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Abingdon Theological Companion to the Lectionary: Preaching Year C
16,,"Levine, Amy-Jill",2008,978-0-8192-2255-8,,,,,2008,11/1/16 19:03,11/1/16 19:04,,,,,,,,,,,,,Morehouse Pub,,eng,,,,,discoverlibrary.vanderbilt.edu,,,,,,,Bible. Gospels--Meditations.,,,,,,"Goldman, Caren; Voorhees, Ted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Across the threshold, into the questions: discovering Jesus, finding self"
17,,"Andrews, Dale P.",2009,978-1-57607-512-8,,,,,2009,5/22/14 13:47,5/22/14 13:48,,,,,,,,,,,,,ABC-CLIO,"Santa Barbara, Calif.",,,,,,acorn.library.vanderbilt.edu Library Catalog,AVAILABLE ONLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,African American religious cultures
19,,"Rieger, Joerg",2011,978-0-7391-3705-5,,,,"Alienation and Connection challenges social, cultural, and economic constructs that perpetuate alienation through suffering and powerlessness. The authors, representing Wesleyan backgrounds in this volume, all hold concern for a suffering world, believing that socioeconomic systems, prescribed roles, stereotypes, or power differentials cannot dictate normative destinies for persons or for living systems. Each writer calls for movement from suffering to surviving to thriving in the midst of discussions about how alienation, in a variety of contexts, can be transformed into connection and reconnection through intentional shifts in circumstance and human agency. A hermeneutic of healing and justice focused on human relationship with the environment, economic and social systems that disconnect and reconnect, socio-cultural and economic constructs that divide or heal, encountered difference that brings opportunity, and various manifestations of personal pain that can turn to hope, provides a significant, realistic alternative to suffering and alienation. Meaningful connection to each other and to the earth through the alleviation of suffering provides hope for the integrity and future of humankind and the healing of the planet. This book is an offering to those who are called to work for change and a challenge to those who do not believe that change should or could happen. Alienation is not the final word. Connection and hope can prevail.",10/25/11,6/27/18 17:19,6/27/18 17:20,,,,,,,,,,,,,Lexington Books,"Lanham, Md",English,,,,,Amazon,,,,,https://www.amazon.com/Alienation-Connection-Suffering-Global-Age/dp/0739137050/ref=sr_1_1?s=books&ie=UTF8&qid=1530119926&sr=1-1&keywords=Alienation+and+Connection%3A+Suffering+in+A+Global+Age,,,"Withrow, Lisa R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Alienation and Connection: Suffering in a Global Age
20,,"Rieger, Joerg",2012,978-0-8028-6440-6,,,,"In appreaciation of James William Waters, Class of 2017., $$Cbibliography_note$$VIncludes bibliographical references and index.",2012,6/26/18 20:15,9/23/20 15:20,,,,,,,,,,,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich.",eng,,,,,discoverlibrary.vanderbilt.edu,BT83.59 .E47 2012,,,,,,Political theology,"Cavanaugh, William T.; Bailey, Jeffrey W.; Hovey, Craig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,An Eerdmans Reader in Contemporary Political Theology
21,,"Budwey, Stephanie A.",2021,978-3-402-11282-3,,,,,2021,6/29/22 22:04,6/29/22 22:07,,,,,,,,,,,,,Aschendorff Verlag,Münster,"German, English",,,,,Open WorldCat,,,,,,,,"Bergmann, Claudia D; Kranemann, Benedikt, Aschendorffsche Verlagsbuchhandlung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Analogie und Differenz: das dynamische Verh??ltnis von j??discher und christlicher Liturgie = Analogy and difference: the ever-changing relationship of Jewish and Christian liturgy
22,,"Quigley, Jennifer",2019,,,,,"Ancient Manuscripts in Digital Culture presents an overview of the digital turn in Ancient Jewish and Christian manuscripts visualisation, data mining and communication. Edited by David Hamidović, Claire Clivaz and Sarah Bowen Savant, it gathers together the contributions of seventeen scholars involved in Biblical, Early Jewish and Christian studies. The volume attests to the spreading of digital humanities in these fields and presents fundamental analysis of the rise of visual culture as well as specific test-cases concerning ancient manuscripts. Sophisticated visualisation tools, stylometric analysis, teaching and visual data, epigraphy and visualisation belong notably to the varied overview presented in the volume.",2019,11/16/22 16:17,11/16/22 16:38,,,,,,,,,Digital biblical studies,,,,Brill,Leiden,eng,,,,,catalog.library.vanderbilt.edu,,,,,,,"History and criticism; Manuscripts; Christian literature, Early; Communication in learning and scholarship; Data mining; Data processing; Digital humanities; Digitization; Jewish religious literature; Technological innovations","Hamidovič, David; Clivaz, Claire; Savant, Sarah Bowen",,,"Marguerat, Alessandra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Ancient manuscripts in digital culture: visualisation, data mining, communication"
23,,"Sasson, Jack",2011,,,,,,2011,12/12/14 13:17,7/14/15 14:49,12/12/14 13:17,,,,,,,Mari Theomorphism,,,,,Islet,Dresden,en_US,,,,,discoverarchive.vanderbilt.edu,,,,C:\Users\xus12\Zotero\storage\DNHIWDBI\Sasson - 2011 - Mari Theomorphism Intimation of Sacrality in the .pdf; C:\Users\xus12\Zotero\storage\XNG83X9T\4958.html,,,,"Vacin, Ludek.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Ancient Near Eastern studies in memory of Blahoslav Hruška
24,,"Michelson, David A.",2016,978-90-04-32523-4,,,,,1/1/16,6/30/22 18:51,6/30/22 18:53,6/30/22 18:51,,,,,,,,,,,,Brill,,en,,,,,brill.com,,,,C:\Users\xus12\Zotero\storage\X4WFPBF3\Michelson - 2016 - 4 Syriaca.org as a Test Case for Digitally Re-Sort.pdf,,,History; Biblical Studies; Cultural Studies; General; Jewish History & Culture; Jewish Studies; Languages and Linguistics; Social Sciences; Writing & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Ancient Worlds in Digital Culture
25,,"Levine, Amy-Jill",2013,978-1-59982-124-5,,,,New American Bible revised edition. ; Includes index.,2013,11/1/16 20:11,8/10/20 16:07,,,,,,,,,,,,,Anselm Academic,"Winona, MN",eng,,,,,WorldCat Discovery Service,,,,,,,,"Osiek, Carolyn; Hoppe, Leslie J.; Levine, Amy-Jill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Anselm Academic study Bible
26,,"Levine, Amy-Jill",1999,978-1-4411-7924-1,,,,"$$Ccontents$$VAnti-Judaism and the Gospel of Matthew / by Amy-Jill Levine -- Response / by Philip L. Shuler -- Response / by Warren Carter -- Anti-Judaism and the Gospel of Luke / by Daryl D. Schmidt -- Response / by David L. Balch -- Response / by Allan J. McNicol -- Anti-Judaism and the Gospel of John / by David Rensberger -- Response / by Mark Goodwin -- Response / by Thomas D. Lea -- Something greater than the temple / by Robert Louis Wilken -- Response / by Everett Ferguson -- Response / by D. Jeffrey Bingham -- Anti-Judaism in the critical study of the Gospels / by Joseph B. Tyson -- Response / by James O. Duke -- Response / by Ellen T. Charry -- Reflections on Anti-Judaism in the New Testament and in Christianity / by E.P. Sanders., $$Csummary$$VWhen and under what circumstances did the Gospel texts begin to serve anti-Jewish ends? Can it be said, accurately and fairly, that the evangelists were anti-Jewish? Are there tendencies in the Gospels that were originally intended by the evangelists to injure the Jewish people or their religion, or to work against the interests of the Jewish people and/or their religion?These and other issues were addressed in a three-year research project that culminated in a fall 1996 convocation, at which five major research papers were presented with two respondents to each paper. The papers and responses., $$Cbibliography_note$$VIncludes bibliographical references and indexes.",1999,10/28/16 18:55,7/17/18 18:22,10/28/16 18:55,,,,,,,,,,,,Trinity Press International,"Harrisburg, Pa.",eng,,,,,discoverlibrary.vanderbilt.edu,BS2555.6 .J44 A58 1999,,,,,,"Bible. Gospels Criticism, interpretation, etc; Christianity and antisemitism History; Judaism (Christian theology) History of doctrines Early church, ca. 30-600","Farmer, William R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Anti-Judaism and the Gospels
27,,"Hudnut-Beumler, Jim",2004,,,,,,2004,6/24/14 17:14,11/18/14 21:41,,,,,,,,,,,,,Brazos Press,"Grand Rapids, Mich",,,,,,,BR526 .A58 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Anxious about empire
28,,"Marbury, Herbert",2007,,,,,,2007,10/22/14 15:02,10/30/14 13:35,,,,,,,,,,,,,Society of Biblical Literature,Atlanta,eng,,,,,Primo,DS121.65,,,,,,"Judaism, Hellenistic; Antico Testamento; Bible. Antico Testamento; Bible. Hebrew Bible; Bible. Hebrew Scriptures; Bible. Kitve-ḳodesh; Bible. Miḳra; Bible. Palaia Diathēkē; Bible. Pentateuch, Prophets, and Hagiographa; Bible. Phanthasanyā D̄œm; Bible. Sean-Tiomna; Bible. Stary Testament; Bible. Tanakh; Bible. Tawrāt; Bible. Torah, Neviʼim u-Khetuvim; Bible. Torah, Neviʼim, Ketuvim; Bible. Velho Testamento; Hebrew Bible; Hebrew Scriptures; Kitve-ḳodesh; Miḳra; nnea Bible. O.T; Old Testament; Palaia Diathēkē; Pentateuch, Prophets, and Hagiographa; Sean-Tiomna; Stary Testament; Tanakh; Tawrāt; Torah, Neviʼim u-Khetuvim; Torah, Neviʼim, Ketuvim; Velho Testamento; Bible. Old Testament Historiography; Bible History of inter-testamental events; Erets Yehudah (Region); Ereẓ Yehudah (Region); Hellenistic Judaism; Jews History 586 B.C.-70 A.D; Jews History 586 B.C.-70 A.D. Historiography; Judaea (Region); Judaea (Region) Historiography; Judah, Land of (Region); Judaism History Greco-Roman period, 332 B.C.-210 A.D; Judaism History Inter-testamental period, 140 B.C.-30 A.D; Judaism History Post-exilic period, 586 B.C.-210 A.D; Judaism History Post-exilic period, 586 B.C.-210 A.D. Historiography; Judaism History Pre-Talmudic period, 586 B.C.-10 A.D; Judea (Region); Land of Judah (Region); Yahūdhā (Region); Yehud (Persian province) Historiography; Yehuda (Region)","Berquist, Jon L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Approaching Yehud new approaches to the study of the Persian period
29,,"Levine, Amy-Jill",2003,978-0-8264-2627-7,,,,"$$Ccontents$$VThose riotous, yet righteous, foremothers of Jesus : exploring Matthew's comic genealogy / F. Scott Spencer -- ""More righteous than I"" : the comeuppance of the trickster in Genesis 38 / Mary E. Shields -- Humor, turnabouts and survival in the book of Esther / Kathleen M. O'Connor -- Is that fearfully funny? : some instances from the apocryphal/deuterocanonical books / Toni Craven -- At the expense of women : humor in Acts 16.14-40 / Kathy Williams -- Are we amused? : small and big differences in Josephus' re-presentations of Biblical female figures in the Jewish antiquities 1-8 / Athalya Brenner -- Ooooh, Onan! : Geschlechtsgeschichte and women in the Biblical world / Gale A. Yee -- Women's humor and other creative juices / Amy-Jill Levine -- Laughing with/at/as women : how should we read Biblical humor? / Esther Fuchs -- Appendix : Babble/Bible light : on some Biblical women., $$Csummary$$VBiblical humor about women and gender remains elusive for many readers, for its recognition may imply the realization that it's a cruel and disrespectful humor, ridicule rather than good-natured fun. But viewing humor as social critique, as is largely done in the essays in this volume, with respect to both the texts read and their actual or implied author, may be fun as well as significant for understanding the biblical worlds. As most of the essays show, writing about women is writing about men as well. In other words, it is writing about gender roles. The critique of women, womanhood and fem., $$Cbibliography_note$$VIncludes bibliographical references (p. [143]-151) and indexes.",2003,11/1/16 16:56,11/1/16 16:57,11/1/16 16:56,,,,,,,,Journal for the study of the Old Testament. Supplement series ; 383. ^A744467,,,,T & T Clark International,London,eng,,,,,discoverlibrary.vanderbilt.edu,BS575 .A743 2003,,,,,,Women in the Bible; Bible Feminist criticism; Humor in the Bible; Wit and humor in the Bible,"Brenner, Athalya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Are we amused?: humour about women in the biblical worlds
30,,"DeHart, Paul J.",2020,978-0-334-05946-2,,,,"Assessing his continuing importance and introducing him to a new generation of readers, Austin Farrer for Today brings together a stellar collection of writers to reflect on Farrer's contribution to biblical theology, philosophy, language, doctrine, prayer and preaching.",2020,6/23/21 20:38,6/23/21 20:39,6/23/21 20:38,,,,,,,,,,,,Hymns Ancient & Modern,La Vergne,English,,,,,Open WorldCat,,,,,,,,,,,,,"Harries, Richard; Platten, Stephen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Austin Farrer for Today A Prophetic Agenda.
31,,"Harris, Forrest E",1999,0-9673416-1-2,,,,,1999,10/10/14 14:52,11/18/14 21:36,,,,,,,,,,,,,Baptist World Alliance,"McLean, Va.",English,,,,,OCLC WorldCat FirstSearch,,,,,,,Racism; Religious aspects; Baptists. Race relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Baptists against racism
