qid,instance_of_uuid
Q106567676,B73D4165-D7B3-421E-BC7C-91FF24AFEBC7
Q106567689,C687BBC3-7E40-4DF5-84B0-E7ABD3671731
Q106567700,2DF92A48-6A9C-4EE6-98FD-C77297023580
Q106567737,FCF7AECC-EB73-4FA3-8A07-CDD73B7E0331
Q106567740,D57AE0A1-2BD3-4B60-884B-62AC7904AD42
Q106567745,742E90A1-ACB5-4CC4-82EA-389C40D8D161
Q106567674,7FCDD191-498F-4FA2-BB39-640FB7EF7DE2
Q106567679,97D165F9-3BBF-4757-8344-3D163AD9C196
Q106567701,BE005E9F-0A66-4CB6-8414-45D006BD1EAB
Q106567708,62BB08E4-EFE8-465A-9ABE-61C2E04B46C0
Q106567742,F8BC8B1E-1A74-4F67-B3B6-86CFC96DCC30
Q106567687,55F96D11-86F5-48ED-B80E-1D6A75B27A60
Q106567694,746B6AE7-E5E7-485E-AB4B-405709D5D9B6
Q106567704,0C02FF26-F39A-4689-A9BE-82887C2226DE
Q106567723,B15027FB-E6E3-4DDA-A0F9-5709B6C13EF8
Q106567732,1902DFBD-0DC7-4622-8755-921E99345BC7
Q106567677,ADF78402-222D-46EA-A0B7-143FDE19ADF8
Q106567686,FAF5C057-90CF-4D83-BB4E-750828F5EF51
Q106567688,696DE39E-B118-47AD-9DFB-7685DE715FAE
Q106567714,9467BCBA-DBDD-456E-B2A6-D7D8C07AB9AD
Q106567733,16F369C5-B4BA-434A-9526-12DAD7F4CA2B
Q106567739,F4369799-403C-45D7-AFFB-44CF917F1CA9
Q106577452,184F427B-1F03-40AC-AF91-BBE1E966837D
Q106567690,8C040B1D-B5B4-46F7-80D9-89DDB7D4410F
Q106567698,3EA6B14C-6556-4744-AA56-F4E7465C564C
Q106567703,AE4805BC-85B4-443F-9F01-F77BA3DA57B0
Q106567705,7BCAAA22-8D35-4020-A4C2-67DB94AC0E7C
Q106567709,83C85A67-190E-4AA2-8763-C8AFC55B152D
Q106567716,A93B01CE-E96B-43B2-8845-0B544D230F7C
Q106567727,A6AB73BA-243F-4343-9FE1-D63A13EC24CE
Q106567683,5834118A-AB4F-4DEA-B548-5BFE30A52B35
Q106567710,773B4D46-3536-467D-A6E9-5A080AE443ED
Q106567718,04CE2A38-E8ED-4B2C-B240-958DA1AA4A80
Q106567719,C7C96568-7069-455E-8BCA-D15DA511F28B
Q106567721,06D01CDC-A416-4D55-888A-F1A9E2101686
Q106567743,F11885D4-651F-4CC9-8819-3710610BACCF
Q106567741,BA8EA493-9E00-4A52-88A9-9711EBD3AB0C
Q106567673,4EC177A5-815B-4A62-A1A6-C991F22892CA
Q106567692,F6A2C951-92D3-4FCE-92D6-8046DA5E52EA
Q106567693,BFE29FC2-B484-410C-9B8B-4EB7083930E8
Q106567707,B7398568-918A-4834-81AD-020D512A9757
Q106567713,4136843B-B2BA-4645-8499-DA14FCB42C9B
Q106567717,C8B18978-151C-4BB8-B1AA-B4A1FC49FF79
Q106567722,50F72D37-D24B-47AB-82D6-B6E235ABA8EC
Q106567720,3A183CC0-A0A9-4FC5-A634-8E3E077D80ED
Q106567730,229D7667-F823-4EE0-B07D-2EAFECF08157
Q106567738,75895581-B2E4-4C57-9302-224173B26E86
Q106567744,FFD1434B-5B6B-4FE1-88AA-DCE60B91A6E9
Q106567675,73DC0067-A1EC-4FE4-92ED-758017090A82
Q106567682,AEE59E74-A18F-49A2-95CD-06240265A505
Q106567680,7ECC7D72-073F-48D6-951E-3F9D3B722D01
Q106567684,B414AC00-D8BB-47D9-9DB5-DEBBB8D4301B
Q106567685,6B7124C6-EAD2-45F2-8CF7-3C8813BADFC5
Q106567691,4F36C0C2-4DBC-466C-B4AC-20DB4270B620
Q106567695,C467356C-03DE-4A53-A40F-31F825E329CC
Q106567696,C996B824-47A8-4A8C-BF23-EDF351A7347B
Q106567697,43E1ADE6-162D-4D98-836D-EDDC2EA5FD35
Q106567702,4D11B7F4-E1C6-4A41-B132-1343C0A9F3EA
Q106567706,358FBA76-35F9-4772-BA26-0B145CF62BD3
Q106567711,19647BF8-A59A-46B1-B294-6110C415C810
Q106567715,1F86E1A2-0665-41D5-B3A1-2DFA15A50681
Q106567712,29AD2147-9059-4029-9C04-8669DEA85CDD
Q106567725,6F5889CF-5512-49F0-8824-27AFC2318655
Q106567729,EE315581-1603-4FFD-AFA2-8B3903B53A55
Q106567746,22E1B1A5-8EF3-4783-A9D8-B4BB19846FC0
Q106566584,59A9B604-657F-48F9-99DB-196C01257D5A
Q106566608,3380860B-2984-4C6B-94B8-7850E6A9A4C2
Q106566618,6C8E0A0A-B234-4AE6-8DCA-2AA1EA7269E5
Q106566624,B0C42370-9B39-4B60-B6C5-5D9E677BE5F0
Q106566840,32359115-041C-45B7-8B86-3F2F29B146B6
Q106566898,698F9793-2272-49F4-8E7C-0646B43FBF82
Q106566918,13D7EA91-819A-45C6-82E0-94DE6AA615B7
Q106566573,ADAD8148-9BF1-475E-8E66-E1412B42E75E
Q106566576,FAF31354-39C4-414A-A234-F42707E14D35
Q106566577,5AA4C661-2A7D-4CAA-96D2-B1D01744C411
Q106566581,60B39FEB-F6BA-4AA1-8276-B1025A91042A
Q106566597,E1A98AD9-2588-432A-A135-BAF76A84BB44
Q106566727,EE29CEA8-6090-4272-8018-2EAF929973B4
Q106566724,6F40BCF8-6B0A-4EA4-9A06-175E6E1F9EFC
Q106566733,647E4515-A88C-4BC9-91A7-B5CEAA4682FE
Q106566782,4F270D1B-AD5A-46FF-B92B-8402945911CD
Q106566825,4AFA16F2-8F7E-42C3-A39C-CA72D8B8C446
Q106566839,9B19D19E-2B29-4918-8DBE-AB12598EFE0B
Q106566902,6DE343BD-FC25-48E0-8F16-E12AC66BBC3D
Q106566900,6FCAB12D-ADF4-4DBA-9A07-0E7EAB34095E
Q106566591,0B5D0867-7040-41B4-8EAC-5F45280407A8
Q106566606,5CD9E37A-E1F3-4D5B-AF1D-B3197F2069BE
Q106566615,FC4E22FC-1A8C-4751-86FD-F10901CAF9AA
Q106566719,D44FBEB3-2CE3-472B-B5BC-3223070E7BA8
Q106566736,D38BD948-20B7-4CBC-8E82-8F9935D8AB88
Q106566746,154D32E5-C029-4A5D-94A0-BA291B7E130B
Q106566899,3768868A-FA75-4BD2-8F1E-A95D0B358399
Q106566574,156FC57C-69DE-4387-9342-80C1709BE82E
Q106566575,54E81433-9496-4339-8C40-C54E0D9D66B3
Q106566588,4B826FE2-2DD6-41AA-87D1-46A1ABCDEACE
Q106566603,2F6C2951-9DAF-457D-8BF5-4828733603F6
Q106566619,B8D34528-AF95-4103-9722-BFB295A5CCF9
Q106566726,4902A01D-3FE8-4A5E-A435-916DE0A75863
Q106566728,0E949A81-0725-4776-811B-D6A9424800A9
Q106566761,105A22CC-4D67-4ECB-9BD6-8B035A24471E
Q106566922,68D583AB-2D7C-4A51-8124-49A064F92DEC
Q106566924,33BE369F-E839-4D5B-8453-5163B2278C31
Q106566578,D05D9A1A-8977-4789-A46E-242061F7B339
Q106566604,7AD7B6D0-3CA2-465E-BEA5-F1EF92C01C2D
Q106566605,B0132432-F1C0-4CA5-AC1C-1B0B7382A20A
Q106566611,7B75E2B5-E8AB-47F7-A808-DDDC5BB1F230
Q106566652,D1CCC0F2-C3ED-4FB1-9E3A-829FB3EE554C
Q106566741,FBC5CAF1-62B9-4F63-AA72-CD5DA84BA3AC
Q106566594,97F9EF6A-C963-484F-B667-05A3A78AE519
Q106566596,062251EB-1BF9-41C6-9E43-D535243E6526
Q106566600,4A7547C0-350E-4736-92C6-722E11C4ACBE
Q106566610,69D2AF70-739B-4D98-8B6E-BF6E6A3BE2C8
Q106566616,6C4BD252-E575-44FC-AD49-AEF42D2D19E5
Q106566620,E9E3D934-4290-4112-9B1D-C0A28107FF31
