act_id,Labels,corrected
53872,Acts 12: 3 - 19. One of three images of Peter's Imprisonment. Jailor with the key beside the locked door,Acts 12:3-19. One of three images of Peter's Imprisonment. Jailor with the key beside the locked door
53871,Subject Unknown. Jesus and a disciple before a seated figure. Another figure appears appears to be standing in a basket,Subject Unknown. Jesus and a disciple before a seated figure. Another figure appears appears to be standing in a basket
53873,Acts 12: 3 - 19. One of three images of Peter's Imprisonment.. Peter receiving instructions from an angel,Acts 12:3-19. One of three images of Peter's Imprisonment. Peter receiving instructions from an angel
53874,Acts 12: 3 - 19. One of three images of Peter's Imprisonment. Peter with a chain around his neck and the appearance of the angel,Acts 12:3-19. One of three images of Peter's Imprisonment. Peter with a chain around his neck and the appearance of the angel
53875,"Daniel, Chapter 3. One of three images from this story. Guard with a club listening for the screams of these three men",Daniel 3. One of three images from this story. Guard with a club listenig for the screams of these three men
53877,"Daniel, Chapter 3. One of three images from this story. Unknown man weeping in a forest to the side of the burning furnace",Daniel 3. One of three images from this story. Unknown man weeping in a forest to the side of the burning furnace
53878,"Daniel, Chapter 3. One of three images from this story. These three men in the furnace with an angel to protect them",Daniel 3. One of three images from this story. These three men in the furnace with an angel to protect them
53879,Genesis 22. The image of the angel staying the hand of Abraham as he prepares to sacrifice his son,Genesis 22. The image of the angel staying the hand of Abraham as he prepares to sacrifice his son
53881,Luke 1: 26 - 38. One of three images connected to the Annunciation capital. A pilgrim standing under an arch. Notice the scallop shell on his satchel.,Luke 1:26-38. One of three images connected to the Annunciation capital. A pilgrim standing under an arch. Notice the scallop shell on his satchel.
53882,Luke 1: 26 - 38. One of three images connected to the Annunciation capital. An angel announcing to Joseph (a shepherd),Luke 1:26-38. One of three images connected to the Annunciation capital. An angel announging to Joseph (a shepherd)
53885,Luke 1: 26 - 38. One of three images connected to the Annunciation capital. Angel announcing to Mary,Luke 1:26-38. One of three images connected to the Annunciation capital along. Angel announcing to Mary
53887,"These are the first from the far left who are the righteous rising from the grave. Attitude of blessing and thankfulness. A Bishop is among the men, women and children.","These are the first from the far left who are the righteous rising from the grave. Attitude of blessing and thankfulness. A Bishop is among the men, women and children."
53888,"These are the second groups of the righteous. Left: an angel with children clinging to it, a husband holding a child while holding  his wife. Right: two pilgrims with the images of the cross and the shell on their satchels.","These are the second groups of the righteous. Left: an angel with children clinging to it, a husband holding a child while holding  his wife. Right: two pilgrims with the images of the cross and the shell on their satchels."
53889,The center of the rising of souls where an angel marks the divide between the saved (Left) and the damned (Right). This angel is placed directly at the feet of Christ in Majesty. 'Gislebertus hocfect' is translated 'Gislebretus made (carved) this'.,The center of the rising of souls where an angel marks the divide between the saved (Left) and the damned (Right). This angel is placed directly at the feet of Christ in Majesty. 'Gislebertus hocfect' is translated 'Gislebretus made (carved) this'.
53890,"To the right of the Angel, the souls grieve to discover that they have been condemned to Hell for eternity.","To the right of the Angel, the souls grieve to discover that they have been condemned to Hell for eternity."
53891,Note the figure in the center who screams as the hands of the devil clasp his head as he is about to be yanked into hell. Left: a figure holding a money bag (Greed). Right: a woman with snakes at her breasts (Lust),Note the figure in the center who screams as the hands of the devil clasp his head as he is about to be yanked into hell. Left: a figure holding a money bag (Greed). Right: a woman with snakes at her breasts (Lust)
53892,"Right: weighing souls between the angel of God and devils; a devil emerging from a hell mouth holding souls in chains, awaiting their turn. Above: a devil casting souls into another hell mouth. Top: St. John the Evangelist above a line of heaven.","Right: weighing souls between the angel of God and devils; a devil emerging from a hell mouth holding souls in chains, awaiting their turn. Above: a devil casting souls into another hell mouth. Top: St. John the Evangelist above a line of heaven."
