item,qid,itemLabel
http://www.wikidata.org/entity/Q28962603,Q28962603,Examination of the mechanism of decays with singular bond breaking and calculation of their coefficient of reaction rate on the basis of quantum mechanical and statistical methods
http://www.wikidata.org/entity/Q59573010,Q59573010,Fluid flow studies using three component laser Doppler anemometry
http://www.wikidata.org/entity/Q73741690,Q73741690,Perspektiven einer Wirtschaft ohne Wachstum
http://www.wikidata.org/entity/Q87825826,Q87825826,The Dark Ages imaginary in European films
http://www.wikidata.org/entity/Q88223408,Q88223408,Management of corpses in times of crisis: medieval and modern archaeological examples in Western Europe
http://www.wikidata.org/entity/Q88589257,Q88589257,Rainer Barzel. Biography
http://www.wikidata.org/entity/Q96216007,Q96216007,Building the Medieval Trebuchet
http://www.wikidata.org/entity/Q98563366,Q98563366,"Chemical weathering, soil formation, and geobotanical correlations in a portion of the White Mountains, Mono and Inyo Counties, California"
http://www.wikidata.org/entity/Q100804650,Q100804650,"Tracing inclusivity: Contribution of the Dutch private sector to inclusive development in Kenya. Case study of Unilever Tea Kenya Ltd., the flower sector and Lake Turkana Wind Power project"
http://www.wikidata.org/entity/Q102221359,Q102221359,Topical Studies of the Geology of the Tharsis Region of Mars
http://www.wikidata.org/entity/Q102813820,Q102813820,Ortsnamenbuch der Niederlausitz
http://www.wikidata.org/entity/Q104037862,Q104037862,Numerical Studies for Gasoline Particulate Filter Performance Improvement
http://www.wikidata.org/entity/Q104038192,Q104038192,A Transformative Investigation of Acoustical Testing Protocols for Residential Ventilation Devices
http://www.wikidata.org/entity/Q104038575,Q104038575,Improving Vapor Compression Cycle Efficiencies in Support of Conventional Refrigerant Phaseouts
http://www.wikidata.org/entity/Q104038716,Q104038716,Duct Design Impacts on Energy Consumptions and Life Cycle Costs for Residential Central Heating and Cooling Systems
http://www.wikidata.org/entity/Q104179497,Q104179497,"The biology, evolution and systematics of the Gall-inducing scale insect Apiomorpha Rübsaamen (Hemiptera: Sternorrhyncha: Coccoidea)"
http://www.wikidata.org/entity/Q104433210,Q104433210,The Animal Bones from Dinas Powys
http://www.wikidata.org/entity/Q104605574,Q104605574,"Systematics and biogeography of the Styphelieae (Epacridoideae, Ericaceae)"
http://www.wikidata.org/entity/Q105245405,Q105245405,Q105245405
http://www.wikidata.org/entity/Q105302090,Q105302090,"Computationally Driven Characterization of Magnetism, Adsorption, and Reactivity in Metal-Organic Frameworks"
http://www.wikidata.org/entity/Q105752007,Q105752007,Numerical Investigation of Thermo-Hydrodynamics of Multiple Droplet Train Impingement for Surface Cooling
http://www.wikidata.org/entity/Q105752011,Q105752011,Numerical Fluid Dynamics and Combustion Study of Emulsified Canola Oil Droplets in a Swirl Promoted Combustion Chamber
