qid,label_en,author_uuid,author,author_stated_as,author_ref1_hash,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q111635692,"Electromagnetic Multipolarity of Gamma-Rays and Properties of Neutron-Rich, Deformed Fission Fragments",448152F6-FCF1-4968-AE4A-EE375BB7A95E,Q106396259,Jonathan Mark Eldridge,2a462717fd2c52c6a011bd38ceb4b63be92b96e8,http://hdl.handle.net/1803/10041,104a58a9-9034-4717-a7c3-27d3b069103b,2022-02-18T00:00:00Z,11
Q111635697,Ultrafast Fluorescence Upconversion of Alloyed III-V/II-VI Core/Shell Quantum Dots,8E143CDE-0661-4542-91FA-C18FDBD30F16,Q94481595,Nathaniel Johnson Freymeyer,a47a95e97591b31248f6fdd3ffcdc316d84e5148,http://hdl.handle.net/1803/10078,43b66119-330b-4db6-8c73-bcce6fd9fb66,2022-02-18T00:00:00Z,11
Q111635705,Analyzing Exoplanet Survey Methods Using Massive Datasets: Transit and Microlensing Light Curves,90504F3C-E7EC-4458-A15C-E14DBBA8DEC3,Q59675411,Savannah Renee Jacklin,fb3034363d7e8c2bc9ec8fe847ee97f3d1285a57,http://hdl.handle.net/1803/10085,4ffd6f52-8897-44c8-a279-452079b684d5,2022-02-18T00:00:00Z,11
Q111635709,Characterizing Rare Disease-Causing Mutations in Genes Affecting Cation-Coupled Chloride Cotransport,0D08853E-0D60-4E2B-A70B-BBC26608F428,Q89624510,Salma Omer,e5a828c82d50d85b55046fe4c2acd7bcf4165eaa,http://hdl.handle.net/1803/10088,40abb2fc-95f4-459c-b575-73da2d0da202,2022-02-18T00:00:00Z,11
Q111635713,Single Particle Investigation of Dopamine Transporters: Transitioning from Cultured Cells to Living Brain Tissue,E8B465E4-09CD-4165-8BF5-4DD83AAF9A86,Q61125827,Lucas Benjamin Thal,1209453f56175b08cc53fa48f4678ba0ef63ed1d,http://hdl.handle.net/1803/10090,7dcb0ff2-dbc8-4ba3-abd4-101c52057834,2022-02-18T00:00:00Z,11
Q111635717,REGULATION OF NEURONAL L-TYPE Ca2+ CHANNEL SIGNALING TO THE NUCLEUS THROUGH AUTISM-LINKED PROTEINS SHANK3 AND CAMKII,002B78A0-D64A-4ED9-9710-2B53253ABCA7,Q63870130,Tyler Perfitt,d15a9837b113496f2a8a2b44a3568e162e1ed6d2,http://hdl.handle.net/1803/10095,780dadcc-d882-4213-9fcc-9e9d086e695e,2022-02-18T00:00:00Z,11
Q111635729,"The Relationship among Maternal Characteristics, Maternal Dietary Self-Regulation, and the Dietary Intake and Body Weight Status of Two to Five-Year-Old Children",AC97C11A-057B-4E58-B2FA-1B57A21C602A,Q95648024,Andrea Bernadette Bushaw,e3a90c1ed5dab7efaf4eda8d983d18dd739852a9,http://hdl.handle.net/1803/10105,a4bc264f-850d-41a3-aa33-fd4e166c1eb0,2022-02-18T00:00:00Z,11
Q111635734,Atomic Structures and Doping Effects in Intercalated Few-layer Graphene,9C513894-D704-4CC8-AEB0-3EFBEEA30F71,Q106396210,Jason Peter Bonacum,0b8e2a4cccdc083666b7f687528e72f6293d518f,http://hdl.handle.net/1803/10110,9b96944f-c39d-4680-a7af-aa2267ec73d2,2022-02-18T00:00:00Z,11
Q111635741,Nanocalorimeter Platform for Point-of-Care Medical Applications,A7B4DD73-37DD-411F-8852-99FEBB5F6ADF,Q96774097,Evan Peter Kazura,442f64688f91b9c2d546bd8f256877a6b961cbdc,http://hdl.handle.net/1803/10116,5905794e-1546-4bce-b636-c656ca084d55,2022-02-18T00:00:00Z,11
Q111635742,Early Life Adversity and the Stress Response System: Integrating Dimensions of Biological and Psychological Responses to Stress in Adolescence,58F46EFD-8DCF-4085-A098-6A0754A82D18,Q104060320,Meredith Adele Gruhn,09783c2bf48aed4c3249a1dfc8509344d92d0496,http://hdl.handle.net/1803/10117,c0efecce-a94c-45d0-b1be-a1b4d9637adc,2022-02-18T00:00:00Z,11
Q111635747,Attachment Security in Pregnancy Mediates the Association between Maternal Childhood Maltreatment and Psychopathology in Offspring,32C6EFF0-F08B-4F33-9924-AFF8E674642B,Q100526893,Marissa Campbell Roth,03862c36f3a5b763eb3f00851c9fa9e3c6680605,http://hdl.handle.net/1803/10121,f31eecfc-74ec-4fe4-81d9-fff14a93b3b1,2022-02-18T00:00:00Z,11
Q111635748,Estimating Spearman’s Correlation with Bivariate Right-Censored Data.,F2C6586C-A0FE-434B-A46C-95D07C59A0BF,Q104489409,Svetlana Eden,a530da694091696d87e01431a73bf84880bd20d3,http://hdl.handle.net/1803/10122,75a38068-4dca-44e5-a782-bf2ed77bf300,2022-02-18T00:00:00Z,11
Q111635750,Doctorate of Philosophy,3D7F3EAA-C5C2-45C3-873A-7EB90313604F,Q89594267,Marion Frances Sauer,bc4336407a2964039fb25948b5d136c5b00a6906,http://hdl.handle.net/1803/10124,3a9169ee-07cc-45e7-b20a-0bf2c077a958,2022-02-18T00:00:00Z,11
Q111635759,Development of novel Staphylococcus aureus biofilm treatment: A biomaterials approach to delay antibiotic tolerance and inhibit bacterial-mediated bone destruction,3A6DF504-AA7C-46D9-951C-E3CA677F30F6,Q93267153,Thomas Spoonmore,71a3a0f25abd0f6f07777a42768f5128136f4b97,http://hdl.handle.net/1803/10131,fb12cdbc-60e0-4fc4-a0ad-d0fa88dd6996,2022-02-18T00:00:00Z,11
Q111635767,Expression and role of long non-coding RNA H19 in aortic valve development and disease,70FC90D3-538E-40E2-8FD4-06DE92B76311,Q106396363,Mark Vander Roest,ab8f480f20cd5736edf578cf5c0057e18ea64d6d,http://hdl.handle.net/1803/10149,70d6e15c-6d96-4063-9af8-6f5efea5817e,2022-02-18T00:00:00Z,11
Q111635788,Computational Modeling in the Elementary Science Classroom,FDC30FDB-6961-49CE-A3F6-44A3DAD9E972,Q102616044,Amanda Catherine Dickes,b28a1343ac92f23ec174c1392031d12b556587ed,http://hdl.handle.net/1803/10406,53416c4c-b08d-43f4-ba2e-55c342f1ffef,2022-02-18T00:00:00Z,11
Q111635822,Investigating tract-specific changes in white matter with diffusion tensor imaging,EEA83545-2FC8-4E3E-936D-8603BE1D17AB,Q60567380,Lori R Arlinghaus,77e85fb73921af4eb8a899991fa22cc8f869a66c,http://hdl.handle.net/1803/10432,1a3b8073-d904-4cbc-a105-cb7da69d7fa0,2022-02-18T00:00:00Z,11
Q111635823,Constraint on Rare Protein-Coding Variation: Pathogenicity Prediction and Phenotypic Discovery,C154A502-2C1A-4444-BAA3-12908336D894,Q87160535,Robert Michael Sivley,8dff48604f33c6f0ea78a4e6af50d87a1d0bdde5,http://hdl.handle.net/1803/10433,0049c07c-5ea7-4a06-8a79-a40c2527ea0a,2022-02-18T00:00:00Z,11
Q111635825,Exploring two new modalities of topoisomerase II-targeting drugs to enhance specificity for cancer cells,1A875643-980E-4D67-B45D-4BB2D705E58A,Q106396337,Lorena Infante Lara,4b5e5ff60f807cb63a999ce7baa05216802aec97,http://hdl.handle.net/1803/10435,2ac61685-a066-4e80-afd0-844ebbb6bfce,2022-02-18T00:00:00Z,11
