qid,label_en,editor_uuid,editor,editor_series_ordinal,editor_stated_as,editor_ref1_hash,editor_ref1_referenceUrl,editor_ref1_retrieved_nodeId,editor_ref1_retrieved_val,editor_ref1_retrieved_prec
Q110920773,The Future of Mainline Protestantism in America,519B8B7E-11A6-4893-8A83-E746958F9C6B,Q83422314,1,James Hudnut-Beumler,53ec37a2f019afd12415dc9fa297a7696a9cac01,http://doi.org/10.7312/HUDN18360,6219f093-5982-49ec-9848-70be579e7dbf,2022-02-15T00:00:00Z,11
Q110920773,The Future of Mainline Protestantism in America,A06A9865-4C2A-4943-931A-68A900F788D8,Q6769717,2,Mark Silk,53ec37a2f019afd12415dc9fa297a7696a9cac01,http://doi.org/10.7312/HUDN18360,834f5f4c-ad2d-4fb2-bb98-0be34e04aaaa,2022-02-15T00:00:00Z,11
Q110920775,The Cambridge Companion to Puritanism,D88A3BAB-34A6-4FB9-932F-22F02E47EF55,Q15715715,1,John Coffey,33c8e5b3c7db6e1c17a6497064f24b508d4699db,http://doi.org/10.1017/CCOL9780521860888,13cf6957-e80c-4f25-a60e-da9eee62db24,2022-02-15T00:00:00Z,11
Q110920775,The Cambridge Companion to Puritanism,DE978A2D-D2D6-4BEA-B1C1-DDB9C034BA00,Q53901122,2,Paul C. H. Lim,33c8e5b3c7db6e1c17a6497064f24b508d4699db,http://doi.org/10.1017/CCOL9780521860888,ba800e36-926c-4642-937a-55f5704c44c4,2022-02-15T00:00:00Z,11
Q110920779,Religious Experience and New Materialism Movement Matters,6375CC76-2573-4E72-BD4B-60708E04D018,Q27643173,1,Joerg Rieger,f34d5b5ebc41b43ad26acd4025c36831512a7e86,http://doi.org/10.1007/978-1-137-56844-1,f7c09828-93ae-4f82-9b5e-33975a543636,2022-02-15T00:00:00Z,11
Q110920781,"Latino/a Biblical Hermeneutics Problematics, Objectives, Strategies",F28A5A95-3455-4EDA-9701-A7D7ACC1F7ED,Q93244333,1,Francisco Lozada,a0706d5e964cec5081fc6f056f5f255f2e9bb81d,http://doi.org/10.2307/J.CTT9QH241,cbca08ae-a477-4438-a956-b2e8716d1e29,2022-02-15T00:00:00Z,11
Q110920781,"Latino/a Biblical Hermeneutics Problematics, Objectives, Strategies",A8548777-9951-4818-9AB0-880B8016FFFB,Q16122562,2,Fernando F. Segovia,a0706d5e964cec5081fc6f056f5f255f2e9bb81d,http://doi.org/10.2307/J.CTT9QH241,7a6e2d82-dfe6-4d6c-bb3e-0d072b65d28d,2022-02-15T00:00:00Z,11
Q110920782,The Future of the Biblical Past envisioning biblical studies on a global key,2EE84BBC-EBB9-4830-A488-3FEAB3000533,Q58042411,1,Roland Boer,49c48e827e3936d1009f959684caf078cc22bd7a,http://doi.org/10.2307/J.CTT32C046,4eca30f1-026e-452d-a87e-9f780863a06a,2022-02-15T00:00:00Z,11
Q110920782,The Future of the Biblical Past envisioning biblical studies on a global key,48CEABCC-8918-467B-A37F-0889318EF83A,Q16122562,2,Fernando F. Segovia,49c48e827e3936d1009f959684caf078cc22bd7a,http://doi.org/10.2307/J.CTT32C046,b97fd64f-9cc7-42e7-b203-1abe7542c864,2022-02-15T00:00:00Z,11
Q110920788,Religion in the Age of Obama,D55C1F2A-DC0C-4014-805A-393FDD38CB69,Q83500331,1,Juan M. Floyd-Thomas,d90bfb55df902774acd1c81e5b167768054a003d,http://doi.org/10.5040/9781350041073,2229e6bc-03fd-41b7-872d-bc12ad8f8b8f,2022-02-15T00:00:00Z,11
Q110920788,Religion in the Age of Obama,FC4DF9BC-442C-4280-8EE5-A2DE37FBCEAC,Q4772041,2,Anthony B. Pinn,d90bfb55df902774acd1c81e5b167768054a003d,http://doi.org/10.5040/9781350041073,9d81c7f4-5221-42e8-b4e1-1e7695c4b6fa,2022-02-15T00:00:00Z,11
