FACULTY,CHAPTERS,DOI,BOOK TITLE,YEAR,PUBLISHER,NOTES
Victor Anderson,Pragmatic Naturalism and Public Theology: A Version of Religious Naturalism,https://doi.org/10.4324/9781315228907-16,Handbook on Religious Naturalism,2018,Routledge,book doi:10.4324/9781315228907
Victor Anderson,For the Beauty of the World: Vision and Moral Order in Martin Luther King’s World House,https://doi.org/10.2307/j.ctvfxv9j2.6,"Reclaiming the Great World House: The Global Vision of
Martin Luther King Jr",2019,University of Georgia Press,book url https://ugapress.org/book/9780820356044/reclaiming-the-great-world-house/
Victor Anderson,Black Cultural Criticism: The New Politics of Difference and Religious Criticism,https://doi.org/10.7312/king14542-054,Theory/Religion/Critique: Classical and Contemporary Approaches,2017,Columbia University Press,book url http://cup.columbia.edu/book/religion-theory-critique/9780231145435
Victor Anderson,Theorizing Black Religious Studies: A Genealogy,https://doi.org/10.7312/king14542-055,Theory/Religion/Critique: Classical and Contemporary Approaches,2017,Columbia University Press,
Ellen Armour,"Decolonizing Spectatorship: Photography, Theology, and the New Media",https://doi.org/10.2307/j.ctv1m46fsx.9,"Beyond Man: Race, Coloniality and the Philosophy of Religion",2011,Duke University Press,chapter coaccess https://doi.org/10.1215/9781478021339-006; book url https://www.dukeupress.edu/beyond-man
Ellen Armour,"Reponsi/ability, After Derrida",https://doi.org/10.5422/fordham/9780823249923.003.0007,Living Together: Jacques Derrida’s Communities of Peace and Violence ,2012,Fordham University Press,book doi: 10.5422/fordham/9780823249923.001.0001
Ellen Armour,"Beyond the God/Man Duo: Globalization, Feminist Theology, and Religious Subjectivity",10.1093/oxfordhb/9780199273881.003.0018,The Oxford Handbook of Feminist Theology,2011,Oxford University Press,
Ellen Armour,Planetary Sightings? Negotiating Sexual Differences in Globalization’s Shadow,https://doi.org/10.5422/fso/9780823233250.003.0013,"Planetary Loves: Postcoloniality, Gender and Theology",2010,Fordham University Press,book doi: 10.5422/fso/9780823233250.001.0001
Ellen Armour,Divining Differences: Irigaray and Religion,https://doi.org/10.4324/9781315010823-4,Religion in French Feminist Thought,2003,Routledge,book doi: 10.4324/9781315010823
Ellen Armour,"Performative, Queer Theories of Religion: Judith Butler",https://doi.org/10.5040/9781350023772.ch-009,Cultural Approaches to Studying Religion: An Introduction to Theories and Methods,2019,Bloomsbury,book url https://www.bloomsbury.com/us/cultural-approaches-to-studying-religion-9781350023741/
Ellen Armour,Christianity and Sexuality,https://doi.org/10.1007/978-1-4614-6086-2_9040, Encyclopedia of Psychology and Religion,2013,Springer,book doi: 10.1007/978-1-4614-6086-2
Ellen Armour,1 God,https://doi.org/10.2307/j.ctv1hqdhmw.6,Constructive Theology: A Contemporary Approach to Classical Themes,2004,Fortress Press,
Annalisa Azzoni,PFAT 783: fruit and the bazikara,https://doi.org/10.2307/j.ctv1q26jhj.4,Achemenet. Vingt ans après: Études offertes à Pierre Briant à l'occasion des vingt ans du Programme Achemenet,2021,Peeters,book url https://www.peeters-leuven.be/detail.php?search_key=9789042945104&series_number_str=21&lang=fr
Annalisa Azzoni,The Empire as Visible in the Aramaic Documents from Persepolis,https://doi.org/10.2307/j.ctvckq4gq.13,Die Verwaltung im Achämenidenreich—Imperiale Muster und Strukturen / The Administration of the Achaemenid Empire—Tracing the Imperial Signature,2017,Harrassowitz,book doi: 10.2307/j.ctvckq4gq
Stephanie Budwey,Marian Hymnology in the East and West,https://doi.org/10.2307/j.ctv14gpjgt.20,Hymns and Hymnody: Historical and Theological Introductions. Vol. 1: From Asia Minor to Western Europe,2019,Cascade Books,book url https://wipfandstock.com/9781498299800/hymns-and-hymnody-historical-and-theological-introductions-volume-1/
Paul DeHart,Absolute Dependence or Infinite Desire? Comparing Soteriological Themes in Schleiermacher and Kierkegaard,https://doi.org/10.5040/9780567698728.ch-002,Creation and Transcendence: Theological Essays on the Divine Sublime,2021,Bloomsbury,
Juan Floyd-Thomas,Liberation in African American Theology,https://doi.org/10.1093/oxfordhb/9780199755653.013.0014,Oxford Handbook of African American Theology,2014,Oxford University Press,
Juan Floyd-Thomas,"Economic Justice, and Globalization in Black Church Studies: Confronting the ‘Malignant Kinship’ in the Post-Civil Rights Era",https://doi.org/10.1057/9781137534552_26,The Black Church Studies Reader,2015,Palgrave Macmillan,book url https://link.springer.com/book/10.1057/9781137534552
Juan Floyd-Thomas,"‘Lest We Be Scattered Abroad’: Nimrod, Marcus Garvey, and Black Religious Humanism in Harlem",https://doi.org/10.1057/9780230610507_5,African American Religious Life and the Story of Nimrod,2007,Palgrave Macmillan,book url https://link.springer.com/book/10.1057/9780230610507
Stacey Floyd-Thomas,A Field of Study as a Field of Dreams: The Contours of Black Church Studies,https://doi.org/10.1057/9781137534552_5,Black Church Studies Reader,2016,Palgrave Macmillan,
Stacey Floyd-Thomas,"I am Black and Beautiful, O Ye Daughters of Jerusalem...’: African American Virtue Ethics and a Womanist Hermeneutics of Redemption",https://doi.org/10.1057/9780230610507_4,African American Religious Life and the Story of Nimrod,2007,Palgrave Macmillan,
Stacey Floyd-Thomas,Religious Thought: Womanist,https://doi.org/10.4135/9781608712427.n332,Encyclopedia of Religion in America,2010,CQ Press,book doi https://dx.doi.org/10.4135/9781608712427
Jaco J. Hamman,Playing,https://doi.org/10.1002/9781444345742.ch3,The Blackwell companion to practical theology,2011,Blackwell Wiley Press,book doi 10.1002/9781444345742
Forest Harris,"Theology, Praxis, and Leadership: Paradigm for Black Churches,",https://doi.org/10.5040/9780567675477.ch-024,"T&T Clark Handbook of African American Theology,",2019,T&T Clark,
Forest Harris,Pursuing American Racial Justice and a Politically and Theologically Informed Black Church Praxis,https://doi.org/10.14325/mississippi/9781628462005.003.0010,"Post-Racialism and Conflicted Churches in the United States and South Africa,",2015,,book DOI: 10.14325/mississippi/9781628462005.001.0001
James Hudnut-Beumler,Afterword,DOI:10.1093/oso/9780190280192.003.0010,The Business Turn in American Religious History,2017,oxford University Press,book doi  10.1093/oso/9780190280192.001.0001
James Hudnut-Beumler,Economics,https://doi.org/10.1002/9781444324082.ch8,The Blackwell Companion to Religion in America,2010,Wiley,book chaper url https://onlinelibrary-wiley-com.proxy.library.vanderbilt.edu/doi/10.1002/9781444324082.ch8; book doi 10.1002/9781444324082
James Hudnut-Beumler,Suburbanization and Religion,https://doi.org/10.1017/chol9780521871082.006,The Cambridge History of Religions in America,2009,Cambridge University press,book doi 10.1017/CHOL9780521871082
Paul Lim,"But to know it as we should do’: Enthusiasm, Historicizing of the Charismata, and Cessationism in Enlightenment England",https://doi.org/10.2307/j.ctvpj7bgb.14,"The Spirit, the Affections, and the Christian Tradition",2016,University of Notre Dame Press,book doi: 10.2307/j.ctvpj7bgb
Paul Lim,"Herbert, Edward (Lord of Cherbury)",https://doi.org/10.1515/ebr.herbertedwardlordofcherbury,Encyclopedia of the Bible and Its Reception,2009,De Gruyter,
Paul Lim,James I (King of England),https://doi.org/10.1515/ebr.jamesikingofengland,,,,
Paul Lim,Reformed Theology in North America,https://doi.org/10.1093/oxfordhb/9780198723912.013.10,The Oxford Handbook of Reformed Theology,2018,oxford University Press,book DOI: 10.1093/oxfordhb/9780198723912.001.0001
Paul Lim,The Platonic Captivity of Primitive Christianity and the Enlightening of Augustine,https://doi.org/10.1093/acprof:oso/9780190267070.003.0006,God in the Enlightenment,2016,oxford University Press,book DOI: 10.1093/acprof:oso/9780190267070.001.0001
Herbert Marbury,Exogamy and Divorce in Ezra and Nehemiah,https://doi.org/10.1093/oxfordhb/9780190261160.013.38,The Oxford Handbook of the Historical Books of the Hebrew Bible,2020,Oxford University Press,book DOI: 10.1093/oxfordhb/9780190261160.001.0001
David Michelson,"Syriaca.org as a Test Case for Digitally Re-Sorting the Ancient World,",https://doi.org/10.1163/9789004325234_005,Ancient Worlds in Digital Culture,2016,Brill,book url https://brill-com.proxy.library.vanderbilt.edu/view/title/3350
David Michelson,It is not the custom of our Syriac language…’: Reconsidering the Role of Translation in the Polemics of Philoxenos of Mabbug,https://doi.org/10.4324/9781315243191-8,Shifting Cultural Frontiers in Late Antiquity,2012,Ashgate Press,book DOI: 10.4324/9781315243191
David Michelson,Philoxenos of Mabbug: A Cappadocian Theologian on the Banks of the Euphrates?,https://doi.org/10.1484/m.celama-eb.5.108243,"Motions of Late Antiquity: Religion, Politics, and Society from Constantine to Charlemagne",2016,Brepols,book DOI: 10.1484/M.CELAMA-EB.5.108243
David Michelson,“Philoxenos of Mabbug and the Simplicity of Evagrian Gnosis: Competing Uses of Evagrius in Early Sixth-Century Polemical Theology,https://doi.org/10.2307/j.ctvpj7dsk.12,Evagrius and His Legacy,2016,University of Notre Dame Press,book DOI: 10.2307/j.ctvpj7dsk
David Michelson,"Though He cannot be eaten, we consume Him’: Appeals to Liturgical Practice in the Christological Polemic of Philoxenos of Mabbug",https://doi.org/10.31826/9781463214814-022,Malphono w-Rabo dMalphone: Studies in Honor of Sebastian P. Brock,2008,Gorgias Press,book chapter url https://doi-org.proxy.library.vanderbilt.edu/10.31826/9781463214814-022; book url https://doi-org.proxy.library.vanderbilt.edu/10.31826/9781463214814
Graham Reside,The State of Mainline Protestantism Today,https://doi.org/10.7312/hudn18360-003,The future of Mainline Protestantism,2015,new York University Press,book url https://doi-org.proxy.library.vanderbilt.edu/10.7312/hudn18360-003
Joerg Rieger,Rethinking the New Materialism for Religion and Theology,https://doi.org/10.1007/978-1-137-56844-1_6,Religious Experience and New Materialism,2016,Palgrave Macmillan,
Joerg Rieger,Deep Solidarity: Dealing with Oppression and Exploitation Beyond Charity and Advocacy,https://doi.org/10.5325/j.ctv14gp64t.12,Ecological Solidarities: Mobilizing Faith and Justice for an Entangled World,2019,Penn State University Press,book url https://www.jstor.org/stable/10.5325/j.ctv14gp64t
Joerg Rieger,The Bible in the German Empire,https://doi.org/10.1093/oxfordhb/9780190888459.013.27,Oxford handbook of Postcolonial Biblical Criticism,2019,Oxford University Press,book DOI: 10.1093/oxfordhb/9780190888459.001.0001
Joerg Rieger,Working with Environmental Economists,https://doi.org/10.5040/9780567675187.0013,T&T Clark Handbook of Christian Theology and Climate Change,2020,T&T Clark,book DOI: 10.5040/9780567675187
Joerg Rieger,Grassroots Social Movements and Political Theology,https://doi.org/10.1002/9781119133759.ch40,The Wiley Blackwell Companion to Political Theology,2018,Wiley,book chapter url https://doi-org.proxy.library.vanderbilt.edu/10.1002/9781119133759.ch40
Joerg Rieger,Theology and Exclusion: From Charity to Advocacy to Deep Solidarity,https://doi.org/10.4324/9781315209456-7,Theology and Civil Society,2018,Routledge,book DOI: 10.4324/9781315209456
Joerg Rieger,Welcome to the Great American Middle Class: From the American Dream to Deep Solidarity,https://doi.org/10.1057/9781137372215_7,"Theological Perspectives for Life, Liberty, and the Pursuit of Happiness",2013,Palgrave Macmillan,book url https://link.springer.com/book/10.1057/9781137372215
Joerg Rieger,"Responses to Miles, Perdue, West, and Boer.",https://doi.org/10.2307/j.ctt1b7x69m.15,Postcolonialism and the Hebrew Bible: The Next Step,2013,SBL Press,book doi: 10.2307/j.ctt1b7x69m
Joerg Rieger,Reconfiguring the Common Good and Religion in the Context of Capitalism: Abrahamic Alternatives,https://doi.org/10.2307/j.ctt17t74qs.10,"Common Goods: Economy, Ecology, and Political Theology.",2015,Fordham University Press,book url https://doi-org.proxy.library.vanderbilt.edu/10.2307/j.ctt17t74qs
Joerg Rieger,Religious Activism,https://doi.org/10.4135/9781412956215.n732,Encyclopedia of Activism and Social Justice,2007,Sage,book doi: 10.4135/9781412956215
Joerg Rieger,Option for the poor,https://doi.org/10.4135/9781412956215.n636,Encyclopedia of Activism and Social Justice,2007,Sage,
Joerg Rieger,Jesus Christ,https://doi.org/10.2307/j.ctv1hqdhmw.9,Constructive Theology: A Contemporary Approach to Classical Themes,2005,Fortress Press,book url https://doi-org.proxy.library.vanderbilt.edu/10.2307/j.ctv1hqdhmw
Fernando Segovia,"Foreword A Call to Personal, Transformative, Autobiographical Criticism: Reflections on the Work of Ingrid Rosa Kitzberger",https://doi.org/10.2307/j.ctvrs8z3v.5,Interfigural Readings of the Gospel of John,2019,SBL Press,book doi: 10.2307/j.ctvrs8z3v
Fernando Segovia,Intercultural Bible Reading as Transformation for Liberation: Intercultural Hermeneutics and Biblical Studies,https://doi.org/10.2307/j.ctt18z4h3g.4,Bible and Transformation: The Promise of Intercultural Bible Reading,2015,SBL Press,book doi: 10.2307/j.ctt18z4h3g
