key,reason,item_type,isbn,issn,publication_title,publication_year,author,title
JAEN5NTF,Article or chapter without published_in.,bookSection,978-1-4039-8296-4,,"Practicing Catholic: Ritual, Body, and Contestation in Catholic Faith",2006,"Morrill, B.T.; Ziegler, J.E.; Rodgers, S.",Introduction
ZWDBJDP8,Unknown work type.,webpage,,,Ministry Matters,2015,"Pennel, Jr., Joe E.",Chargeable Offenses and Complaints
6QKSXN7Q,Article or chapter without published_in.,bookSection,978-0-8358-1330-3,,The Upper Room Disciplines 2017,2016,"Pennel, Jr., Joe E.; Pennel, Jr., Joe E.",The God Who Searches for Us
K5W62HTL,Article or chapter without published_in.,bookSection,,,The Upper Room Disciplines 2013,2012,"Pennel, Joe; Pennel, Joe",A Vision for Peace
FXU3QRGA,Unknown work type.,report,,,,1982,"Pennel, Joe E.; Richardson, C. Faith; Schreiber, John L.; Waltz, Alan K.; Wynne, Ed; United Methodist Church (U.S.)",A Connectional Community: The Organization of the United Methodist Church in Overhead Transparencies
LN6P7SFH,Unknown work type.,blogPost,,,Justice Blog,2019,"Quigley, Jennifer A.","Why names matter, or, it’s not all about Paul."
SXCFX4CZ,Unknown work type.,blogPost,,,Yale University Press Blog,2021,"Quigley, Jennifer A.",Doing Business with the Gods in the Ancient World
USC6HN2G,Unknown work type.,blogPost,,,Justice Blog,2019,"Quigley, Jennifer A.",The Costs of Our Theologies
3WA3QFU3,Unknown work type.,blogPost,,,Justice Blog,2019,"Quigley, Jennifer A.",Teaching about Gender and Sexuality in the Bible: Reflections from a Seminary Classroom for Congregations
7FWVPM4C,Article or chapter without published_in.,bookSection,978-1-5018-9663-7,,"The Abingdon preaching annual, 2021: planning sermons and services for fifty-two Sundays",2020,"Quigley, Jennifer","March 28, 2021: Sixth Sunday in Lent"
XQU5ZJN4,Article or chapter without published_in.,bookSection,978-1-5018-9663-7,,"The Abingdon preaching annual, 2021: planning sermons and services for fifty-two Sundays",2020,"Quigley, Jennifer","January 3, 2021: Second Sunday after Christmas Day"
LCUS26W6,Article or chapter without published_in.,journalArticle,,,The Bible & Critical Theory,2022,"Quigley, Jennifer","Teaching and touches across time: queer historiography, pedagogy, and appalling bodies"
5JZXRSC9,Unknown work type.,webpage,,,Bible Odyssey,,"Quigley, Jennifer",Welfare and 2 Thessalonians 3:6–14
8M3ADPP5,Unknown work type.,document,,,,2015,"Quigley, Jennifer; Nasrallah, Laura S.; Davis, Zachary","Course Report: Early Christianity: The Letters of Paul, Launched January – February 2014"
FLGTSBS2,Article or chapter without published_in.,bookSection,,,Oxford Encyclopedias of the Bible: Digital Collection,2022,"Quigley, Jennifer A.",Philippi
JL8URVEG,Unknown work type.,webpage,,,Ancient Jew Review,2017,Quigley,Book Note | The People Beside Paul: The Philippian Assembly and History from Below
U6GBD8M7,Unknown work type.,webpage,,,Ancient Jew Review,2018,"Quigley, Jennifer",Book Note | A Spiritual Economy: Gift Exchange in the Letters of Paul of Tarsus
EYDXJ7BN,Unknown work type.,webpage,,,Ancient Jew Review,2019,"Quigley, Jennifer",Book Note | Paul: The Pagans’ Apostle
2MGSIMW3,Unknown work type.,webpage,,,Ancient Jew Review,2019,"Quigley, Jennifer",Dissertation Spotlight | Divine Accounting: Theo-Economics in the Letter to the Philippians
9U44GNWJ,Unknown work type.,webpage,,,Political Theology Network,2020,"Quigley, Jennifer",Assembling New Possibilities from the Christ collectives in Philippi
FB46XEJ6,Article or chapter without published_in.,bookSection,,,Oxford bibliographies. Biblical studies;,2021,"Quigley, Jennifer A.; Porter, Sarah F.","Archaeology, Greco-Roman"
3UEL7ZVF,Article or chapter without published_in.,bookSection,,,The struggle over class: socioeconomic analysis of ancient Christian texts,2021,"Quigley, Jennifer",Class-ifying the Gods: The Christ Commodity in Philippians 3
74KWE7FZ,Article or chapter without published_in.,bookSection,,,"Philippi, from Colonia Augusta to Communitas Christiana: religion and society in transition",2022,"Quigley, Jennifer; Nasrallah, Laura",Cost and abundance in Roman Philippi: the letter to the Philippians in its context
RJFPKF5W,Article or chapter without published_in.,bookSection,,,"Ancient manuscripts in digital culture: visualisation, data mining, communication",2019,"Marguerat, Alessandra; Quigley, Jennifer Aileen; Nasrallah, Laura Salah",HarvardX’s early Christianity: the letters of Paul: a retrospective on online teaching and learning
XEGE6G8U,Article or chapter without published_in.,bookSection,978-1-57607-238-7,,"Religion and American Cultures: An Encyclopedia of Traditions, Diversity, and Popular Expressions",2003,"Reside, Graham",Prayer in America
P3I3UW3D,Article or chapter without published_in.,bookSection,,,Cultures of Call: Exploring Vocational Habits and Practices in Congregations,2004,"Reside, Graham",Modeling the Way: The Grantham Church
MU85DEIH,Article or chapter without published_in.,bookSection,,,Cultures of Call: Exploring Vocational Habits and Practices in Congregations,2004,"Reside, Graham; Okoro, Enuma","Regular and Remarkable Family, Community and Call at Zebulon Baptist Church"
69M29L6Y,Article or chapter without published_in.,journalArticle,,,Podium,2002,"Rieger, Jeorg",Was bedeutet Heimat heute?
82YZX88K,Article or chapter without published_in.,bookSection,,,Faith Communities and Social Movements Facing Globalization: International and Interfaith Colloquium 2000 on Faith-Theology-Economy,2002,"Rieger, Jeorg",How Can People Take Their Economic Lives into Their Own Hands?
UI7XXAB6,Article or chapter without published_in.,bookSection,,,The Quality of the Resurrection Faith,2003,"Rieger, Jeorg",Freedom and Service to Neighbor
CVCN6523,Article or chapter without published_in.,bookSection,978-0-8272-3001-9,,Postcolonial Theologies: Divinity and Empire,2004,"Rieger, Jeorg",Liberating God-Talk: Postcolonialism and the Challenge of the Margins
3NBHX6U5,Article or chapter without published_in.,encyclopediaArticle,978-0-19-522393-4,,Encyclopedia of Christianity,2005,"Rieger, Joerg",Methodism
TGHLTBA3,Article or chapter without published_in.,bookSection,978-0-567-02890-7,,Interpreting the postmodern: responses to 'radical orthodoxy',2006,"Rieger, Joerg",'That's not fair': upside-down justice in the midst of empire
UQRIP2FV,Article or chapter without published_in.,journalArticle,,,Estudos de Religião,2008,"Rieger, Jeorg",Libertando o discurso sobre Deus: Pós-colonialismo e o desafio das margens
AYXDEQXV,Article or chapter without published_in.,journalArticle,,,Revista Caminhando,2008,"Rieger, Jeorg",Methodism and Empire: The Beginnings
RA4SI64W,Article or chapter without published_in.,journalArticle,,,The Clergy Journal,2011,"Rieger, Jeorg","Theology, Economics, and the Future"
LNS27SN3,Article or chapter without published_in.,bookSection,978-0-7391-3705-5,,Alienation and Connection: Suffering in a Global Age,2011,"Rieger, Joerg","Globalization, Empire, and Beyond: The Challenges of Globalizing Christianity and Religion"
PBV7BK4I,Article or chapter without published_in.,bookSection,978-0-230-11975-8,,"The subject, capitalism, and religion: horizons of hope in complex societies",2011,"Rieger, Joerg","Faith Communities, Labor, and Desire - Introduction"
MMDCCFTC,Article or chapter without published_in.,bookSection,978-0-8232-6844-3,,"Common goods: economy, ecology, and political theology",2015,"Rieger, Jeorg",Reconfiguring the Common Good and Religion in the Context of Capitalism: Abrahamic Alternatives
GHIMGEPL,Article or chapter without published_in.,journalArticle,,,Peace Studies Journal,2012,"Rieger, Jeorg",Occupy Wall Street and Everything Else: Lessons for the Study and Praxis of Religion
MNXDLDYN,Article or chapter without published_in.,bookSection,978-1-4267-2977-5,,Abingdon Theological Companion to the Lectionary: Preaching Year C,2012,"Rieger, Jeorg",Proper 21-26 [26-31]
G2J9WZGD,Article or chapter without published_in.,journalArticle,,0342-9423,Interkulturelle Theologie,2012,"Rieger, Joerg",Theologie und die Macht der Ränder in einer postmodernen Welt
LPJCHX4S,Article or chapter without published_in.,bookSection,978-0-7391-7318-3,,"God loves diversity and justice: progressive scholars speak about faith, politics, and the world",2013,"Rieger, Jeorg",Celebrating Diversity is Not What It’s All About: A Progressive While Male German American Theologian Speaks
F92C9HGA,Article or chapter without published_in.,bookSection,978-0-7391-7533-0,,"Across borders: Latin perspectives in the Americas reshaping religion, theology, and life",2013,"Rieger, Joerg",Crossing Borders in the Postcolonial Empire: On Deep Solidarity in the Americas
4RUWKUFK,Article or chapter without published_in.,bookSection,978-0-334-03130-7,,"Christianity, consumerism and the market",2014,"Rieger, Jeorg",Reshaping Desire at Deeper Levels
XXSBXRVX,Article or chapter without published_in.,journalArticle,,,"The Ecumenist: A Journal of Theology, Culture, and Society",2015,"Rieger, Jeorg",Why Both Race and Class Matter in Religion: Taking the Long View
RXXVUIYA,Article or chapter without published_in.,bookSection,978-0-664-23167-5,,The Lord and giver of life: perspectives on constructive pneumatology,2008,"Rieger, Joerg; Jensen,",Resistance Spirit: The Holy Spirit and Empire
EQY9IJUB,Article or chapter without published_in.,bookSection,978-1-932792-50-8,,The Hope of Liberation in World Religions,2008,,Protestantism
7XJNWTXC,Article or chapter without published_in.,bookSection,,,"Liberating the Future: God, Mammon, and Theology",1998,"Rieger, Jeorg",Introduction: Watch the Money & Developing a Common Interest Theology from the Underside
9LM9XEEB,Article or chapter without published_in.,bookSection,,,Theology from the Belly of the Whale: A Frederick Herzog Reader,1999,"Rieger, Jeorg",Introduction: Whaling Our Way into the Twenty-First Century
SVEI4556,Article or chapter without published_in.,journalArticle,,,Evangelische Kommentare,1999,"Rieger, Jeorg",Im Banne der Macht: Wie theologische Autorität neue Legitimation gewinnt
9RQGKRRM,Article or chapter without published_in.,bookSection,,,Finishing the Journey: Questions and Answers from United Methodists of Conviction,2000,"Rieger, Jeorg",Is Homosexuality a Sin?
65HERHWL,Article or chapter without published_in.,journalArticle,,,Unterwegs,2001,"Rieger, Jeorg",Was tut Jesus heute?
2W8SQ6G5,Article or chapter without published_in.,bookSection,978-0-9819921-5-0,,"Faith and the Common Good: The Best of Zion's Herald and The Progressive Christian, 2000-2011",2014,"Rieger, Jeorg",Class Struggle and Religion
B68B4F4V,Unknown work type.,webpage,,,Aeon,2012,"Rieger, Jeorg",Jesus was a worker. He would have joined Occupy – Joerg Rieger | Aeon Essays
NJ8BAEM2,Article or chapter without published_in.,bookSection,978-1-137-31182-5,,The reemergence of liberation theologies: models for the twenty-first century,2013,"Rieger, Jeorg",Context is What Hurts: Rethinking Contextual Theology in Light of Empire and Economics
QI9GPJDC,Article or chapter without published_in.,bookSection,978-1-62698-311-3,,Unsettling the word: biblical experiments in decolonization,2018,"Rieger, Joerg",Reclaiming People Power
ML7CJVHH,Article or chapter without published_in.,bookSection,978-1-945935-26-8,,Missio Dei and the United States: toward a faithful United Methodist witness : study guide.,2018,"Rieger, Joerg",Reaching Out and Reaching In: Reflections on Mission in a Postcolonial Age
PTZNN8VI,Unknown work type.,podcast,,,,,"Rieger, Joerg; Debo, David; Debo, Ann","Faith And Reason 360 | Jesus Vs. Caesar Part 3: Religion, Materialism, and Rapture Theology | Episode 22"
KS77JY2I,Unknown work type.,podcast,,,,,"Rieger, Joerg; Debo, David; Debo, Ann","Faith And Reason 360 | Jesus Vs. Caesar Part 2: Religion, Politics, & Modernity, with Joerg Rieger | Episode 21"
S5N825U5,Article or chapter without published_in.,journalArticle,,,Council for World Mission,2019,"Rieger, Joerg","Empire, Deep Solidarity, and the Future of Resistance"
ECQK6FKK,Unknown work type.,newspaperArticle,,,People’s Reporter: A Form of Current Affairs,2019,"Rieger, Joerg; Rosemaire Henkel-Rieger",Deep Solidarity Beyond Charity and Advocacy: This Changes Everything
GEQZGK2A,Unknown work type.,podcast,,,,,"Posadas, Jeremy; Klein, Jonathan; Rieger, Joerg; Rosemaire Henkel-Rieger; Ward, Kate",ASSEMBLY Ep 03: Economic Justice (cont.)
H9MH3ASN,Unknown work type.,podcast,,,,,"Posadas, Jeremy; Klein, Jonathan; Rieger, Joerg; Rosemaire Henkel-Rieger; Ward, Kate",ASSEMBLY Ep 02: Economic Justice
2ECTYSQA,Article or chapter without published_in.,bookSection,,,Wiley Blackwell Companion to Political Theology,2019,Joerg Rieger,Grassroots Social Movements and Political Theology
CW2YKXPG,Unknown work type.,podcast,,,,,"Rieger, Joerg; Debo, David; Debo, Ann","Faith And Reason 360 | Jesus Vs. Caesar Part 1: Emperor God or Servant God, with Joerg Rieger | Episode 20"
2JD3MGCP,Article or chapter without published_in.,journalArticle,,,Contemporary Marxian Philosophy Studies,2016,"Rieger, Jeorg",From Mechanic to Organic Thinking and Beyond
ISQT4L3L,Article or chapter without published_in.,bookSection,,,Socialism in Process,2017,"Rieger, Jeorg",Why Movements Matter Most: A Conversation with the New Materialism
V9VRIB9Q,Article or chapter without published_in.,bookSection,978-3-946426-01-1,,Reforming Theology – Migrating Church – Transforming Society: A Compendium for Ecumenical Education,2017,"Rieger, Jeorg",Theology of the Multitude
IY7FI65B,Unknown work type.,blogPost,,,Syndicate,,,The Executed God—Syndicate Theology
SC4TWW3U,Article or chapter without published_in.,bookSection,,,Faith and resistance in the age of Trump,2017,"Rieger, Jeorg",National Capitalism: Religious Resonances and Alternatives
PE2DHCTK,Article or chapter without published_in.,bookSection,978-3-631-72956-4,,Demokratie. Ein interdisziplinäres Forschungsprojekt. Salzburger Interdisziplinäre Diskurse,2017,"Rieger, Jeorg",Theologie der Multitude
STZ5C2W8,the editors and authors are wrong,book,,,,,,"Encyclopedia of activism and social justice Gary Anderson and Kathryn Herr, eds."
ZEFXJN83,Article or chapter without published_in.,bookSection,978-3-89965-790-6,,"""Alle Verhältnisse umzuwerfen ... und die Mächtigen vom Thron zu stürzen"": das gemeinsame Erbe von Christen und Marx",2018,"Ramminger, Michael; Segbers, Franz; Institut für Theologie und Politik; Rosa-Luxemburg-Stiftung; Rieger, Joerg","Die Christen, Marx und die USA"
NZR5PRQK,Article or chapter without published_in.,bookSection,,,The Sunday after Tuesday : college pulpits respond to 9/11,2002,"Rieger, Joerg",A Sermon
528VN46J,Article or chapter without published_in.,bookSection,97891900000000,,Between Capital and Cathedral: Essays on Church-State relationships - Vanderbilt University,2012,"Rieger, Jeorg",Being a Christian in a ‘Christian Country’: Theological Reflections
J6ZAAYWC,Article or chapter without published_in.,bookSection,978-90-04-33604-9,,"Contesting religious identities: transformations, disseminations and mediations",2017,"Reiger, Jeorg",Beyond Blind Faith: Religious Identities Under the Conditions of Late Capitalism
VQIG4IZT,Article or chapter without published_in.,bookSection,978-1-137-35137-1,,"Religion, Theology, and Class: Fresh Engagements After Long Silence",2013,"Rieger, Jeorg",Why Class Matters in Religious Studies and Theology
PKZWNVAR,Article or chapter without published_in.,bookSection,978-1-875053-97-1,,"Living on the edge: essays in honour of Steve de Gruchy, activist & theologian",2012,"Rieger, Jeorg","Theology, Development and Liberation: New Challenges in a Globalizing World."
THM8UUWH,Article or chapter without published_in.,bookSection,978-0-8006-6215-8,,Empire and the Christian Tradition: New Readings of Classical Theologians,2015,"Rieger, Jeorg",Theology and Empires & Friedrich Schleiermacher
4IYS7XFF,Article or chapter without published_in.,bookSection,978-1-60947-087-6,,Holy Imagination: Rethinking Social Holiness,2015,"Rieger, Jeorg",Speaking Truth to Power—with a Twist: Reenvisioning the Task of Theology and the Academy.
XDU7VRW9,Article or chapter without published_in.,journalArticle,,,The Asbury Journal,2006,"Rieger, Jeorg","Resistance and Theological Ethics by Ronald H. Stone and Robert L. Stivers, eds"
SD3CR5IC,Article or chapter without published_in.,journalArticle,,,"Sightings, The University of Chicago Divinity School",2014,"Rieger, Jeorg","Religion, Class, and Denominationalism in the US"
Y6APQHF2,Article or chapter without published_in.,bookSection,,,Godly heretics: essays on alternative Christianity in literature and popular culture,2013,"Rieger, Jeorg","Reclaiming the Relation of Religion, Politics, and Economics"
9P5SPK84,Article or chapter without published_in.,bookSection,978-0-8028-6440-6,,An Eerdmans reader in contemporary political theology,2012,"Rieger, Jeorg",Post-Colonial Challenges: Introduction
LH8XND6Q,Article or chapter without published_in.,bookSection,,,Colloquium 2000: Glaubensgemeinschaften und soziale Bewegungen im Streit mit der Globalisierung,2000,"Rieger, Jeorg",Ökonomische Angelegenheiten selbst in die Hand nehmen: Reflektionen von der Unterseite
5F47ID3V,Article or chapter without published_in.,bookSection,978-3-89965-656-5,,"""Diese Wirtschaft tötet"": (Papst Franziskus) Kirchen gegen Kapitalismus",2015,"Rieger, Jeorg",Occupray! Theologie für die 99 Prozent.
3TL7LQ3F,Article or chapter without published_in.,journalArticle,,,Perkins Perspective,1997,"Rieger, Jeorg",Meeting God in West Dallas
A9ME4IEN,Article or chapter without published_in.,bookSection,978-3-932810-35-0,,Das Imperium kehrt zurück: Das Imperium in der Bibel und als Herausforderung für die Ökumene heute,2006,"Rieger, Joerg",Imperium und die christliche Tradition
QUMBGT7T,Article or chapter without published_in.,bookSection,978-3-7022-2554-4,,"Oikos Europa zwischen Oikonomia und Oikumene: Globale Marktwirtschaft, EU-Erweiterung und christliche Verantwortung",2004,"Rieger, Jeorg",Gott und die globale Marktwirtschaf & Ein ‘Streitgespräch
PEIV9LH6,Article or chapter without published_in.,journalArticle,,,"General Board of Higher Education and Ministry of the United Methodist Church, Occasional Papers",2008,"Rieger, Joerg","Globalization, Empire, and Beyond: The Pitfalls and Promises of a Global Church"
FFZ42EY7,Article or chapter without published_in.,bookSection,978-0-8006-3794-1,,"Theology that matters: ecology, economy and God",2006,"Rieger, Joerg","God and power, prophets, and native lands"
Y3Q6KD6F,Article or chapter without published_in.,bookSection,978-987-33-5304-8,,"Con la mirada en el mesías, de la mano del pueblo",2014,"Rieger, Jeorg",Freedom vs. Liberation: Reflections from the United States and Europe in Conversation with Latin America.
5TVZYXCW,Article or chapter without published_in.,dictionaryEntry,,,The Dictionary of Modern American Philosophers,2005,"Rieger, Jeorg",Frederick Herzog
