qid,label_en,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_statedIn,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec
Q100138720,Mari Annales de Recherches Interdisciplinaires,9bc9eab1-433a-9aed-021e-3d515bd84a30,Q737498,,,,,,
Q100144386,NABU Nouvelles Assyriologiques Breves et Utilitaires,e344136d-4f66-8510-b9af-838cb608f0c8,Q737498,,,,,,
Q100145461,Ideas: From the National Humanities Center,0599692a-4be1-fb10-df76-39753d22840f,Q737498,,,,,,
Q100152626,Orientalia,a78710fa-4291-fe8c-e385-fba2b0382709,Q737498,,,,,,
Q100152964,Revue Hittite et Asianique,9ee791ef-49d9-ebea-d045-e2d08dec7487,Q737498,,,,,,
Q100203879,Essedue Edizioni,fff51733-4244-3108-34c3-90c5b2c64367,Q2085381,,,,,,
Q100326549,Bulletin dei verbum,9bb430ee-4c19-87cf-7e5f-e1c45df18763,Q737498,,,,,,
Q100326621,"Listening: journal of communication ethics, religion, and culture",d25aeb94-488a-c965-ff98-5e8b67dc9c6b,Q737498,,,,,,
Q100328257,SBL Society Report,4f6625cb-48dd-6e2b-fbab-6682c31220b8,Q737498,,,,,,
Q100328257,SBL Society Report,bfe8a2af-477b-fbd2-5212-dde29c3cf47e,Q1002697,,,,,,
Q100354047,Journal of Hispanic/Latino Theology,38059050-44ef-f9dd-97df-9ffe0b70120c,Q737498,,,,,,
Q100354778,The Virginia Seminary Journal,121fbf3b-469f-d9b6-1c5a-01e03454b199,Q737498,,,,,,
Q100388108,Trinity Theological Journal,666f9b97-4725-ed65-9c9f-a95bfd8a154a,Q737498,,,,,,
Q100602071,Bridges: a cross-cultural quarterly,5501bd94-4097-e0db-f74d-874118bbf29c,Q737498,,,,,,
Q100604470,Health Wise,1f1f8add-4fa4-e998-6ca0-1f3b24d04b42,Q737498,,,,,,
Q100604537,The Other Journal,a17e84e1-4b30-a557-400f-1fd1e8908773,Q737498,,,,,,
Q100605109,Wellsprings,9401d4d2-42ed-02a9-67e0-4d61998a3931,Q737498,,,,,,
Q100605240,Vanderbilt University Daily Register,aca2e52e-4d1d-a7d7-f460-7900bb5598e2,Q847906,,,,,,
Q100694040,Alive Now,7fe2ff2e-4403-d731-9fa7-9609f1d4c21e,Q41298,,,,,,
Q100697033,Reflections,d5e13a04-476b-3b05-d77e-8aa04bbd1863,Q41298,,,,,,
Q100697813,Journal of Women and Religion,bb6e0176-4b89-2d91-e33b-50589d813f53,Q737498,,,,,,
Q100698279,The Other Side,e8d12a10-4791-dd76-5a0c-f872aba7aa66,Q41298,,,,,,
Q100698886,Annual of the Society of Christian Ethics,27ab5737-414d-5e4d-500d-fd3b987385bd,Q737498,,,,,,
Q100699162,AME Church Review,af6714ed-4bb8-666e-ed5b-382e905d82ce,Q737498,,,,,,
Q100699691,Grey City of the Chicago Maroon,548a36ca-4d15-a888-3e27-7013752d80a9,Q41298,,,,,,
Q100708533,Harvard Divinity Bulletin,3afc2229-4087-b0d6-91b5-921877d6132b,Q737498,,,,,,
Q100708763,Womanist,bf37423a-42b3-ef3c-7c67-96955eb1913b,Q737498,,,,,,
Q100718707,Achaemenid Research on Texts and Archaeology,9de2db0c-435f-fb20-0f38-ea30ee52b5ac,Q737498,,,,,,
Q100724052,Bulletin of Council on the Study of Religion,5cd9efb4-44a7-1cea-6be1-140cefd4d9a5,Q737498,,,,,,
Q100938316,Faith and Form,70ad3685-432f-6ff6-8214-961d35991ede,Q737498,,,,,,
Q100938861,Faith and Leadership,d07cecdc-477a-8a10-6fe8-46b93c2eff4b,Q847906,,,,,,
Q100943219,Journal of Namibian Studies: History Politics Culture,0ad6e586-44a1-f040-458b-88e2f750cdf8,Q737498,,,,,,
Q100978677,New Conversations,d6d9dde0-4b88-3a1c-6e6b-9d8be9b18cae,Q41298,,,,,,
Q100979453,Nova et Vetera (English version),30b8cfc1-4421-95ac-ea8a-c95dff8cfeee,Q737498,,,,,,
Q100979880,Occasional Papers,8d6adbba-4ee8-0c9b-046e-686ed2ac308e,Q737498,,,,,,
Q100980103,Soma: An International Journal of Theological Discourses and Counter-Discourses,d4903ce0-459f-afbf-5479-ee044ddfae15,Q737498,,,,,,
Q100980566,Christian Spirituality Bulletin,003e1c2a-4ea2-feb0-9418-1d7deff6e0da,Q737498,,,,,,
Q100997636,Vital Theology,45a43178-4e61-9d04-5cd4-5aafb2292608,Q737498,,,,,,
Q1107510,Keresztény Szó,EAA22D0D-19EA-4D39-A6F1-1A8BAE9B8010,Q41298,,,,,,
