qid,label_en,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeId,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec
Q102968532,Mercury and Argus,,,,,,,,
Q102968542,"Mickey Rourke, from the series Tribeca, 10013",,,,,,,,
Q102968553,Military Escort - NOT RECEIVED,,,,,,,,
Q102968562,"Millennium Moment, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102968568,Minamoto Yoshitsune Parting with his Wife Shizuka at Mt. Yoshino,,,,,,,,
Q102968574,Miniature pot,,,,,,,,
Q102968583,Miniature Sake Drinking Box,,,,,,,,
Q102968590,"Mirror with a design of flying cranes, tortoise, pine tree with inscription in lacquered case with a design of a pine tree and bamboo",,,,,,,,
Q102968600,Mirror with a foliate rim with a design of phoenixes and flowers,,,,,,,,
Q102968608,Mirror with concentric rings with characters,,,,,,,,
Q102968615,"Mirror with design of paulownia, three circles and three lozenges",,,,,,,,
Q102968623,Mirror with eight petaled rim with a design of a phoenix,,,,,,,,
Q102968630,Mirror with Engraved Design of the Buddhist Deity Zao Gongen,,,,,,,,
Q102968635,Mishima ware mizusashi (lidded water jar) for the tea ceremony with inlay design of dragons and clouds with abstract borders with green glaze,,,,,,,,
Q102968645,"Miya, from ""The Fifty-three Stations of the Tokaido"" (reproduction)",,,,,,,,
Q102968652,Model in landscape,,,,,,,,
Q102968660,Modern Art Poster,,,,,,,,
Q102968666,Modern Man Followed By the Ghosts of His Meat,,,,,,,,
Q102968671,"Modes Parisiennes en prévision-, from Album du Siége",,,,,,,,
Q102968675,"Moi, je suis ravitaille!-, from Album du Siége",,,,,,,,
Q102968680,Momotarō Goes to Devil's Island from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi),,,,,,,,
Q102968687,Mont St. Michel: Interior of the Knights Hall,,,,,,,,
Q102968693,Moonlight Nymphs,,,,,,,,
Q102968700,Moonrise on the Ternin,,,,,,,,
Q102968707,Morning,,,,,,,,
Q102968712,"Morse Code (Gattinara, Italy)",,,,,,,,
Q102968719,Mort de la Madeleine,,,,,,,,
Q102968728,Mosaic,,,,,,,,
Q102968735,Mosaic Box,,,,,,,,
Q102968743,Mother and Child Figure,,,,,,,,
Q102968753,"Mother and Children, Second State",,,,,,,,
Q102968759,Motif Dalamante,,,,,,,,
Q102968768,Motif Dalamate,,,,,,,,
Q102968773,Mount Fuji,,,,,,,,
Q102968780,Mount Fuji and the Pine Beach at Miho,,,,,,,,
Q102968793,"Mozambican Refugee Camp, Malawi",,,,,,,,
Q102968799,Muck Worms,,,,,,,,
Q102968807,"Mystic Marriage of St. Katherine, after Titian",,,,,,,,
Q102968813,"Namotywach ST. 1. Witkiewicza, Szalona Lokomotywa tertrstu",,,,,,,,
Q102968820,Narrative cartoon in three pages (page 1),,,,,,,,
Q102968826,Narrative cartoon in three pages (page 2),,,,,,,,
Q102968833,Narrative cartoon in three pages (page 3),,,,,,,,
Q102968838,"Natsume (tea caddy) with a design of salt making sheds, pines, and fish nets",,,,,,,,
Q102968842,"Near Elche, Spain",,,,,,,,
Q102968848,"Net Repair, Baicul, Itaparica, Brazil",,,,,,,,
Q102968852,Netsuke (Toggle) in the Form of a Chrysanthemum,,,,,,,,
Q102968858,Netsuke (Toggle) in the Form of a Cicada,,,,,,,,
Q102968862,Netsuke (Toggle) in the Form of a Crab and Seashells,,,,,,,,
Q102968867,Netsuke (Toggle) in the Form of a Dragon in Clouds,,,,,,,,
Q102968874,Netsuke (Toggle) in the Form of a Hat Lying on Its Side,,,,,,,,
Q102968882,Netsuke (Toggle) in the Form of a Human Skull,,,,,,,,
Q102968889,Netsuke (Toggle) in the Form of a Lotus Leaf,,,,,,,,
Q102968894,Netsuke (Toggle) in the Form of a Lotus Pod,,,,,,,,
Q102968899,"Netsuke (Toggle) in the Form of a Man on a Fish, with an Ojime (Closing Bead) on Cord",,,,,,,,
Q102968905,Netsuke (Toggle) in the Form of a Man with a Sack,,,,,,,,
Q102968913,Netsuke (Toggle) in the Form of a Sunburst with a Silver Ball in the Center,,,,,,,,
Q102968923,Netsuke (Toggle) in the Form of Half of a Chrysanthemum,,,,,,,,
Q102968931,Netsuke (Toggle) in the Form of Mushrooms,,,,,,,,
Q102968937,Netsuke (Toggle) in the Form of Two Chestnuts,,,,,,,,
Q102968943,Netsuke (Toggle) in the Form of Two Mice on a Seashell,,,,,,,,
Q102968949,Netsuke depicting a deer with a dog on its back,,,,,,,,
Q102968960,Netsuke depicting a dog with a puppy on its back,,,,,,,,
Q102968964,Netsuke depicting a man with a basket of produce,,,,,,,,
Q102968970,Netsuke depicting a tiger and cub,,,,,,,,
Q102968975,Netsuke depicting an inlaid gaming piece,,,,,,,,
Q102968985,Netsuke depicting an octopus holding a shark,,,,,,,,
Q102968990,Netsuke in the shape of a man with movable eyes holding a bag,,,,,,,,
Q102968996,Netsuke with double gourd depicting a pig,,,,,,,,
Q102968999,"New York, 9-11-01",,,,,,,,
Q102969009,Night in New York,,,,,,,,
Q102969017,Night: Sea and Cliff Scene,,,,,,,,
Q102969023,"Nilo (Nile), from Paesaggi (Landscapes)",,,,,,,,
Q102969030,No. 43 (after Claude Lorrain),,,,,,,,
Q102969035,"Nobu Girl, from the series Tribeca, 10013",,,,,,,,
Q102969040,Noire Horizontale (Sombre aux traits fins)| Black Horizontal (Dark fine features),,,,,,,,
Q102969054,North African Battle Scene,,,,,,,,
Q102969059,North Indian artifact,,,,,,,,
Q102969065,Not wanting to say anything about Marcel,,,,,,,,
Q102969070,Not Yet,,,,,,,,
Q102969076,"Notte A Oslo (Night in Oslo), from Paesaggi (Landscapes)",,,,,,,,
Q102969081,Nous ne nous serions - from Album du Siége,,,,,,,,
Q102969096,Nu,,,,,,,,
Q102969107,Nu Couche,,,,,,,,
Q102969115,"Numazu: Twilight (Numazu, tasogare zu)",,,,,,,,
Q102969121,Nymph and Cupids,,,,,,,,
Q102969129,O-bento (Lunch Box),,,,,,,,
Q102969135,Oak chest with biblical subjects,,,,,,,,
Q102969141,"Ocean Scene Harbor, Brittany",,,,,,,,
Q102969146,Octagonal Ink Stick With Relief of a Constellation of a Deity Riding a Mythical Creature,,,,,,,,
Q102969152,Octagonal seal surmounted by a lion,,,,,,,,
Q102969162,Octagonal sided aka-shino ware cup with a design of grasses,,,,,,,,
Q102969168,Octagonal sided jar with three abstract designs,,,,,,,,
Q102969173,October 14th Corn,,,,,,,,
Q102969186,Odalisque,,,,,,,,
Q102969194,"Odawara, from ""The Fifty-three Stations of the Tokaido""",,,,,,,,
Q102969203,"Odeon Table, from the series ""Tribeca, 10013""",,,,,,,,
Q102969208,"OH! from Interjections; as published in Le Figaro, March 17, 1839",,,,,,,,
Q102969216,Oil jar with gold lacquer repair and incised design with celadon glaze,,,,,,,,
Q102969225,Oil jar with gold lacquer repair and inlaid design of flowers and circles with celadon glaze,,,,,,,,
Q102969230,Oil jar with gold lacquer repair with celadon glaze,,,,,,,,
Q102969245,Oil lamp in the form of a bird,,,,,,,,
Q102969260,Oil-drip horse-eye plate,,,,,,,,
Q102969275,Old Man and Young Man in Prison,,,,,,,,
Q102969283,"On aurait pu profiter, from Album du Siége",,,,,,,,
Q102969297,On Imaginative Space,,,,,,,,
Q102969303,"On the Beach at Newport, Rhode Island",,,,,,,,
Q102969309,"Ono no Tōfu Watching a Frog, The Famous Calligrapher, Ono-no-Dofu , Looking at a Frog, from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi)",,,,,,,,
Q102969318,Open bowl with red and orange slip,,,,,,,,
Q102969327,Opus 153,,,,,,,,
Q102969332,Opus 21,,,,,,,,
Q102969336,Opus 61,,,,,,,,
Q102969340,Opus 78,,,,,,,,
Q102969343,Opus 87,,,,,,,,
Q102969347,Opus 88,,,,,,,,
Q102969351,Opus 99,,,,,,,,
Q102969358,Oribe ware beaker with design of leaves,,,,,,,,
Q102969364,Oribe ware bowl with a impressed design of flying birds,,,,,,,,
Q102969370,Oribe ware bowl with green and blue glazes with an incised leaf design,,,,,,,,
Q102969376,Oribe ware flower vase with a design of green and brown abstract pattern,,,,,,,,
Q102969381,Oribe ware oil-drip horse-eye plate with a design of a flying bird,,,,,,,,
Q102969387,Oribe ware oil-drip plate with a design of chrysanthemums,,,,,,,,
Q102969393,Oribe ware plate with a design in brown slip of a bridge,,,,,,,,
Q102969398,Oribe ware tea cup with a design of three chrysanthemum flowers,,,,,,,,
Q102969408,Ornament in a design of a vase with plants and sacred fungus,,,,,,,,
Q102969418,"Ornament with a carved design of a dragon, tiger and hero with attached corn and bead",,,,,,,,
Q102969426,Orphée,,,,,,,,
Q102969437,"Otsu, from ""The Fifty-three Stations of the Tokaido""",,,,,,,,
Q102969447,Our Japanese Army Attacking Ryu-koh Island (Sino-Japanese War),,,,,,,,
Q102969457,Oval mirror with an urn on top,,,,,,,,
Q102969462,Overdoor Panel,,,,,,,,
Q102969469,"Paesaggio Con J-P (Landscape with J-P), from Paesaggi (Landscapes)",,,,,,,,
Q102969473,Painted bowl,,,,,,,,
Q102969478,Painted bowl (very light decoration with traces of mud),,,,,,,,
Q102969484,Painted lidded jar (sawankhalok ware),,,,,,,,
Q102969488,Pair of bi discs with a grain pattern design,,,,,,,,
Q102969500,Pair of dolls,,,,,,,,
Q102969510,"Pair of dwarfs, one with green glaze, the other with three-color glaze in green, brown, and white",,,,,,,,
Q102969516,Pair of lidded lacquer bowls with chopsticks to be presented to a married couple,,,,,,,,
Q102969526,Pair of painted wooden dolls,,,,,,,,
Q102969533,"Pair of Signature Seals, Square with Arched Handles",,,,,,,,
Q102969541,Paired carp,,,,,,,,
Q102969547,Paisaje Cireolar,,,,,,,,
Q102969553,Palais des Beaux-Arts,,,,,,,,
Q102969560,"Palazzo Malatesta, Rimini",,,,,,,,
Q102969567,Pale brown bottle,,,,,,,,
Q102969572,Pale grey-green celadon ware cup,,,,,,,,
Q102969583,Paris Garden,,,,,,,,
Q102969594,"Park Provenzano, from the series ""Tribeca, 10013""",,,,,,,,
Q102969601,Passion de Washington,,,,,,,,
Q102969608,Pastoral,,,,,,,,
Q102969614,Paul Verlaine,,,,,,,,
Q102969618,Paysage,,,,,,,,
Q102969623,Peasant Village (after a painting by Focquer),,,,,,,,
Q102969627,Peasants at Home,,,,,,,,
Q102969634,Peasants in a Landscape,,,,,,,,
Q102969643,Pedestal bowl with celadon glaze and gold leaf repair,,,,,,,,
Q102969655,Pedestal dish with incised design,,,,,,,,
Q102969661,Pedestal dish with lid with incised and punched designs,,,,,,,,
Q102969665,Pembroke,,,,,,,,
Q102969670,Pen and ink holder,,,,,,,,
Q102969675,People and Stage Coach Train,,,,,,,,
Q102969681,People on the Nihonbashi Bridge,,,,,,,,
Q102969689,Percussion,,,,,,,,
Q102969695,Pergamon,,,,,,,,
Q102969700,Personnage a l'oeil vert (Person with a green eye),,,,,,,,
Q102969711,Petrus und die Magd (Peter and the Maid),,,,,,,,
Q102969718,Peupliers et mont-St-Michel,,,,,,,,
Q102969723,"Philadelphia, from American Abstract Artists 50th Anniversary Print Portfolio",,,,,,,,
Q102969729,Photographic reproduction of a Chinese painting,,,,,,,,
Q102969736,"Pieces of Sound, from the Revolutions Per Minute (The Art Record)",,,,,,,,
Q102969744,Pietà,,,,,,,,
Q102969751,Pine Tree (hanging scroll),,,,,,,,
Q102969758,Pink Cat,,,,,,,,
Q102969763,Pipe case with a carved design of vines and leaves,,,,,,,,
Q102969769,Pitcher,,,,,,,,
Q102969774,Pitcher with stamped abstract signs,,,,,,,,
Q102969782,Pitcher with temmoku glaze,,,,,,,,
Q102969791,"Pitcher, black glazed pottery",,,,,,,,
Q102969797,Place mats (four in total),,,,,,,,
Q102969801,Plate  with a design in blue underglaze of a vase of flowers,,,,,,,,
Q102969805,Plate with a design in blue underglaze of a Chinese-style landscape,,,,,,,,
Q102969811,Plate with a design in blue underglaze of a radish,,,,,,,,
Q102969817,Plate with a design in blue underglaze of a wagtail,,,,,,,,
Q102969821,Plate with a design of three warriors,,,,,,,,
Q102969831,Plate With Carved Clematis Flower,,,,,,,,
Q102969847,Plate with design in blue underglaze of mouse eating a turnip,,,,,,,,
Q102969852,"Plate X from: Hesiode, Les Travaux et les Jours (Hesiodos, The Works and Days)",,,,,,,,
Q102969861,Plexigram I (Not wanting to say anything about Marcel),,,,,,,,
Q102969870,Plexigram II (Not wanting to say anything about Marcel),,,,,,,,
Q102969877,Plexigram III (Not wanting to say anything about Marcel),,,,,,,,
Q102969882,Plexigram IV (Not wanting to say anything about Marcel),,,,,,,,
Q102969889,"Plus de viande!-, from Album du Siége",,,,,,,,
Q102969895,Poison Pie,,,,,,,,
Q102969901,"Polynesian/Polyhedron, from the Revolutions Per Minute (The Art Record)",,,,,,,,
Q102969909,"Porcelain dish with a design in  blue under glaze of a written character of happiness, five bats, and a key fret rim, with three bats on underside",,,,,,,,
Q102969915,"Porte St. Martin, Paris, 1924",,,,,,,,
Q102969922,Portrait of a man,,,,,,,,
Q102969929,Portrait of a Man,,,,,,,,
Q102969939,Portrait of a young woman,,,,,,,,
Q102969948,Portrait of George Peabody,,,,,,,,
Q102969953,Portrait of Julián Trujillo Largacha,,,,,,,,
Q102969958,"Positions, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102969966,"Poster, Tel Aviv",,,,,,,,
Q102969975,Pot with decoration in brown around upper rim,,,,,,,,
Q102969980,Pot with Round Base and Cylindrical Neck,,,,,,,,
Q102969988,Pottery bowl with pale greenish glaze,,,,,,,,
Q102969994,Pour Etre Empereur l'Occident,,,,,,,,
Q102970002,"Pour ne pas etre blesse, from Album du Siége",,,,,,,,
Q102970011,"Préparant les étrennes pour son peuple. (Preparing New Year’s gifts for his people.), from Album du Siége",,,,,,,,
Q102970016,Presentation of Jesus in the Temple,,,,,,,,
Q102970022,Priest Rennyo Preaching at Yoshizaki,,,,,,,,
Q102970032,Primary Series: Gold Stone,,,,,,,,
Q102970045,Primping,,,,,,,,
Q102970050,"Prince Bishop's Palace, Würzburg",,,,,,,,
Q102970057,"Princess or Attendant to a Courtesan, Concealing a Knife, and a Man by the Window with the Shadow of the Fox Spirit",,,,,,,,
Q102970067,"Print no. 9 from, The Cultivation of Silkworms",,,,,,,,
Q102970079,Print with eight scenes,,,,,,,,
Q102970085,Print with twelve scenes,,,,,,,,
Q102970092,Printing Block with a Design of a Fan and Peonies,,,,,,,,
Q102970097,Printing Block with a Design of Sparrows and Bamboo,,,,,,,,
Q102970107,"Printing Block with Two Designs, Each with Two Figures and an Umbrella",,,,,,,,
Q102970113,"Prisme, from American Abstract Artists 50th Anniversary Print Portfolio",,,,,,,,
Q102970120,Procession,,,,,,,,
Q102970125,Proyectos Para Un Paisaje,,,,,,,,
Q102970130,Psychopathic Ward,,,,,,,,
Q102970134,"Purification from Envy (Purgatorio, Canto 13) from Illustrations to Dante's Divine Comedy",,,,,,,,
Q102970141,"Purse With Three Monkeys in a Pine Tree on One Side, & a Dragon in Waves on the Other",,,,,,,,
Q102970149,Qingbai celadon ware bowl,,,,,,,,
Q102970156,Qingbai ware bowl,,,,,,,,
Q102970164,Qingbai ware bowl with flower designs,,,,,,,,
Q102970171,Quail-shaped box on a wooden stand (2 parts),,,,,,,,
Q102970176,"Quand je pense que-, from Album du Siége",,,,,,,,
Q102970183,"Quanta, from American Abstract Artists 75th Anniversary Print Portfolio",,,,,,,,
Q102970189,Quiet Waters (reproduction),,,,,,,,
Q102970194,"R. Slippy, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102970201,Railway and Viaduct Across the Turnpike Road Watford-Herts,,,,,,,,
Q102970212,Rain Drum (reproduction),,,,,,,,
Q102970219,"Rakuchu-Rakugai (View of Daily Life in Kyoto), six panel screen",,,,,,,,
Q102970226,"Rationnement du pain. Un monsieur allant dîner en ville. (The rationing of bread.—A man going downtown to dine.), from Album du Siége",,,,,,,,
Q102970235,"Really, Is That a Fact, from the Revolutions Per Minute (The Art Record)",,,,,,,,
Q102970243,Rebecca (after Veronese),,,,,,,,
Q102970248,Recess #1,,,,,,,,
Q102970254,Reclining Nude,,,,,,,,
Q102970261,Reclining Nude,,,,,,,,
Q102970269,Reclining Nude (after Titian),,,,,,,,
Q102970276,Reclining ox with brown glaze,,,,,,,,
Q102970280,Red and gold fabric,,,,,,,,
Q102970289,Red bowl with a black band,,,,,,,,
Q102970296,"Red Dune, from ""America: Now + Here"" a portfolio",,,,,,,,
Q102970306,Red Maple Leaves at Kaian-ji Temple (Kaian-ji kōyō),,,,,,,,
Q102970315,"Red Sankaku, from American Abstract Artists 75th Anniversary Print Portfolio",,,,,,,,
Q102970324,Relief of Five Arhats (disciples of Buddha),,,,,,,,
Q102970329,Remembering Magellan - The Atlantic Ocean,,,,,,,,
Q102970335,Repoussé bowl with farm scenes,,,,,,,,
Q102970341,Reproduction of a screen painting,,,,,,,,
Q102970348,"Reproductions of Samurai Swords, (Set of two) with Lacquered Stand",,,,,,,,
Q102970353,Rest on the Flight into Egypt,,,,,,,,
Q102970360,Restaurant Scene,,,,,,,,
Q102970366,Resting Cat,,,,,,,,
Q102970371,"Return to Go, from: 10 West Coast Artists",,,,,,,,
Q102970380,Revival Ramp,,,,,,,,
Q102970390,Rice Cake Mold (2 parts) with a Design of a Diamond-Shaped Flower,,,,,,,,
Q102970395,Rice Cake Mold (2 parts) with a Design of an Open Folding Fan,,,,,,,,
Q102970401,Rice Cake Mold (2 parts) with a Design of Pine Branches Against a Full Moon,,,,,,,,
Q102970406,Rice Cake Mold (2 parts) with a Design of Thirteen Bamboo Shoots,,,,,,,,
Q102970411,Rice Cake Mold with a Circular Design of Three Wisteria Blossoms,,,,,,,,
Q102970419,Rice Cake Mold with a Cucumber,,,,,,,,
Q102970425,Rice Cake Mold with a Design of a Bamboo Shoot,,,,,,,,
Q102970430,Rice Cake Mold with a Design of a Basket of Peaches and Pomegranates,,,,,,,,
Q102970438,Rice Cake Mold with a Design of a Peony,,,,,,,,
Q102970446,Rice Cake Mold with a Design of a Pine Tree and Bamboo Grass,,,,,,,,
Q102970454,"Rice Cake Mold with a Design of a Tortoise on One Side, a Crane on the Other",,,,,,,,
Q102970459,Rice Cake Mold with a Design of a Twelve-Petalled Chrysanthemum and a Peach,,,,,,,,
Q102970464,Rice Cake Mold with a Design of Five Drinking Gourds,,,,,,,,
Q102970468,Rice Cake Mold with a Design of Five Squares with Five Variations of the Character for Good Fortune (Fuku),,,,,,,,
Q102970472,Rice Cake Mold with a Design of Five Tortoises,,,,,,,,
Q102970480,"Rice Cake Mold with a Design of Mt. Fuji, Pine, a Bird, Two Fruits, and Clouds",,,,,,,,
Q102970490,"Rice Cake Mold with a Design of Two Deer on One Side, Pine Trees on the Other",,,,,,,,
Q102970496,"Rice Cake Mold with a Design on one Side of Two Stylized Flowers, Another Flower on the Other Side",,,,,,,,
Q102970508,Richard III,,,,,,,,
Q102970517,"Rimac, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102970524,Ring Out Wild Bells to the Wild Sky,,,,,,,,
Q102970529,"Ringling Bros and Barnum & Bailey Circus: See you at ""The Greatest Show on Earth""",,,,,,,,
Q102970536,River Scene,,,,,,,,
Q102970542,Road Accident by a Windmill,,,,,,,,
Q102970556,Rockingham Pottery Brown Cookie Jar,,,,,,,,
Q102970564,Rockport (Bearskin Neck),,,,,,,,
Q102970577,Rockport (Front Beach),,,,,,,,
Q102970586,Roentgenologist's Nightmare,,,,,,,,
Q102970594,Roman Republic coin,,,,,,,,
Q102970600,Rooftops,,,,,,,,
Q102970607,"Rose Mirror, from American Abstract Artists 75th Anniversary Print Portfolio",,,,,,,,
Q102970613,"Rough seas harbor scene, after J. Vernet",,,,,,,,
Q102970619,Royal Fisherman,,,,,,,,
Q102970627,"Rubbing of stone relief showing a battle on a bridge, from the Wu Family Shrines, Shandong province",,,,,,,,
Q102970631,Rue d'Orchamp,,,,,,,,
Q102970636,Ruins,,,,,,,,
Q102970643,"Ruins of the Basilica of St. Paul's in Rome (image verso, view inside the Basilica of St. Paul's in Rome)",,,,,,,,
Q102970648,Rundhurst,,,,,,,,
Q102970654,"Russian Language Lesson, from the Revolutions Per Minute (The Art Record)",,,,,,,,
Q102970658,"Russian troops combat an attempted coup d'etat, Moscow, Russia",,,,,,,,
Q102970665,Rustic Lovers,,,,,,,,
Q102970670,Sac (Sack),,,,,,,,
Q102970676,Sad Cat,,,,,,,,
Q102970684,Sailboat,,,,,,,,
Q102970691,"Sakanoshita: Fudesute Mountain (Sakanoshita, Fudesute mine)",,,,,,,,
Q102970696,Sake bottle with inscription,,,,,,,,
Q102970706,Sake cup with a design in blue underglaze of a gourd and vines,,,,,,,,
Q102970719,Sake cup with a design of a flying crane in blue glaze,,,,,,,,
Q102970729,Sake cup with a square foot and an inscription on the outside rim,,,,,,,,
Q102970735,"Sake flask with a combination of abstract and floral patterns in green, yellow and red",,,,,,,,
Q102970740,Sake flask with a design in blue and brown underglaze of fish with a thin overglaze,,,,,,,,
Q102970749,Sake flask with a design in blue underglaze of abstract floral motif,,,,,,,,
Q102970757,Sake flask with green and glaze with abstract line design,,,,,,,,
Q102970763,Sake flask with ochre and green glazes with incised abstract floral motif,,,,,,,,
Q102970768,San Blas Embroidery,,,,,,,,
Q102970776,"San Quentin, California, Death House Prison",,,,,,,,
Q102970782,"Sannio (Sannio), from Paesaggi (Landscapes)",,,,,,,,
Q102970790,"Sans, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102970796,"Sarah after Court Hearing, from the series, I Am Unbeatable",,,,,,,,
Q102970805,"Sarah and a member of B.A.C.A. discussing a strategy to protect the boys, from the series, I Am Unbeatable",,,,,,,,
Q102970812,"Sarah and Her Family, from the series, I Am Unbeatable",,,,,,,,
Q102970819,"Sarah and Her Mother, from the series, I Am Unbeatable",,,,,,,,
Q102970824,"Sarah and Taylor, from the series, I Am Unbeatable",,,,,,,,
Q102970832,"Sarah with her Family Attend the ""Meet us at the Bridge"" Ceremony, from the series, I Am Unbeatable",,,,,,,,
Q102970839,"Sarah, James and Taylor, from the series, I Am Unbeatable",,,,,,,,
Q102970850,"Sarah's New World, from the series, I Am Unbeatable",,,,,,,,
Q102970864,Sashi with leather coin purse,,,,,,,,
Q102970872,Sauce pot with a design in blue and brown underglaze of flowers,,,,,,,,
Q102970879,Sauce pot with design of a white camellia blossom,,,,,,,,
Q102970890,Sauce pot with lid with a design in blue underglaze of flowers,,,,,,,,
Q102970897,Sausage,,,,,,,,
Q102970904,Sawankhalok war lidded jar with abstract designs in brown underglaze,,,,,,,,
Q102970912,Scarborough,,,,,,,,
Q102970917,"Scarborough, London & North Eastern Railway of England and Scotland",,,,,,,,
Q102970925,Scene #10 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970933,Scene #11 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970941,Scene #11 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970948,Scene #2 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970954,Scene #3 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970960,Scene #3 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970971,Scene #4 from The Lives of the Loyal Retainers (Chushingura ),,,,,,,,
Q102970978,Scene #5 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970984,Scene #5 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970990,Scene #6 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102970998,Scene #6 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102971008,Scene #7 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102971015,Scene #7 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102971027,Scene #8 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102971033,Scene #8 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102971046,Scene #9 from The Lives of the Loyal Retainers (Chushingura),,,,,,,,
Q102971052,Scene from a Kabuki Play,,,,,,,,
Q102971059,Scene in Haiti #1,,,,,,,,
Q102971068,Scene in Haiti #2,,,,,,,,
Q102971078,Scenes from life of a saint,,,,,,,,
Q102971086,School Girls (Study for Recess #1),,,,,,,,
Q102971092,Scotland Yard with Part of the Banquet House,,,,,,,,
Q102971097,"Screen painting of five cranes (three flying), with a rushing stream on the left and the bank on the right",,,,,,,,
Q102971105,"Screen painting of four cranes (three flying), with flowing water, bamboo, and cherry blossoms",,,,,,,,
Q102971112,"Screen, from American Abstract Artists 60th Anniversary Print Portfolio 1997",,,,,,,,
Q102971120,Scroll weight with an inlaid chrysanthemum design in mother of pearl,,,,,,,,
Q102971125,Scroll weight with an inlaid floral design in silver and gold,,,,,,,,
Q102971132,Scroll weight with an inlaid tree peony design in gold and silver,,,,,,,,
Q102971141,Scroll weight with inscription,,,,,,,,
Q102971147,Sculptural Objects,,,,,,,,
Q102971155,Sea Battle,,,,,,,,
Q102971169,Seal case with a design of a dragon on both sides,,,,,,,,
Q102971179,Seal with Herman D. Doochin's personal seal reading Ha-man,,,,,,,,
Q102971185,"Seals and Labels of a Theatrical Group's Gathering Held on January 20, 1921",,,,,,,,
Q102971191,Seated Buddha with reversed swastika on chest in meditation,,,,,,,,
Q102971199,Seated Female Figure,,,,,,,,
Q102971215,Seated female figure with fan with green glaze,,,,,,,,
Q102971222,Seated man with green glaze,,,,,,,,
Q102971229,Seated Nude,,,,,,,,
Q102971237,Second of Six Images for J,,,,,,,,
Q102971244,Section of obi with a design of Mt. Fuji and fishermen,,,,,,,,
Q102971257,"Seki: Early Departure of a Daimyō (Seki, honjin hayadachi)",,,,,,,,
Q102971272,"Self portrait ""For Your File. Fritz Eichenberg"" (2 copies)",,,,,,,,
Q102971281,"Sera Sulla Collina (Evening on the Hill), from Paesaggi (Landscapes)",,,,,,,,
Q102971288,"Sesshū Drawing Rats which Come to Life, from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi)",,,,,,,,
Q102971296,Set of Eight Ink Sticks With Relief Designs of Landscapes & Calligraphy,,,,,,,,
Q102971305,Set of five incense cases with individual designs in cotton pouch,,,,,,,,
Q102971310,Set of five incense cases with individual designs in cotton pouch (Bouquet of Irises for the Boy's Festival design),,,,,,,,
Q102971317,Set of five incense cases with individual designs in cotton pouch (Emperor and Empress for the Girl's Doll Festival design),,,,,,,,
Q102971327,Set of five incense cases with individual designs in cotton pouch (Leaf and inscribed poem papers for the Tanabata Festival design),,,,,,,,
Q102971335,Set of five incense cases with individual designs in cotton pouch Chrysanthemum and butterfly,,,,,,,,
Q102971341,Shallow dish with radial cornered gray landscape (Ko-Kutani ware),,,,,,,,
Q102971349,Shard of an Amphora,,,,,,,,
Q102971358,"Sheep, Cows, and People Crossing a Bridge",,,,,,,,
Q102971369,Shibayama plaque with design of Mt. Fuji and lake,,,,,,,,
Q102971380,Shield,,,,,,,,
Q102971388,Shigaraki ware bowl with foliate rim brown glazes,,,,,,,,
Q102971395,Shigaraki ware chawan (tea bowl) with green and brown glaze,,,,,,,,
Q102971404,Shigaraki ware vase with incised pattern,,,,,,,,
Q102971410,Shikishi cardboard square with calligraphy reading Haman (Herman Doochin),,,,,,,,
Q102971418,Shinnecock Cloudburst,,,,,,,,
Q102971431,Shino ware chawan (tea bowl) with a plant design,,,,,,,,
Q102971440,Shinzo Ukiyo E Ruiko,,,,,,,,
Q102971448,Shoes,,,,,,,,
Q102971457,"Shore/Coast (Varigotti, Italy)",,,,,,,,
Q102971466,Shrimp (hanging scroll),,,,,,,,
Q102971472,Sign Boards Giving the Names of Donors to Shi-Tenno-ji Temple in Osaka,,,,,,,,
