department,qid,name,labelEn,alias,description,orcidStatementUuid,orcid,orcidReferenceHash,orcidReferenceValue_nodeId,orcidReferenceValue_val,orcidReferenceValue_prec,employerStatementUuid,employer,employerReferenceHash,employerReferenceSourceUrl,employerReferenceRetrieved_nodeId,employerReferenceRetrieved_val,employerReferenceRetrieved_prec,affiliationStatementUuid,affiliation,affiliationReferenceHash,affiliationReferenceSourceUrl,affiliationReferenceRetrieved_nodeId,affiliationReferenceRetrieved_val,affiliationReferenceRetrieved_prec,instanceOfUuid,instanceOf,sexOrGenderUuid,sexOrGenderQId,gender,degree,category,wikidataStatus,role
psychiatry,Q87288191,A. J. Reid Finlayson,A. J. Reid Finlayson,[],psychiatrist,205935C7-A976-4B0B-B6D7-F47851E1060F,0000-0002-6474-6608,886a00dce4ac1dbef3576edda43b2047dedb04b8,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,052AC8EA-AAEC-4638-B7AB-802ED9CB3B05,Q29052,3402cbcaefe4878373c53220d7e6875fe7baa6b4,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,3B013519-B2C0-47D6-AFB6-125A5A8761EE,Q89953993,3402cbcaefe4878373c53220d7e6875fe7baa6b4,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,CDF60D7B-1B95-44B9-828E-9F84B823BBF0,Q5,2E0A9DF1-6AD3-4734-B76B-970F60D23DBC,Q6581097,m,M.D.,F,11,"[{""title"": ""Associate Professor of Clinical"", ""department"": ""Psychiatry and Behavioral Sciences""}]"
me,Q86864473,A. V. Anilkumar,A. V. Anilkumar,[],mechanical engineer,,,,,,,4EE374E5-257B-46F2-B5E6-813212F0CD63,Q29052,d62270ef2cbe00d3fe8d9642b8e75d11507c210b,https://engineering.vanderbilt.edu/me/faculty-staff/index.php,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,A52FF141-32B0-4CDE-B628-D6616BE43550,Q84270590,d62270ef2cbe00d3fe8d9642b8e75d11507c210b,https://engineering.vanderbilt.edu/me/faculty-staff/index.php,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,CF8066B4-6556-4D69-A19E-A7859E3A1464,Q5,3133C531-2784-405E-BEDD-59F6828FF640,Q6581097,m,,,7,"[{""title"": ""faculty"", ""department"": ""Mechanical Engineering""}]"
eecs,Q86851912,A.B. Bonds,A.B. Bonds,[],computer scientist,,,,,,,A24FCEA2-6B49-4970-A8BD-5DB739EA8312,Q29052,2723a56359f76373eeb64ab3e4e1c94d9d640248,https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,6313B6F7-E54A-4839-841C-393D6D9996DD,Q84270584,2723a56359f76373eeb64ab3e4e1c94d9d640248,https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,123DE9A5-4C56-434E-B4D6-9A0765C011BD,Q5,F4C853A1-5480-4527-B84C-D42A51A852ED,Q6581097,m,,,7,"[{""title"": ""faculty"", ""department"": ""Electrical Engineering and Computer Science""}]"
urology,Q91553643,Aaron Alan Laviana,Aaron Alan Laviana,[],urologist,,,,,,,415FC7D5-8F58-4A17-9DFE-FA5AF6D25C5F,Q29052,0a85be162f7741489fb9cfaa2fec76ee3c351e52,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=L,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,085CB33E-8C07-4373-9E8B-9886FC8F702A,Q89954019,0a85be162f7741489fb9cfaa2fec76ee3c351e52,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=L,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,6B38FF34-5B7A-458F-95FB-A63442372EDA,Q5,DC00BCC7-4C67-406C-BDC9-3A171DFC8E8D,Q6581097,m,M.D.,L,7,"[{""title"": ""Instructor in Clinical"", ""department"": ""Urology""}]"
pathology,Q91454917,Aaron C. Shaver,Aaron C. Shaver,[],pathologist,,,,,,,CD93FAB2-D23E-48EC-B83F-23C6D6CDD75D,Q29052,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,8A55FC70-5F26-4E9A-99C1-FD450084C4DD,Q89953964,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,DBA0D5BA-F706-4940-B6E3-E976D7937E38,Q5,37EE1418-E6E1-44AD-9E57-A4F5F3B00E9D,Q6581097,m,"Ph.D., M.D.",S,7,"[{""title"": ""Associate Professor"", ""department"": ""Pathology, Microbiology and Immunology""}]"
radiology,Q91537505,Aaron Craig Jessop,Aaron Craig Jessop,[],radiologist,,,,,,,3BE8D6F6-A824-49BE-97D1-E8B50F0241F4,Q29052,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,D23C6B15-7378-4687-BD7D-4323142D53AA,Q89954005,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,1B5D5222-6FC1-4459-9A7C-5449C9CE7A00,Q5,CEC30A54-F84D-4D3A-B9BA-9C5548C0ED60,Q6581097,m,"M.D., M.B.A.",J,7,"[{""title"": ""Associate Professor of Clinical"", ""department"": ""Radiology & Radiological Sciences""}]"
chemistry,Q86531418,Aaron Daniel,Aaron Daniel,[],chemist,,,,,,,6EBC740D-2119-4063-833D-6D5E0C01F1C2,Q29052,6e131c6930e3391c789ad641223c28d87d160969,https://www.vanderbilt.edu/chemistry/faculty/index.php,b863766d-aeba-4167-b816-b45039c77d94,2020-02-27T00:00:00Z,11,72F46062-7F3A-4DF6-B29B-AFA278613295,Q45132727,6e131c6930e3391c789ad641223c28d87d160969,https://www.vanderbilt.edu/chemistry/faculty/index.php,b863766d-aeba-4167-b816-b45039c77d94,2020-02-27T00:00:00Z,11,113A5A12-455C-43A6-ACDA-1005F161A870,Q5,865F7288-6B8A-4678-AFD7-75F47C71D1DB,Q6581097,m,,faculty/index.php,7,[]
medicine,Q52720627,Aaron Louis Fidler,Aaron Louis Fidler,[],medical researcher,7447E5BC-A1F3-4308-A194-945AB98AF061,0000-0002-2519-8864,7f81f24a4148728c2eb8e030140bb2808f105296,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,5B194466-7623-4F88-B8CB-0C4EEBAEEE06,Q29052,9dfde1a23117c82f29ac16f3838aa60eefab432e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,221968FC-74AB-42E0-8384-42587A97CB48,Q89953931,9dfde1a23117c82f29ac16f3838aa60eefab432e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=F,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,7CA90372-7A5C-403B-B553-4AF806ECE5D7,Q5,79C23EF8-ECDF-4E74-9A1E-A336D39D9FC4,Q6581097,m,Ph.D.,F,5,"[{""title"": ""Research Assistant Professor"", ""department"": ""Medicine""}]"
psychiatry,Q91526340,Aaron Slone Jeckell,Aaron Slone Jeckell,[],psychiatrist,,,,,,,9331DE8E-0058-4FE1-85AF-90A0B134188D,Q29052,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,99D271EC-36E3-4E34-A823-42B4F448038C,Q89953993,f5b272576129736f53540c6c7087e1d12763d254,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,48259E23-C68B-41AF-96CE-150AA731BC22,Q5,966AE379-8259-4A1E-8B68-CCE6DD2DE14A,Q6581097,m,M.D.,J,7,"[{""title"": ""Assistant Professor"", ""department"": ""Psychiatry and Behavioral Sciences""}]"
medicine,Q83704384,Aaron Weldon Aday,Aaron Weldon Aday,[],physician,56197C7C-05FF-46C3-9702-0114CF84FCE7,0000-0001-6243-3432,2b78c1aacc8ed75bce734224c910ab3f04c06d56,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,7900378B-7547-4690-818D-CBDB90118971,Q29052,1ec6acb28898d602bd4e8abf363ac18eb4596013,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=A,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,8101AC66-F750-4341-B0BF-667D875EF8A3,Q89953931,1ec6acb28898d602bd4e8abf363ac18eb4596013,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=A,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,227B6D14-6A0B-4A0C-B22E-4A0F45B91563,Q5,9A48C1BB-1C2F-42A8-AF2F-4841AA746124,Q6581097,m,M.D.,A,5,"[{""title"": ""Instructor"", ""department"": ""Medicine""}]"
rehab,Q44848520,Aaron Yang,Aaron Yang,[],rehabilitation physician,D5B48D69-00FA-4E6D-89E6-DD91C5A70AA0,0000-0001-5841-5266,886a00dce4ac1dbef3576edda43b2047dedb04b8,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,9257B55F-D0CC-4E54-A5FB-49A82EFF75CD,Q29052,b3ff527fa9139534c2a63eee6169ceedc70b17a7,https://orcid.org/0000-0001-5841-5266,b7b56770-f3dd-4362-8602-6ee279cb4a58,2019-01-06T00:00:00Z,11,EAE056DB-5601-405B-A564-8A847950C34A,Q89953984,dc51c769cc4d919fcb3df0cf5935640b1261c544,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=Y,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,1A379788-E0E5-4A53-8694-65E384FEC3F9,Q5,DC38A2EC-5D70-4BA0-9EE1-402B953B0010,Q6581097,m,M.D.,Y,1,"[{""title"": ""Assistant Professor"", ""department"": ""Physical Medicine and Rehabilitation""}]"
surgery,Q91548298,Abbes Belkhiri,Abbes Belkhiri,[],surgical researcher,,,,,,,35CAE83F-F7EC-4724-898A-C0CA2B703526,Q29052,b109d69b4f2680fc09491094fb761ba96a1fa9c5,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=B,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,BD373EF2-AE23-4392-80EC-8B757BDE899F,Q89954010,b109d69b4f2680fc09491094fb761ba96a1fa9c5,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=B,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,54CE554F-10FF-4E4C-BC91-55CA4FB0C690,Q5,D6627EDF-5B82-4BF6-B9A4-0F48BBD969B7,Q6581097,m,Ph.D.,B,7,"[{""title"": ""Assistant Professor"", ""department"": ""Surgery""}]"
nursing,Q97398192,Abby Luck Parish,Abby Luck Parish,[],nursing educator,,,,,,,4F70CAB0-CF18-4F95-BA3F-2828E250D6ED,Q29052,eeb9449c155fbb983c6a48ba984a14dbb9f41301,https://nursing.vanderbilt.edu/people/index.php,aa66a6e2-8d97-438a-8ba9-ebed1c28d6af,2020-07-15T00:00:00Z,11,DE4181E7-768F-46D1-81C2-4080C5186260,Q7914461,eeb9449c155fbb983c6a48ba984a14dbb9f41301,https://nursing.vanderbilt.edu/people/index.php,aa66a6e2-8d97-438a-8ba9-ebed1c28d6af,2020-07-15T00:00:00Z,11,5971AAEB-FB85-41C1-B083-9B1D8BD3EECC,Q5,5ED54B50-DE39-48C2-A2C7-C02076FF7EB5,Q6581072,f,"DNP, AGPCNP-BC, GNP-BC, FNAP",,7,"[{""title"": ""Associate Professor of Nursing"", ""department"": ""Vanderbilt School of Nursing""}]"
urology,Q91553728,Abby Susanne Taylor,Abby Susanne Taylor,[],urologist,,,,,,,946CEECF-1C1A-4DEA-958C-D388E1747B8C,Q29052,de227210445a5bb4bb1e4ffd19e78aaf7803f361,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=T,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,9D002C6D-D5B2-43E9-AF1E-D526EF759422,Q89954019,de227210445a5bb4bb1e4ffd19e78aaf7803f361,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=T,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,A592CDBF-4E21-497B-A21A-E56309391AF2,Q5,561808B0-B5DA-4E84-B767-F3C18B7FF3C0,Q6581072,f,M.D.,T,7,"[{""title"": ""Assistant Professor"", ""department"": ""Urology""}]"
psychiatry,Q91526634,Abhinav Saxena,Abhinav Saxena,[],psychiatrist,,,,,,,B849B8DC-072B-4AFA-A290-44797E43F453,Q29052,a48434aa65aa2543622bc27ef8354fc3b98ac990,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,F5D4F7FC-FBFC-4E8A-B023-C6AA5202373C,Q89953993,a48434aa65aa2543622bc27ef8354fc3b98ac990,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,293B46EC-A28C-4A1A-B194-F5D3C4504F8B,Q5,C30C507B-E36E-45B0-87C7-C6E9244F2668,Q6581097,m,"M.D., M.B.A.",S,12,"[{""title"": ""Assistant Professor of Clinical"", ""department"": ""Psychiatry and Behavioral Sciences""}]"
eecs,Q86851806,Abhishek Dubey,Abhishek Dubey,[],computer scientist,,,,,,,A203277A-4FBF-4C8F-8991-A6CD209B7543,Q29052,2723a56359f76373eeb64ab3e4e1c94d9d640248,https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,69F5E40F-AB50-4E45-8200-9B627371FCDF,Q84270584,2723a56359f76373eeb64ab3e4e1c94d9d640248,https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,76301C18-F33B-4EF8-936F-56D4EABB4A57,Q5,13CF3CD2-C0E8-4473-9466-F24FA23903C1,Q6581097,m,,,7,"[{""title"": ""faculty"", ""department"": ""Electrical Engineering and Computer Science""}]"
chbe-postdoc,Q86867884,Abhishek Mondal,Abhishek Narayan Mondal,"[""Abhishek Mondal""]",chemical/biomolecular engineer,,,,,,,76ECEED1-D17B-468C-BD3A-0CCF3609C4AB,Q29052,342d83aea1b0e63ea4ecf0d170cc65636de06469,https://engineering.vanderbilt.edu/chbe/FacultyResearch/postdoc-directory.php,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,31A50079-BF7F-4D15-9C57-D03705059E35,Q84269864,342d83aea1b0e63ea4ecf0d170cc65636de06469,https://engineering.vanderbilt.edu/chbe/FacultyResearch/postdoc-directory.php,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,17F36255-1F5C-4E60-B9C5-5EE1CCAEB325,Q5,,,,m,,7,"[{""title"": ""postdoc"", ""department"": ""Chemical and Biomolecular Engineering""}]"
bsci,Q77516348,Abigail Labella,Abigail Labella,[],biology researcher,65E1721D-31A2-43AB-B65B-DA0E00FF2817,0000-0003-0068-6703,c5252a52bdfd5395a6426baf5f19fdc1b97f3710,528953b6-1e3d-483d-8936-2653e4717546,2019-12-06T00:00:00Z,11,3D925186-F4E0-4FB3-9758-4845C3285044,Q29052,b9cda9db37eda5bfc10d4b9837b02ae42eacd0de,https://as.vanderbilt.edu/biosci/people/index.php?group=postdoc-fellows,869c53e0-ddd7-4f4e-9d16-3bcac3de7572,2019-12-09T00:00:00Z,11,C995C287-BF30-4F33-A1A5-7EA8A554A06D,Q78041310,67ffefc88f2cc4b084e2f1b3c8de648a96b11d91,https://as.vanderbilt.edu/biosci/people/index.php?group=postdoc-fellows,869c53e0-ddd7-4f4e-9d16-3bcac3de7572,2019-12-10T00:00:00Z,11,23EAE6AD-FBE8-484D-A707-FC07FDAB31CC,Q5,F3C14AEC-ED94-4BCE-B909-2F15365BED24,Q6581072,f,,postdoc-fellows,7,"[{""title"": ""Postdoctoral Scholar"", ""department"": ""Biological Sciences""}, {""title"": ""Rokas Lab"", ""department"": """"}]"
molphys,Q59396847,Abigail Maureen Brown,Abigail Maureen Brown,[],molecular physiologist,CE8BC5EF-4E5B-4F08-BC4F-17750E575222,0000-0001-9504-3465,6555de6f74327dc60ef29dc8e176711883bbbde0,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,A794088F-5E6A-4A7E-B96C-3A820AE0332D,Q29052,d5c23b2299b4926c03a6f89d699bdf8605a66b46,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=B,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,59D06415-4E26-4315-9942-B5AF637CDBF7,Q89953935,d5c23b2299b4926c03a6f89d699bdf8605a66b46,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=B,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,47552EA8-D0D1-4D00-9074-D2580C2F30D4,Q5,B62E3C2F-34DA-467F-9FF4-E033A5E6B676,Q6581072,f,Ph.D.,B,5,"[{""title"": ""Assistant Professor"", ""department"": ""Molecular Physiology & Biophysics""}]"
law,Q86835791,Abrar Hussain,Abrar Hussain,[],legal scholar,,,,,,,3E7EF3D7-210C-48C3-955E-3A7B7B0CA8C3,Q29052,18049921e7d37be441bc58b7fd3e08fefa0bfc4f,https://law.vanderbilt.edu/people/?type=affiliated,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,9BE603CE-F952-40A5-92DE-5F97A756F7A0,Q7914456,18049921e7d37be441bc58b7fd3e08fefa0bfc4f,https://law.vanderbilt.edu/people/?type=affiliated,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,757E4B6E-4E5D-44D3-9738-8225A5730E30,Q5,B9F808E3-CAA1-470A-9340-1834E7B7EEA2,Q6581097,m,,affiliated,7,"[{""title"": ""Adjunct Professor"", ""department"": ""LawCo-founder and Managing Director, Elixir Capital Management""}]"
bme,Q86838441,Adam Anderson,Adam Anderson,[],biomedical engineer,,,,,,,EDEA3DD1-D0D8-4648-AE4B-B3FDE9316743,Q29052,2a1f50ee192c44f1385e96c07d6e4ff765f02080,https://engineering.vanderbilt.edu/bme/facultystaff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,A5F77BE2-841C-4A39-B44F-79BD54E38B6F,Q84268104,2a1f50ee192c44f1385e96c07d6e4ff765f02080,https://engineering.vanderbilt.edu/bme/facultystaff/index.php,e6c2f37c-d719-457d-ba1e-dbf120a14396,2020-03-01T00:00:00Z,11,3B30FE21-BBFE-4F1D-93F0-92286BCE84A5,Q5,AE47418F-2758-44DC-8B66-8F6226D9E531,Q6581097,m,,,7,"[{""title"": ""faculty"", ""department"": ""Biomedical Engineering""}]"
pathology,Q91454907,Adam C. Seegmiller,Adam C. Seegmiller,[],pathologist,,,,,,,17644388-FC1D-4FE7-90D9-ADBFBEBE6953,Q29052,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,F1200F9E-DEE3-41BD-9816-483974776A9E,Q89953964,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,557E4E33-CDB9-4A52-B2F0-553EBCFE72DF,Q5,66121637-39AB-4AE0-9AE4-8273F05EC9C7,Q6581097,m,"M.D., Ph.D.",S,7,"[{""title"": ""Professor"", ""department"": ""Pathology, Microbiology and Immunology""}]"
radiology,Q91537103,Adam Guttentag,Adam Guttentag,[],radiologist,,,,,,,5610A4D5-67C2-42A4-A682-92CA6037F12D,Q29052,ee2f2517f71446c465f6385204fdd037ee093939,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=G,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,02FD1AE3-9969-4C95-A816-2DE0EAB287DB,Q89954005,ee2f2517f71446c465f6385204fdd037ee093939,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=G,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,1C3BC109-1845-45A7-8830-5ABD9743DAD9,Q5,C80A4530-E78E-467D-A85B-A956DBD935A2,Q6581097,m,M.D.,G,7,"[{""title"": ""Associate Professor of Clinical"", ""department"": ""Radiology & Radiological Sciences""}]"
obgyn,Q91327701,Adam Huggins,Adam Huggins,[],gynecologist,,,,,,,9E5AA30E-5190-455A-8E54-F59CFC17E4A3,Q29052,84b0aa0ab01e1458ed7511a58e9e8446dbac506c,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=H,f12d0c00-2758-4f80-beda-d269c0ad705c,2020-04-21T00:00:00Z,11,CCA76997-DBDC-4EC0-A3CA-7F83878BC326,Q89953947,84b0aa0ab01e1458ed7511a58e9e8446dbac506c,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=H,f12d0c00-2758-4f80-beda-d269c0ad705c,2020-04-21T00:00:00Z,11,D2F80AC1-2B5E-4A7B-9D16-4D8BDFBEFFB6,Q5,139F5AC4-10F5-4307-BE12-489B9B38C4E6,Q6581097,m,M.D.,H,7,"[{""title"": ""Assistant Professor of Clinical"", ""department"": ""Obstetrics & Gynecology""}]"
medicine,Q91132761,Adam J. Prudoff,Adam J. Prudoff,[],physician,,,,,,,63BC08EB-7FDE-4713-8913-2ECB9C975A5E,Q29052,a6685625d7edb77dc1a6820bd15be20e75987401,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=P,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,CCC03F5C-DD62-40BC-BE21-5B2E514A3DCF,Q89953931,a6685625d7edb77dc1a6820bd15be20e75987401,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=P,345c890d-d4dc-4558-b580-fd91b16dd25a,2020-04-19T00:00:00Z,11,B7416327-D3FE-4639-836F-7D642674417E,Q5,33220956-6457-42C4-AA38-D84C6EC5B8E6,Q6581097,m,M.D.,P,7,"[{""title"": ""Assistant Professor of Clinical"", ""department"": ""Medicine""}]"
pediatrics,Q89856405,Adam John Esbenshade,Adam John Esbenshade,[],pediatrician,85EE20C5-549D-485F-B367-DF91E5C7D87D,0000-0002-0154-4996,6555de6f74327dc60ef29dc8e176711883bbbde0,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,E3066A48-54C4-4059-8238-56EBC1346556,Q29052,0d5fba2394ffe6905f7edfb7e7feb1b86b651d9e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=E,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,E5CE192F-BD61-4A56-BD38-DC003C51D96B,Q89953976,0d5fba2394ffe6905f7edfb7e7feb1b86b651d9e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=E,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,A260EEF1-F3C8-4183-8C18-F54F96289EE9,Q5,E6A072B9-6AEB-4015-906F-3930312F8F28,Q6581097,m,M.D.,E,10,"[{""title"": ""Associate Professor"", ""department"": ""Pediatrics""}]"
chemistry,Q86531424,Adam List,Adam List,[],chemist,,,,,,,5A418ADE-B3A3-4EC6-A64B-C605325F9B92,Q29052,6e131c6930e3391c789ad641223c28d87d160969,https://www.vanderbilt.edu/chemistry/faculty/index.php,b863766d-aeba-4167-b816-b45039c77d94,2020-02-27T00:00:00Z,11,0CFEEEAB-B39E-4E44-B074-E88525E4D4B9,Q45132727,6e131c6930e3391c789ad641223c28d87d160969,https://www.vanderbilt.edu/chemistry/faculty/index.php,b863766d-aeba-4167-b816-b45039c77d94,2020-02-27T00:00:00Z,11,9A65FF45-34CE-496E-B632-02DC2EC88140,Q5,3FC69B77-3632-4877-B489-C77C786D23B7,Q6581097,m,,faculty/index.php,12,[]
neurology,Q91317132,Adam Nagy,Adam Nagy,[],neurologist,,,,,,,53ECCE19-79AB-4362-B779-569932ECA1A6,Q29052,cf742e41f80eff7dbacf3e6962901a7a4e789b2a,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=N,f12d0c00-2758-4f80-beda-d269c0ad705c,2020-04-21T00:00:00Z,11,6DC20A6D-15B6-4BD7-BC30-740B5F2F219F,Q89953944,cf742e41f80eff7dbacf3e6962901a7a4e789b2a,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=N,f12d0c00-2758-4f80-beda-d269c0ad705c,2020-04-21T00:00:00Z,11,E893BD18-D98C-46D4-AD35-61756DD0C0FB,Q5,F648CF84-0807-4BBC-B5C8-119392BE40F1,Q6581097,m,M.D.,N,12,"[{""title"": ""Assistant Professor"", ""department"": ""Neurology""}]"
math,Q83426575,Adam Prenosil,Adam Prenosil,[],mathematician,,,,,,,6C1C82DB-BA7C-4AC8-BAF1-26E226274010,Q29052,0d323236805dd6dd3630c899b3963e84b051130b,https://as.vanderbilt.edu/math/people/?group=faculty,b0731d1c-aa35-45bd-823c-ea1e1f9124f1,2020-01-22T00:00:00Z,11,5D184F85-F490-4D0E-A97E-1B3F74BAC69F,Q79117878,0d323236805dd6dd3630c899b3963e84b051130b,https://as.vanderbilt.edu/math/people/?group=faculty,b0731d1c-aa35-45bd-823c-ea1e1f9124f1,2020-01-22T00:00:00Z,11,EE804F9D-6806-4D60-BE2D-A89054E0D2F8,Q5,B2CF53BF-0AFB-4D52-AB55-9832C2AB737A,Q6581097,m,,faculty,7,"[{""title"": ""<p>Assistant Professor (NTT) [AY '18-21]</p>"", ""department"": """"}]"
