RecordNumber,qid,filename,commons_uri,commons_page_url
55691,,"""Accusing Finger of Conscience...God and Conscience Witness Every Action...The Authorities Ask That You Save Fats...Reli - NARA - 512560.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22Accusing%20Finger%20of%20Conscience...God%20and%20Conscience%20Witness%20Every%20Action...The%20Authorities%20Ask%20That%20You%20Save%20Fats...Reli%20-%20NARA%20-%20512560.jpg,https://commons.wikimedia.org/wiki/File:%22Accusing_Finger_of_Conscience...God_and_Conscience_Witness_Every_Action...The_Authorities_Ask_That_You_Save_Fats...Reli_-_NARA_-_512560.jpg
56227,,"""Annunciation of the Angel to Mary"" - NARA - 558880.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22Annunciation%20of%20the%20Angel%20to%20Mary%22%20-%20NARA%20-%20558880.jpg,https://commons.wikimedia.org/wiki/File:%22Annunciation_of_the_Angel_to_Mary%22_-_NARA_-_558880.jpg
57455,,"""Annunciation of the Angel to Mary"" - NARA - 558880.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22Annunciation%20of%20the%20Angel%20to%20Mary%22%20-%20NARA%20-%20558880.jpg,https://commons.wikimedia.org/wiki/File:%22Annunciation_of_the_Angel_to_Mary%22_-_NARA_-_558880.jpg
55209,,"""Der Jahrhundertschritt"" (Step of Century), Wolfgang Mattheuer, 1984 - Bonn.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22Der%20Jahrhundertschritt%22%20%28Step%20of%20Century%29%2C%20Wolfgang%20Mattheuer%2C%201984%20-%20Bonn.jpg,"https://commons.wikimedia.org/wiki/File:%22Der_Jahrhundertschritt%22_(Step_of_Century),_Wolfgang_Mattheuer,_1984_-_Bonn.jpg"
55704,,"""Kakindo Crucifixion"" - NARA - 558948.tif",http://commons.wikimedia.org/wiki/Special:FilePath/%22Kakindo%20Crucifixion%22%20-%20NARA%20-%20558948.tif,https://commons.wikimedia.org/wiki/File:%22Kakindo_Crucifixion%22_-_NARA_-_558948.tif
56633,,"""Maistre Robert"" healing by laying-on of hands. Oil painting Wellcome V0018251.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22Maistre%20Robert%22%20healing%20by%20laying-on%20of%20hands.%20Oil%20painting%20Wellcome%20V0018251.jpg,https://commons.wikimedia.org/wiki/File:%22Maistre_Robert%22_healing_by_laying-on_of_hands._Oil_painting_Wellcome_V0018251.jpg
56822,,"""The Last Supper"" - NARA - 558940.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22The%20Last%20Supper%22%20-%20NARA%20-%20558940.jpg,https://commons.wikimedia.org/wiki/File:%22The_Last_Supper%22_-_NARA_-_558940.jpg
57241,,"""The Last Supper"" - geograph.org.uk - 1283787.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/%22The%20Last%20Supper%22%20-%20geograph.org.uk%20-%201283787.jpg,https://commons.wikimedia.org/wiki/File:%22The_Last_Supper%22_-_geograph.org.uk_-_1283787.jpg
54805,,"'Abraham Leading Isaac to Sacrifice', oil on copper painting by Domenichino.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/%27Abraham%20Leading%20Isaac%20to%20Sacrifice%27%2C%20oil%20on%20copper%20painting%20by%20Domenichino.JPG,"https://commons.wikimedia.org/wiki/File:%27Abraham_Leading_Isaac_to_Sacrifice%27,_oil_on_copper_painting_by_Domenichino.JPG"
56951,,'Adam's Creation Sistine Chapel ceiling' by Michelangelo JBU33cut.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/%27Adam%27s%20Creation%20Sistine%20Chapel%20ceiling%27%20by%20Michelangelo%20JBU33cut.jpg,https://commons.wikimedia.org/wiki/File:%27Adam%27s_Creation_Sistine_Chapel_ceiling%27_by_Michelangelo_JBU33cut.jpg
