qid,label_en,description_en,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,journal_uuid,journal,journal_ref1_hash,journal_ref1_referenceUrl,journal_ref1_retrieved_nodeId,journal_ref1_retrieved_val,journal_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec
Q100146585,Chinese Accounts of the Strange: A Study in the History of Religions,dissertation,,,,,,,,,,,,,,,e7536bb2-46c3-a92a-5b97-51ff6bbed2b3,764eb9a11460dd8f6b5956f3f77f2129,1988-01-01T00:00:00Z,9,,,,,,16330424-4cc7-1346-7c1f-9bdd1b2733ba,Chinese Accounts of the Strange: A Study in the History of Religions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q101000606,Buddhism and Race,book chapter,FFD7D613-E4FA-441B-B294-993C694C7202,10.1093/OXFORDHB/9780190221171.013.34,,,,,,,,,,,,,224D3377-FD26-487B-99D5-5D79F6C57A32,a112a6fb4487071d1ae3a0c6951488f6,2018-01-01T00:00:00Z,9,,,,,,3AD5CD7E-8C52-404C-ACDD-D2BBDFECE226,Buddhism and Race,,,,,,afc4ed31-42af-99f1-86ad-1e2ff6116549,Q106732016,,,,,,,,,,,,,93a19122-47e3-420c-887a-1a84b478d75e,223-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q105645735,Long Time Coming: Reckoning with Race in America,book,,,,,,,,,,,,,,,cb93b1a4-478a-c972-ead4-a086621d4a94,018d3e563d283a80cd8422d6196984eb,2020-01-01T00:00:00Z,9,,,,,,ff15fa51-4905-770a-76e9-8862c4890f5a,Long Time Coming: Reckoning with Race in America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c5d28a7b-41b4-d08f-4fe7-5f572f99dd21,Q3445044,,,,,
Q106509639,"The Chinese Dreamscape, 300 BCE-800 CE",book,,,,,,,,,,,,,,,3aba7e16-408f-8f50-7b33-29df72783166,018d3e563d283a80cd8422d6196984eb,2020-01-01T00:00:00Z,9,,,,,,05636b38-49a9-b406-8cba-3203840055d4,"The Chinese dreamscape, 300 BCE-800 CE",,,,,,,,,,,,,81ed9d01-44df-16e3-9f1b-a25b60071781,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47803635-4e48-ba36-3d86-d575cb539a7c,Q5676610,,,,,
Q106732015,"Jinnealogy: Time, Islam, and Ecological Thought in the Medieval Ruins of Delhi",book,,,,,,,,,,,,,,,89FB55AF-1D4F-4143-A8F1-ADAF1189CCF9,a112a6fb4487071d1ae3a0c6951488f6,2018-01-01T00:00:00Z,9,,,,,,0D9E1657-A48C-4DBD-93F9-FC33F923E4C6,"Jinnealogy: Time, Islam, and Ecological Thought in the Medieval Ruins of Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08594410-7333-4E9F-A691-3F3E6C937155,978-1-5036-0179-6,,,,,,6C4D0C1C-2D43-4D77-99A9-CE20D463877F,Q1479937,,,,,
Q106787199,"Being Buddha, Staying Woke: Racial Formation in Black Buddhist Writing",journal article,80FCC53C-5EC8-4AFD-81E9-6D0236D19E39,10.1093/JAAREL/LFY019,,,,,,,,,,,,,4D023D72-1DDC-4524-B8C5-D60D4AD64F54,cae77fe5c5a1461a11b156d6ef743b50,2018-12-01T00:00:00Z,10,,,,,,06D5D25B-283C-4618-A241-05E11E0625C5,"Being Buddha, Staying Woke: Racial Formation in Black Buddhist Writing",,,,,,A490C03B-0BB2-4136-898E-3944E201542F,Q15710071,,,,,,9F3E3811-FF08-48E3-9109-D0FF2406A179,86,,,,,,09B8D24C-6000-4A5D-8F06-824A5E4DB4C1,883-911,,,,,,4DAFEC85-0991-4982-BAA0-292A1F65AD30,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106787200,Ann Gleig. American Dharma: Buddhism beyond Modernity,book review,80281D02-8999-413F-9A15-8E59F4FA1C78,10.1093/AHR/RHAA506,,,,,,,,,,,,,3DA18FB7-9915-48FA-BF9F-A8754F1F79BC,f9bfab13ddd31d10064186d033a10841,2020-10-01T00:00:00Z,10,,,,,,986FED60-3053-49BF-B471-90A1A896A7A8,Ann Gleig. American Dharma: Buddhism beyond Modernity,,,,,,4AB70A18-7585-48D9-BA7B-5F8E221AE94F,Q389936,,,,,,DD3913E3-4F68-480E-A483-6A9472213674,125,,,,,,52E28D0B-08E9-439F-AC3E-9DDBDE062A4D,1464-1465,,,,,,EA76BCE3-37EE-4235-882E-C59368441360,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106787201,"The Generative Power of Disgust:  Aesthetics, Morality, and the Abject Preta Body",journal article,C8B965EA-9F63-4EDE-80A1-E424189449A2,10.2143/JIABS.43.0.3289054,,,,,,,,,,,,,9661BBFC-D7BC-454D-AD79-29C4C22CB2E8,018d3e563d283a80cd8422d6196984eb,2020-01-01T00:00:00Z,9,,,,,,488FDB78-506D-4FE6-8754-04B0FDFF5A61,"The Generative Power of Disgust:  Aesthetics, Morality, and the Abject Preta Body",,,,,,AEDD2FA7-10E3-43E3-AE93-B2F2DA3DA5E5,Q15767476,,,,,,26EA0133-E79A-429B-A72A-94E49F9B7629,43,,,,,,B2DF7E64-ECC4-40C9-A596-78CD5C35D608,129-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106807642,Celestial Seductresses and Hungry Ghosts: Preta Narratives in Early Indian Buddhism,2019 thesis (Ph.D.) submitted to Stanford University by Adeana McNicholl,,,,,,,,,,,,,,,A5A78BB4-3363-4F3E-9FF8-C055C29E0053,1c9551a398cfb51623c28b80416004d3,2019-01-01T00:00:00Z,9,054c7a941ad3ae08112b9d5756c3d9c212c74f04,https://searchworks.stanford.edu/view/13250245,,,,56B89510-83DD-41FF-8600-50E0736921E4,Celestial Seductresses and Hungry Ghosts: Preta Narratives in Early Indian Buddhism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106807642,Celestial Seductresses and Hungry Ghosts: Preta Narratives in Early Indian Buddhism,2019 thesis (Ph.D.) submitted to Stanford University by Adeana McNicholl,,,,,,,,,,,,,,,A5A78BB4-3363-4F3E-9FF8-C055C29E0053,1c9551a398cfb51623c28b80416004d3,2019-01-01T00:00:00Z,9,054c7a941ad3ae08112b9d5756c3d9c212c74f04,https://searchworks.stanford.edu/view/13250245,,,,3BAB889A-9F63-4867-B358-F082FBAE3A64,Celestial seductresses and hungry ghosts : preta narratives in early Indian Buddhism,054c7a941ad3ae08112b9d5756c3d9c212c74f04,https://searchworks.stanford.edu/view/13250245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106807643,"Cosmopolitan Dharma: Race, Sexuality, and Gender in British Buddhism",book review,,,,,,,,,,,,,,,B5417D94-859E-4ED7-A232-DE167A3FF83B,836be9ecbbc9b1b585e8bbf533a9ef9b,2016-12-28T00:00:00Z,11,,,,,,40588C84-2CC9-40A7-8273-63E021FBA052,"Cosmopolitan Dharma: Race, Sexuality, and Gender in British Buddhism",,,,,,4C840878-54F2-4805-A261-2F9480928CA2,Q97857063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106807644,"Buddhism in America: Global Religion, Local Contexts",book review,,,,,,,,,,,,,,,7106572F-0979-49A7-A852-1F9E1A193941,ff7533549e53d0091ac78287d30e5cbb,2018-09-19T00:00:00Z,11,,,,,,B37AE8FC-E50D-4DAC-AE5D-30E379B0B97F,"Buddhism in America: Global Religion, Local Contexts",,,,,,CB948DE2-A42F-436C-8A7E-52A617AD6A79,Q97857063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106877202,The theology and provenance of John 15:1-17,scholarly article,,,,,,,,,,,,,,,FE45BB2C-C845-4E57-AEBD-C9FBED83512D,878f71cee1599b80a5cc186d234f7d9e,1982-03-01T00:00:00Z,10,,,,,,072D96D4-BE54-47AC-91F1-B6CD5E7A68A6,The theology and provenance of John 15:1-17,,,,,,7D2F4227-A0B1-41B4-938E-78AF6AA98796,Q4041879,,,,,,B77A7663-4521-4F6C-8E74-C992E40E51B5,101,,,,,,,,,,,,,209FE2BC-8AB9-41BD-B4EE-2C6572179919,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106877421,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",scholarly article,,,,,,,,,,,,,,,97B2CED9-83A1-4954-AC61-005F606F1472,ff613d8ff24e5142cff4f8a170035274,1985-09-01T00:00:00Z,10,,,,,,BF52CC8B-5794-4E12-8D29-949D76E52B8D,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",,,,,,7F8D3459-4328-4B96-BF60-01F80282276B,Q4041879,,,,,,234DFB17-BC2B-4193-B4DF-6CCFBA35F146,104,,,,,,,,,,,,,1E1C89C9-1E4D-43C8-9F8F-162C2D8DEE8A,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106927449,Linguistic Evidence and the Dating of Qoheleth,scholarly article,,,,,,,,,,,,,,,C7D5CF8F-9873-4F30-B219-0CE8CA3D7BDA,e1f28dafe18efe99a187a348d0740ee4,1996-01-01T00:00:00Z,9,16a5bc85b7acf2da8bb97b52adb465d5abc805eb,https://www.jstor.org/stable/3266347,,,,00AF1249-7065-44EF-8BAD-E6737A1E083C,Linguistic Evidence and the Dating of Qoheleth,16a5bc85b7acf2da8bb97b52adb465d5abc805eb,https://www.jstor.org/stable/3266347,,,,2E5EC0D4-1AB1-4B5F-BE53-928DC8AAC56F,Q4041879,16a5bc85b7acf2da8bb97b52adb465d5abc805eb,https://www.jstor.org/stable/3266347,,,,A56C8E0C-EB79-41A1-9668-C0479B1C48CA,115,16a5bc85b7acf2da8bb97b52adb465d5abc805eb,https://www.jstor.org/stable/3266347,,,,08dd025b-4a07-48f3-006e-54245ca637de,643-666,16a5bc85b7acf2da8bb97b52adb465d5abc805eb,https://www.jstor.org/stable/3266347,,,,75C68FFE-076C-4E53-A0D0-DCA095582D53,4,16a5bc85b7acf2da8bb97b52adb465d5abc805eb,https://www.jstor.org/stable/3266347,,,,,,,,,,,,,,,,,,,,,,,,
Q106975970,Qohelet's Eschatological Poem,scholarly article,,,,,,,,,,,,,,,5C2DBF12-41C3-4E14-882F-605535A742B9,6507b37009e074036cb6279ec2e50f73,1999-01-01T00:00:00Z,9,,,,,,5A4D20B9-2F19-4433-AB25-52A2AC66B86A,Qohelet's Eschatological Poem,,,,,,DB645796-6BAE-4C34-9435-7AAEBDCFF56D,Q4041879,,,,,,2CCA67E8-8F03-48E2-B1D8-461AA9F2227A,118,,,,,,,,,,,,,425AFD88-4CCE-42F9-A355-7BD045764434,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106976566,"Orthography, textual criticism, and the poetry of Job",scholarly article,,,,,,,,,,,,,,,9DDC176E-C643-4398-8661-7E2389543FE8,dafb9cf711b15afe91ec0aa7158e57a6,2011-01-01T00:00:00Z,9,,,,,,6E912E7E-4576-4AD9-AE65-C013CC704E51,"Orthography, textual criticism, and the poetry of Job",,,,,,0A7C6304-A31F-43CF-803C-D29AD46B92D6,Q4041879,,,,,,AFF895A9-8CC2-4C55-A4A3-503184608E1A,130,,,,,,,,,,,,,E668B0F0-0B08-4DDA-97A1-728575CECFC6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
