qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q100146585,Chinese Accounts of the Strange: A Study in the History of Religions,,,,,,,,
Q101000606,Buddhism and Race,,,,,,,,
Q105645735,Long Time Coming: Reckoning with Race in America,,,,,,,,
Q106509639,"The Chinese Dreamscape, 300 BCE-800 CE",,,,,,,,
Q106732015,"Jinnealogy: Time, Islam, and Ecological Thought in the Medieval Ruins of Delhi",,,,,,,,
Q106787199,"Being Buddha, Staying Woke: Racial Formation in Black Buddhist Writing",,,,,,,,
Q106787200,Ann Gleig. American Dharma: Buddhism beyond Modernity,,,,,,,,
Q106787201,"The Generative Power of Disgust:  Aesthetics, Morality, and the Abject Preta Body",,,,,,,,
Q106807642,Celestial Seductresses and Hungry Ghosts: Preta Narratives in Early Indian Buddhism,,,,,,,,
Q106807643,"Cosmopolitan Dharma: Race, Sexuality, and Gender in British Buddhism",,,,,,,,
Q106807644,"Buddhism in America: Global Religion, Local Contexts",,,,,,,,
Q106877202,The theology and provenance of John 15:1-17,,,,,,,,
Q106877421,"The structure, Tendenz, and Sitz im leben of John 13:31-14:31",,,,,,,,
Q106927449,Linguistic Evidence and the Dating of Qoheleth,,,,,,,,
Q106975970,Qohelet's Eschatological Poem,,,,,,,,
Q106976566,"Orthography, textual criticism, and the poetry of Job",,,,,,,,
Q106976698,An exquisitely poetic introduction to the Psalter,,,,,,,,
Q106976755,"Introduction to the Society of Biblical Literature presidential address, N 23 2013",,,,,,,,
Q106976805,Criticism in critical times: reflections on vision and task,,,,,,,,
Q107275810,Commentary on Zaman: Taneja,,,,,,,,
Q107275811,Sewer Gas,,,,,,,,
Q107275812,"The Calls of Islam: Sufis, Islamists, and Mass Mediation in Urban Morocco",,,,,,,,
Q107275814,Jinnealogy: Everyday Life and Islamic Theology in Post-Partition Delhi,,,,,,,,
Q107275815,Poetry Among the Ruins,,,,,,,,
Q107275816,Saintly Animals: The Shifting Moral and Ecological Landscapes of North India,,,,,,,,
Q107275817,"Book Review: Ruth Vanita, Gender, Sex, and the City: Urdu Rekhti Poetry in India, 1780–1870",,,,,,,,
Q107275818,Saintly Visions: Other Histories and History's Others in the Medieval Ruins of Delhi,,,,,,,,
Q107275819,Pirate Modernity: Delhi's Media Urbanism,,,,,,,,
Q107275821,Bombay Cinema: An Archive of the City,,,,,,,,
Q107275822,"Village Cosmopolitans: Or, I See Kabul from Lado Sarai",,,,,,,,
Q107275824,"History and Heritage Woven in the New Urban Fabric: The Changing Landscapes of Delhi's ‘First City’. Or, Who Can Tell the Histories of Lado Sarai?",,,,,,,,
Q107275826,Begum Samru and the Security Guard,,,,,,,,
Q107275828,Synchronicities: Baghdad/Delhi,,,,,,,,
Q107275829,"Lost in La Mancha: Terry Gilliam, Holy Fools, Pirates and the Mulla",,,,,,,,
Q107275830,"Culture of Encounters: Sanskrit at the Mughal Court, by Audrey Truschke",,,,,,,,
Q107275831,‘Veins of Silver’,,,,,,,,
Q107275832,How New Delhi Was Founded,,,,,,,,
Q107275833,Stereotyping the Muslim in Bombay Cinema,,,,,,,,
Q107275834,A City Without Time,,,,,,,,
Q107275835,Muslimness in Hindi Cinema,,,,,,,,
Q107276607,"Introduction: Animals, Ethics, and Enchantment in South Asia and the Middle East",,,,,,,,
Q107276609,[The Myth of Archaeology and the Archaeology of Myth: Purana Qila],,,,,,,,
Q107276783,"Between Collective Memory & History, The Jinn Lives On",,,,,,,,
Q107276897,"Nature, History, and the Sacred in the Medieval Ruins of Delhi",,,,,,,,
Q107277075,On Intellectual Hospitality and the Plenitude of Time: A Response to Bardawil,,,,,,,,
Q107277189,On The Real Tragedy of Secular Modernity: Anand Vivek Taneja,,,,,,,,
Q107277767,"Village Cosmopolitanisms: Or, I See Kabul from Lado Sarai",,,,,,,,
Q108748206,In a Blaze of Glory: Womanist Spirituality as Social Witness,,,,,,,,
Q108765612,Beyond Monotheism: A Theology of Multiplicity,,,,,,,,
Q108765613,Re-imagining the Divine: Confronting the Backlash Against Feminist Theology,,,,,,,,
Q108765616,Queer Soul and Queer Theology: Ethics and Redemption in Real Life,B0FCB3AB-2849-471C-8304-C0AD79617F31,Thelathia Nikki Young,2,,,,,
Q108802810,"Setting the Context: A Brief History of Science by a Sympathetic Theologian: Aristotle and Plato, Islamic Science, Medieval Science and the West, Reformation and the Renaissance, Descartes, Newton, Darwin, Freud",,,,,,,,
Q108802811,Promiscuous Incarnation,,,,,,,,
Q108802812,What Race is Your Sex?,,,,,,,,
Q108802813,Love We Cannot Not Want: A Response to Kwok Pui-lan,,,,,,,,
Q108802814,What if it is a Choice?: Some Implications of the Homosexuality Debates for Theology,,,,,,,,
Q108802815,"Homosexuality, Queer Theory, and Christian Theology",,,,,,,,
Q108802816,The Courage to See and to Sin: Mary Daly's Elemental Transformation of Paul Tillich's Ontology: Feminist Interpretations of Mary Daly,,,,,,,,
Q108802817,Queer Theory,,,,,,,,
Q108802818,The Gravity of Love,,,,,,,,
Q108802819,"When the World is Alive, Spirit is Not Dismembered : Philosophical Reflections on the Good Mind",,,,,,,,
Q108802821,Yahwist Desires: Imagining Divinity Queerly,,,,,,,,
