qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q103306456,1956.029.tif,1956.029,suppress,,,866,618,478,2010-02-09,1956
Q103306456,1956-029.tif,1956.029,primary,,,5679,1124,861,2020-07-23,1956
Q103307737,1956.030.jpg,1956.030,primary,,,77,393,380,2010-02-22,1956
Q103296873,1956.031.jpg,1956.031,primary,,,16,225,141,2010-02-22,1956
Q65080716,1956-032.tif,1956.032,primary,,,144511,5993,4114,2020-07-23,1956
Q65080716,1956.032.JPG,1956.032,suppress,,,232,530,360,2006-10-30,1956
Q102974492,1956-034.tif,1956.034,primary,,,398437,9682,7022,2020-07-23,1956
Q102974492,1956.034.jpg,1956.034,suppress,,,209,488,360,2006-10-30,1956
Q103299222,1956-035.tif,1956.035,primary,,,13261,1800,1256,2020-07-23,1956
Q103299222,1956.035.tif,1956.035,suppress,,,1819,952,652,2010-02-09,1956
Q103299222,1956.035.jpg,1956.035,suppress,,,232,500,343,2010-02-21,1956
Q102970016,1956-036.tif,1956.036,primary,,,159174,6189,4388,2020-07-23,1956
Q102970016,1956.036.jpg,1956.036,suppress,,,36,316,225,2010-02-22,1956
Q102974686,1956-037.tif,1956.037,primary,,,28819,1898,2590,2020-07-21,1956
Q102974686,1956.037.tif,1956.037,suppress,,,4059,979,1404,2010-02-11,1956
Q102974686,1956.037.jpg,1956.037,suppress,,,270,347,500,2010-02-21,1956
Q102974550,1956.038.jpg,1956.038,suppress,,,255,383,500,2010-02-21,1956
Q102974550,1956.038.tif,1956.038,suppress,,,10766,1674,2189,2010-02-11,1956
Q102974550,1956-038.tif,1956.038,primary,,,89247,3438,4429,2020-07-21,1956
