qid,label,doi,pmid
http://www.wikidata.org/entity/Q100146585,Chinese Accounts of the Strange: A Study in the History of Religions,,
http://www.wikidata.org/entity/Q101000606,Buddhism and Race,10.1093/OXFORDHB/9780190221171.013.34,
http://www.wikidata.org/entity/Q105645735,Long Time Coming: Reckoning with Race in America,,
http://www.wikidata.org/entity/Q106509639,"The Chinese Dreamscape, 300 BCE-800 CE",,
http://www.wikidata.org/entity/Q106732015,"Jinnealogy: Time, Islam, and Ecological Thought in the Medieval Ruins of Delhi",,
http://www.wikidata.org/entity/Q106787199,"Being Buddha, Staying Woke: Racial Formation in Black Buddhist Writing",10.1093/JAAREL/LFY019,
http://www.wikidata.org/entity/Q106787200,Ann Gleig. American Dharma: Buddhism beyond Modernity,10.1093/AHR/RHAA506,
http://www.wikidata.org/entity/Q106787201,"The Generative Power of Disgust:  Aesthetics, Morality, and the Abject Preta Body",10.2143/JIABS.43.0.3289054,
http://www.wikidata.org/entity/Q106807642,Celestial Seductresses and Hungry Ghosts: Preta Narratives in Early Indian Buddhism,,
http://www.wikidata.org/entity/Q106807643,"Cosmopolitan Dharma: Race, Sexuality, and Gender in British Buddhism",,
http://www.wikidata.org/entity/Q106807644,"Buddhism in America: Global Religion, Local Contexts",,
http://www.wikidata.org/entity/Q106877202,The Theology and Provenance of John 15:1-17,10.2307/3260444,
http://www.wikidata.org/entity/Q106877421,"The Structure, Tendenz, and Sitz im Leben of John 13:31-14:31",10.2307/3260925,
http://www.wikidata.org/entity/Q106927449,Linguistic Evidence and the Dating of Qoheleth,10.2307/3266347,
http://www.wikidata.org/entity/Q106975970,Qohelet's Eschatological Poem,,
http://www.wikidata.org/entity/Q106976566,"Orthography, Textual Criticism, and the Poetry of Job",10.2307/41304188,
http://www.wikidata.org/entity/Q106976698,An exquisitely poetic introduction to the Psalter,10.1353/JBL.2013.0032,
http://www.wikidata.org/entity/Q106976755,"Introduction to the Society of Biblical Literature presidential address, N 23 2013",10.15699/JBIBLLITE.133.1.3,
http://www.wikidata.org/entity/Q106976805,Criticism in critical times: reflections on vision and task,10.1353/JBL.2015.0002,
http://www.wikidata.org/entity/Q107275810,Commentary on Zaman: Taneja,,
http://www.wikidata.org/entity/Q107275811,Sewer Gas,,
