Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
QRK3K9BZ,bookSection,2002,"Rieger, Joerg",Between God and the Poor: Rethinking the Means of Grace in the Wesleyan Tradition,The poor and the people called Methodists : 1729-1999,,,,https://catalog.library.vanderbilt.edu,The poor and the people called Methodists : 1729-1999 -book,2002,2020-09-29 17:30:28,2020-10-01 17:18:15,2020-09-29 17:30:28,83-99,,,,,,The poor and the people called Methodists,,,,,Kingswood Books,Nashville TN,en,,,,,,,,,C:\Users\lewc\Zotero\storage\GBDLRKLD\fulldisplay.pdf,,,,"Heitzenrater, Richard P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNWJH9B3,book,,"Rieger, Jeorg",Gemeinsam sind wir stärker: „Tiefe Solidarität,,978-3-89965-883-5,,,https://catalog.library.vanderbilt.edu,"Gemeinsam sind wir stärker ""tiefe Solidarität"" zwischen Glauben und Arbeit-book",,2020-09-30 14:23:46,2020-09-30 14:43:23,2020-09-30 14:23:46,,,,,,,,,,,,VSA: Verlag,Hamburg,German,,,,,,,,,C:\Users\lewc\Zotero\storage\R9RZ4DBT\fulldisplay.pdf,,,,,,"Plonz, Sabine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDZQEZVP,book,2014,"Rieger, Jeorg",Fé e viagens no mundo globalizado,,,,,,,2014,2020-09-30 14:29:31,2020-09-30 14:41:55,,,,,,,,,,,,,Editora Paulus,Sao Paulo,Portugese,,,,,,,,,,,,,,,"Vidigal, José Raimundo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VXRUVDZX,book,2012,"Rieger, Jeorg",Graça sob Pressão: Negociando o Coração das Tradições Metodistas,,978-85-8046-016-2,,,https://catalog.library.vanderbilt.edu,Graça sob pressão : negociando o coração das tradições metodistas -book,2012,2020-09-30 14:32:45,2020-09-30 14:41:27,2020-09-30 14:32:45,,104,,,,,,,,,,São Bernardo do Campo,Editeo,Portugese,,,,,,,,,C:\Users\lewc\Zotero\storage\DCSM3VAN\fulldisplay.pdf,,,,,,"Maia, Felipe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQC6HB6G,book,,"Rieger, Jeorg",Globalizzazione e Teologia,,978-88-399-0884-1,,,https://catalog.library.vanderbilt.edu,"Il libro si focalizza su un confronto, non usuale, tra globalizzazione e teologia. La prima non impatta forse sulla seconda? Quali intrecci si costituiscono fra le due? L'analisi parte da lontano - dalla tensione tra l'Impero romano, nel suo costituirsi come ""dominio totale"", e il cristianesimo, nella sua storia di diffusione nel mondo - per approdare infine ai giorni nostri. E delinea, in definitiva, due tipologie molto diverse di globalizzazione: quella del potere politico e quella di una fede religiosa.",,2020-09-30 14:38:50,2020-09-30 14:41:23,2020-09-30 14:38:50,,,,,,,,,,,,Queriniana,Brescia,Italian,,,,,,,,,C:\Users\lewc\Zotero\storage\XDZX65AR\fulldisplay.pdf,,,,,,"Aguti, Andrea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCYZQT7Q,book,2016,"Rieger, Jeorg",La religion del Mercado: Una aproximación crítica a la acumulación y la probreza,,,,,,,2016,2020-09-30 14:46:35,2020-09-30 14:48:41,,,,,,,,,,,,,Ediciones La Aurora,Buenos Aires,Spanish,,,,,,,,,,,,,,,"Míguez, Néstor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLXLR4E6,book,2012,"Rieger, Jeorg",Para além do espírito do Império: Novas perspectivas em política e religião,,,,,,,2012,2020-09-30 14:49:33,2020-09-30 14:52:01,,,,,,,,,,,,,"Paulinas, 2012.",Sao Paulo,Portugese,,,,,,,,,,,,,,,"Gilmar Saint’ Clair Ribeiro; Lambert, Barbara T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEF3KVDN,book,2016,"Rieger, Jeorg",Más allá del espiritu imperial: Nuevas perspectivas en política y religión,,,,,,,2016,2020-09-30 14:52:45,2020-09-30 14:56:03,,,,,,,,,,,,,Ediciones La Aurora,Buenos Aires,Spanish,,,,,,,,,,,,,,,"Míguez, Néstor; Panotto ,Nicolás",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L27RQLY8,book,2009,"Rieger, Jeorg",Christus und das Imperium : von Paulus bis zum Postkolonialismus,,,,,https://catalog.library.vanderbilt.edu,Christus und das Imperium : von Paulus bis zum Postkolonialismus -book,2009,2020-09-30 14:57:12,2020-09-30 15:02:22,2020-09-30 14:57:12,,,,,,,Christus und das Imperium,,,,,Lit Verlag,Berlin,German,,,,,,,,,C:\Users\lewc\Zotero\storage\RY8Q94KH\fulldisplay.pdf,,,,,,"Plonz, Sabine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT7XM29,book,2009,"Rieger, Jeorg",Cristo e Império: de Paulo aos tempos pós-coloniais,,,,,,,2009,2020-09-30 15:02:53,2020-09-30 15:04:29,,,,,,,,,,,,,Editora Paulus,Sao Paulo,,,,,,,,,,,,,,,,Luiz Alexandre Solano Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
