accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1988.033b,und,"A
LINKE
06200,00
అ ఆ
go
0000000000
3 B
villes Filte
200
200
label
JD DOORNOOOOO ఐ టి ఐ పో
18ిర౦భి౦ge00000000
E EDN ద ద ద దా B DD D
00000
decem
BEBEBEB
౦౦అ౦అ౦౦౦_______bఆ
B BB
godolo
2334
88
రాoధ్ర
balaala
ణ ణ 3 ది
పొందండి
Lift
3డు
T
HLO
రిపొతొందిం
౦౦౦౦౦pee
Q)
ఏజెజె
౦భి౦భి౦GE
ooo
TRIVIA
GoGo ®
LOODOOD O
0౦0౦౦
CUT
Juges
Boo
C D E E E CO
పొ౦ది౦చా౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦౦001
******************
ఇ3 3 0
౦౦అ౦భ౦బంధిం©ంది
ఐఐఐఐది.
ORDERE
•©ooD00000000
Quotage
ooooo
600008 హంంమంచి
0000
Gadoo
BE
మా స
మా స
Cooooooooooo.
తెమలి
20000
Coddes
WE
ఐ ఐOOK ఐ టి జ్ఞాప.3 ఓటరు
ఐRRROR ణ డ
ఏంటి సంద",-0.0033715441672285905,1.0101146325016859,0.093,0.978,-5,1498,93,978
1988.033b,,A,0.9285232636547539,0.9487525286581254,0.87,0.882,1377,1407,870,882
1988.033b,,LINKE,0.8941335131490222,0.9932569116655429,0.787,0.745,1326,1473,787,745
1988.033b,,"06200,00",0.9932569116655429,0.8954821308159137,0.721,0.759,1473,1328,721,759
1988.033b,,అ,0.987862440997977,0.9797707349966285,0.669,0.654,1465,1453,669,654
1988.033b,,ఆ,0.9790964261631827,0.9710047201618341,0.675,0.66,1452,1440,675,660
1988.033b,,go,0.8968307484828051,0.8752528658125421,0.742,0.735,1330,1298,742,735
1988.033b,,0000000000,0.9885367498314228,0.8725556304787593,0.541,0.607,1466,1294,541,607
1988.033b,,3,0.9979770734996628,0.9824679703304113,0.513,0.493,1480,1457,513,493
1988.033b,,B,0.8671611598111936,0.8381658799730276,0.605,0.594,1286,1243,605,594
1988.033b,,villes,0.9730276466621712,0.9480782198246797,0.223,0.226,1443,1406,223,226
1988.033b,,Filte,0.9460552933243426,0.9238031018206339,0.239,0.242,1403,1370,239,242
1988.033b,,200,0.8631153068105192,0.8806473364801078,0.659,0.657,1280,1306,659,657
