accession_number,status,description,image_url,gpt_description,total_tokens,elapsed_time
1957.016,uploaded,Bird,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:58.067159999999994,8.812054,34.27004,45.136025999999994/full/0/default.jpg",,,
1957.016,uploaded,Bird,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:10.899275,37.10147,44.368565000000004,24.159690000000005/full/0/default.jpg",,,
1957.016,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.016.jpg/pct:10.8882256,37.286702,44.4598144,25.251081000000003/full/0/default.jpg",,,
1969.015,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1969%2F1969.015.jpg/pct:0.5742904,3.5241976,97.5593496,93.4517784/full/0/default.jpg",,,
1970.020,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:24.462424,70.50305999999999,17.757718,14.10981/full/0/default.jpg",,,
1970.020,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:42.930338,63.58399,20.277592,23.779235/full/0/default.jpg",,,
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:70.93368,74.86102,9.54874,15.595305000000003/full/0/default.jpg",,,
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:61.873405999999996,72.86717,11.091119000000004,16.76852999999999/full/0/default.jpg",,,
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:86.02936,54.841150000000006,9.264780000000005,25.34837999999999/full/0/default.jpg",,,
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:5.684367,73.99654,12.354496,11.537249999999998/full/0/default.jpg",,,
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:5.684367,73.99654,12.354496,11.537249999999998/full/0/default.jpg",,,
1970.020,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1970%2F1970.020.tif/pct:80.70796,40.159901999999995,8.777679999999998,12.490868000000004/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:43.142045,65.54276,8.628204999999994,20.53121/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:54.074347,68.812555,15.453013000000004,16.071655000000007/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:29.563388000000003,61.01746,5.933789000000001,16.695963999999996/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:72.30044,72.41118,8.498090000000003,10.241293000000006/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:85.30546,61.675406,6.306252999999995,14.631884000000007/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:12.883863000000002,44.873372,8.415845,18.590498/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:22.759505,44.720578,6.6415169999999994,19.199202000000003/full/0/default.jpg",,,
1971.043,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971-043.tif/pct:70.88666,60.20818,12.79728,7.427419999999996/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:74.634457,16.51916,22.882612999999996,73.998593/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:62.12036,11.811534,9.170580000000006,16.622388/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:56.207260000000005,26.10811,13.827820000000003,29.418176000000003/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:29.751948,26.23376,17.525538,55.03382299999999/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:10.453168,24.817438,17.614594,70.665579/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:42.162988,46.672067,34.767492,45.869963/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:1.9136792,23.018013,16.1192638,70.744891/full/0/default.jpg",,,
1971.050,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:23.243456000000002,30.89037,11.018437999999996,48.366933/full/0/default.jpg",,,
1971.050,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:55.87576,29.150917999999997,14.266414000000005,27.825102000000008/full/0/default.jpg",,,
1971.050,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1971%2F1971.050.tif/pct:12.929319,31.735143,15.205893999999997,60.959472999999996/full/0/default.jpg",,,
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:22.739553,35.606673,22.884687,20.938997000000004/full/0/default.jpg",,,
1972.067,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:34.53206,9.035181,20.693545,10.370843999999998/full/0/default.jpg",,,
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:40.657568,35.674383999999996,24.391441999999998,22.311606/full/0/default.jpg",,,
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:39.595746999999996,28.636235,12.690933,13.665094999999999/full/0/default.jpg",,,
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:0.12811945,41.70818,35.702340549999995,51.96033/full/0/default.jpg",,,
1972.067,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1972%2F1972-067.tif/pct:59.83674,36.98236,38.89909,54.56709600000001/full/0/default.jpg",,,
1979.0911P,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0911.med.jpg/pct:31.651148000000003,53.234106000000004,37.771762,21.436179/full/0/default.jpg",,,
