qid,depicted object
Q106582610,ducks|lotus
Q106582612,bicyclist
Q106582613,
Q106582614,
Q106582615,geometric designs
Q106582616,ivory handle
Q106582617,
Q106582653,old men|brocade pattern|lotus forms
Q106582654,landscape|figures
Q106582656,16-Petalled Chrysanthemum
Q106582657,fence|flowers|butterflies
Q106582659,Taoist Immortals|pavilion|deer|crane|conch shell
Q106582660,Mythical Beast
Q106582661,Hotei
Q106582662,
Q106582664,cranes
Q106582665,
Q106582666,
Q106582668,
Q106582669,partridge feather mottles
