qid,label,title1,language1,probability1,title2,language2,probability2
Q102963242,Chimbote vessel,Chimbote vessel,af,0.569663520008865,,,0
Q102964318,Ding (vessel),Ding (vessel),af,0.999994949611826,,,0
Q102967886,Large Green Swiss,Large Green Swiss,af,0.999994085826364,,,0
Q102969484,Painted lidded jar (sawankhalok ware),Painted lidded jar (sawankhalok ware),af,0.57142693448069,,,0
Q102970636,Ruins,Ruins,af,0.999996438598756,,,0
Q102971448,Shoes,Shoes,af,0.571427003055939,,,0
Q102973547,Studie 334,Studie 334,af,0.999995938426303,,,0
Q102973555,Studie 334b,Studie 334b,af,0.999996081708852,,,0
Q102973563,Studie 382,Studie 382,af,0.999996184406201,,,0
Q102973570,Studie 64,Studie 64,af,0.999994879450944,,,0
Q102976678,Vestal Virgins Making an Offering,Vestal Virgins Making an Offering,af,0.428570751056177,,,0
Q103296889,Angel Posed,Angel Posed,af,0.714282340382895,,,0
Q103299231,Dialog der Diana (Dialogue of Diana),Dialog der Diana,af,0.714282717276294,Dialogue of Diana,en,0.857142833192029
Q103301934,Kangxi ware vase,Kangxi ware vase,af,0.857140064215222,,,0
Q103302091,Kidney-Shaped Suiteki (water dropper),Kidney-Shaped Suiteki (water dropper),af,0.714284896191628,,,0
Q103305936,Noema,Noema,af,0.503443452072782,,,0
Q103306763,Poppies in Oriental Bowl,Poppies in Oriental Bowl,af,0.714282929008436,,,0
Q105091637,Barenaked Ladies,Barenaked Ladies,af,0.999996719033008,,,0
Q105092079,Russe,Russe,af,0.999995092259676,,,0
Q105096003,Poppies,Poppies,af,0.714284026893802,,,0
Q106568528,Driekoningenverf (Three Kings Painting),Driekoningenverf (Three Kings Painting),af,0.857138223282027,,,0
Q106577437,Studie 288,Studie 288,af,0.999995658515027,,,0
Q106582671,Doucai ware jardiniere,Doucai ware jardiniere,af,0.714281846457727,,,0
Q102964735,Elegant Lovers,Elegant Lovers,ca,0.999996326066976,,,0
Q102964812,"Estima els que viuen amb la SIDA [many other languages, too] SIDA","Estima els que viuen amb la SIDA [many other languages, too] SIDA",ca,0.99999590020569,,,0
Q102966497,"Irriguible, Galeria Carl van der Voort, Ibiza","Irriguible, Galeria Carl van der Voort, Ibiza",ca,0.571427276408983,,,0
Q102968719,Mort de la Madeleine,Mort de la Madeleine,ca,0.857137540457418,,,0
Q102969994,Pour Etre Empereur l'Occident,Pour Etre Empereur l'Occident,ca,0.99999474294805,,,0
Q102970380,Revival Ramp,Revival Ramp,ca,0.571427314167795,,,0
Q102973849,Tàpies Comunicacio sobre el mur/Tàpies Communication sur le mur (Communication on the Wall),Tàpies Comunicacio sobre el mur/Tàpies Communication sur le mur,ca,0.714284310482775,Communication on the Wall,en,0.999996928567401
Q102975128,Til Eulenspiegel: Cardinals at Altar,Til Eulenspiegel: Cardinals at Altar,ca,0.999995434711044,,,0
Q102976381,"Untitled, from Galería Carl Van der Voort, Mini Collección","Untitled, from Galería Carl Van der Voort, Mini Collección",ca,0.714282867572005,,,0
Q103298155,"Castelldefels, from Fotografias de los Anõs 40, Volumen I","Castelldefels, from Fotografias de los Anõs 40, Volumen I",ca,0.571427520996391,,,0
Q103299206,"Dia Del Mibre: 23 abril 1989, Generalitat de Catalunya, Department de Cultura","Dia Del Mibre: 23 abril 1989, Generalitat de Catalunya, Department de Cultura",ca,0.999994992000177,,,0
Q103299486,Eclipse,Eclipse,ca,0.999994806461534,,,0
Q103299645,Et de la Rollana (Nanny's Boy),Et de la Rollana,ca,0.599433724284648,Nanny's Boy,en,0.714282608688588
Q103300404,"Galeria Carl van der Voort  Plaça tur.1 Palau, 13-Ibiza  maig-juny 1972/ Miró Homenatage a Joan Prats (Dedicated poster)","Galeria Carl van der Voort  Plaça tur.1 Palau, 13-Ibiza  maig-juny 1972/ Miró Homenatage a Joan Prats (Dedicated poster)",ca,0.857141482291259,,,0
Q103304660,"Lloret de Mar, from Fotografias de los Anõs 40, Volumen I","Lloret de Mar, from Fotografias de los Anõs 40, Volumen I",ca,0.723571644571364,,,0
Q103304850,"Magnum Gregorium, after Annibale Carracci","Magnum Gregorium, after Annibale Carracci",ca,0.64207930809979,,,0
Q103305443,"Montgat, from Fotografias de los Anõs 40, Volumen I","Montgat, from Fotografias de los Anõs 40, Volumen I",ca,0.714282707147205,,,0
Q103305554,Mrs. Damencian,Mrs. Damencian,ca,0.857263096093364,,,0
Q103306172,Ornament designs,Ornament designs,ca,0.999993780023852,,,0
Q103306465,"Pencils, 5 Cents","Pencils, 5 Cents",ca,0.999994964007888,,,0
Q103306587,"Planeta Esport / Antic Mercat del born Barcelona, 1989, Olimpiada Cultural 13 maig - 23 juliol 1989","Planeta Esport / Antic Mercat del born Barcelona, 1989, Olimpiada Cultural 13 maig - 23 juliol 1989",ca,0.99999504138939,,,0
Q103306730,Plume a la Mer,Plume a la Mer,ca,0.85713923491276,,,0
Q103310472,Tomb Model: House,Tomb Model: House,ca,0.714281777280998,,,0
Q103312537,Xénia,Xénia,ca,0.999994257602349,,,0
Q103551108,Serial Objects,Serial Objects,ca,0.997179786231369,,,0
Q103551137,Unidentified Models,Unidentified Models,ca,0.571426534941846,,,0
Q104032145,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.714284053857566,,,0
Q104032147,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.999993544798364,,,0
Q104032148,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.857140251847891,,,0
Q104032150,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.9999956832229,,,0
Q104032152,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.857138917876759,,,0
Q104032156,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.714282786953021,,,0
Q104032158,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.999995165028333,,,0
Q104032161,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.999994858365776,,,0
Q104032163,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.999995883150471,,,0
Q104032164,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.714282125504283,,,0
Q104032167,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.857136803824822,,,0
Q104032168,Llambrec Material (Material Glance),Llambrec Material (Material Glance),ca,0.999995414573867,,,0
Q104032218,"Park Güell, Gaudí from Fotografias de los Anõs 40, Volumen I","Park Güell, Gaudí from Fotografias de los Anõs 40, Volumen I",ca,0.857138760701105,,,0
Q104032219,"Park Güell, Gaudí from Fotografias de los Anõs 40, Volumen I","Park Güell, Gaudí from Fotografias de los Anõs 40, Volumen I",ca,0.857138418009632,,,0
Q105091586,"Acisclo Escultura, Galeria Carl van der Voort, Ibiza","Acisclo Escultura, Galeria Carl van der Voort, Ibiza",ca,0.714281175567244,,,0
Q105091587,"Acisclo Escultura, Galeria Carl van der Voort, Ibiza","Acisclo Escultura, Galeria Carl van der Voort, Ibiza",ca,0.856953927931103,,,0
Q105091610,"Anita Gibson, Galeria Carl van der Voort, Ibiza","Anita Gibson, Galeria Carl van der Voort, Ibiza",ca,0.558793341269216,,,0
Q105091620,ars documenta,ars documenta,ca,0.99999626020804,,,0
Q105091871,Incident at My Lai,Incident at My Lai,ca,0.999993540217478,,,0
Q105092008,Panoramic Figres,Panoramic Figres,ca,0.999993882348696,,,0
Q105092104,Six Rods,Six Rods,ca,0.857140896852731,,,0
Q105092236,"Tur Costa, Galeria Carl van der Voort, Ibiza","Tur Costa, Galeria Carl van der Voort, Ibiza",ca,0.714284284717028,,,0
Q105095849,Celestial Zipper,Celestial Zipper,ca,0.714076973457983,,,0
Q105095909,"La Bruixa Catalana: Aplec de casos de bruixeria, creences i supersticions recollits a Catalunya a l'entorn dels anys 1864 a 1915 (Dedicated book)","La Bruixa Catalana: Aplec de casos de bruixeria, creences i supersticions recollits a Catalunya a l'entorn dels anys 1864 a 1915 (Dedicated book)",ca,0.999996317502388,,,0
Q105096034,Coeperat Aprili Lucima evolvere cantus Maio quos repitit Nymphoe dum sertula nectunct,Coeperat Aprili Lucima evolvere cantus Maio quos repitit Nymphoe dum sertula nectunct,ca,0.571426578439885,,,0
Q105096064,"Echevaria, Botanical Gardens, Ann Arbor, MI","Echevaria, Botanical Gardens, Ann Arbor, MI",ca,0.999966245967084,,,0
Q106568478,Abstract Figure(s),Abstract Figure(s),ca,0.999258325506422,,,0
Q106568479,Actual Event,Actual Event,ca,0.999995027239306,,,0
Q106568485,Asmat River Plaque,Asmat River Plaque,ca,0.999995627277631,,,0
Q106577290,Backdrops Circa 1940s,Backdrops Circa 1940s,ca,0.999993336699125,,,0
Q106577303,"Castelldefels, from Fotografias de los Anõs 40, Volumen I","Castelldefels, from Fotografias de los Anõs 40, Volumen I",ca,0.999997651043723,,,0
Q106577372,"Lloret de Mar, from Fotografias de los Anõs 40, Volumen I","Lloret de Mar, from Fotografias de los Anõs 40, Volumen I",ca,0.571427460542616,,,0
Q106577405,Pax,Pax,ca,0.714282272496155,,,0
Q106577408,"Plate 15 from Bals Masqués (The Masked Balls) Fourth suite, 1859",Plate 15 from Bals Masqués,ca,0.999995941938778,The Masked Balls,en,0.999996633484713
Q102964650,Dusky Grouse,Dusky Grouse,cs,0.571427770279205,,,0
Q102975276,Toledo,Toledo,cs,0.85713797193716,,,0
Q103296819,An Idyll,An Idyll,cy,0.999993952146257,,,0
Q103298292,Chaire (tea caddy),Chaire (tea caddy),cy,0.571427302108937,,,0
Q103301306,Howdy Doody,Howdy Doody,cy,0.71428368427809,,,0
Q105092227,Todd Snider,Todd Snider,cy,0.999998913704937,,,0
Q106577338,Gordian Gill,Gordian Gill,cy,0.857138588446616,,,0
Q106582823,Satyr Head,Satyr Head,cy,0.857140058935303,,,0
Q102965994,Harbor Scene,Harbor Scene,da,0.857138818403668,,,0
Q102966235,Hundred Guilder Print,Hundred Guilder Print,da,0.999995406969799,,,0
Q102967952,"Le danger de manger, from Album du Siége","Le danger de manger, from Album du Siége",da,0.571426272055561,,,0
Q102969670,Pen and ink holder,Pen and ink holder,da,0.999993608497631,,,0
Q102976687,"Vestera, after Baern","Vestera, after Baern",da,0.999998370171151,,,0
Q105091790,Fille,Fille,da,0.999994809716866,,,0
Q106568622,Home,Home,da,0.533942246761168,,,0
Q102961667,Ansicht der Stodt Braunau am Innfluss,Ansicht der Stodt Braunau am Innfluss,de,0.999997738954014,,,0
Q102961862,Bacchus au Festin,Bacchus au Festin,de,0.714285323619971,,,0
Q102963263,Chinese Winter Landscape,Chinese Winter Landscape,de,0.571426734666272,,,0
Q102964298,Diane Hawkins and Her Daughter,Diane Hawkins and Her Daughter,de,0.999993871419102,,,0
Q102964312,Die Kunst der reinen Form,Die Kunst der reinen Form,de,0.999997909576591,,,0
Q102964488,Dish with blue underglaze,Dish with blue underglaze,de,0.571427392947708,,,0
Q102964574,DR-b,DR-b,de,0.857140418785158,,,0
Q102964625,Drum,Drum,de,0.999998203765108,,,0
Q102964843,Ezzelin Mourning Meduna,Ezzelin Mourning Meduna,de,0.857138397017694,,,0
Q102964885,Faerie Garden,Faerie Garden,de,0.999994024523141,,,0
Q102964889,Faliscan Red-Figure Bell Krater,Faliscan Red-Figure Bell Krater,de,0.857141482420231,,,0
Q102964894,Fames,Fames,de,0.999995551413645,,,0
Q102965870,"Grosser Ruhender (Large Reclining Man (literally, Large Recliner))","Grosser Ruhender (Large Reclining Man (literally, Large Recliner))",de,0.999994729143084,,,0
Q102966251,Ida Rubinstein,Ida Rubinstein,de,0.999997219622227,,,0
Q102966546,Izumi Bridge in Rain (Izumi-bashi no ame),Izumi Bridge in Rain,de,0.999995187968788,Izumi-bashi no ame,sw,0.571426796011509
Q102966775,Jüngling am Abend (Youth in the Evening),Jüngling am Abend,de,0.999996668380715,Youth in the Evening,en,0.999998768947524
Q102968309,Mädchen am Sonnenstrand (Maiden on Sunny Beach),Mädchen am Sonnenstrand,de,0.999993783951748,Maiden on Sunny Beach,cy,0.571426348223333
Q102968773,Mount Fuji,Mount Fuji,de,0.428570741747169,,,0
Q102969107,Nu Couche,Nu Couche,de,0.857139177696521,,,0
Q102969614,Paul Verlaine,Paul Verlaine,de,0.857138548253768,,,0
Q102969711,Petrus und die Magd (Peter and the Maid),Petrus und die Magd,de,0.999994889965868,Peter and the Maid,en,0.999997903370603
Q102970508,Richard III,Richard III,de,0.857140095082436,,,0
Q102970648,Rundhurst,Rundhurst,de,0.857138924914236,,,0
Q102970897,Sausage,Sausage,de,0.999994795911552,,,0
Q102973978,Tenderness (A),Tenderness (A),de,0.999994029850171,,,0
Q102974016,Teydelandschaft (Teide Landscape),Teydelandschaft (Teide Landscape),de,0.999995566595188,,,0
Q102975150,"Timiditas (fearfulness), after Marten De Vos","Timiditas (fearfulness), after Marten De Vos",de,0.857138554250043,,,0
Q102975448,"Tristitia (Sadness), after Marten De Vos","Tristitia (Sadness), after Marten De Vos",de,0.857139496843063,,,0
Q102975484,"Trostung (Consolation), from Genius, Zeitschrift für werdende und alte Kunst (Magazine for Emerging and Ancient Art), Year 2, no. 1","Trostung (Consolation), from Genius, Zeitschrift für werdende und alte Kunst (Magazine for Emerging and Ancient Art), Year 2, no. 1",de,0.999995695595035,,,0
