,accession_number,locale,description,qid,label_en,ratio,partial_ratio,prop,category,type,title
0,1986.011,en,rough-legged falcon,Q103307692,rough-legged falcon,100,100,1,,print,Rough-Legged Falcon
1,1995.030,en,buy war bonds,Q103298011,buy war bonds,100,100,1,,poster,Buy War Bonds
2,2005.012,en,spirit,Q105092113,spirit,100,100,1,,print,Spirit
3,2005.028,en,in technicolor,Q105091870,in technicolor,100,100,1,,poster,In Technicolor
4,2010.013,en,you're right and you know it and so should everyone else,Q102977536,you're right and you know it and so should everyone else,100,100,1,,poster,You're Right and You Know It and So Should Everyone Else
5,2016.006.3,en,pearl,Q105092015,pearl,100,100,1,,print,Pearl
6,1975.046,en,a group of carnations.,Q103296468,a group of carnations,98,100,0.98,,print,A Group of Carnations
7,1979.1186P,en,ringling bros and barnum & bailey circus see you at the greatest show on earth,Q102970529,"ringling bros and barnum & bailey circus: see you at ""the greatest show on earth""",98,97,1.01,,poster,"Ringling Bros and Barnum & Bailey Circus: See you at ""The Greatest Show on Earth"""
8,1979.0179,en,brother mathew preaching,Q103297805,brother matthew preaching,98,96,1.021,,print,Brother Matthew Preaching
9,1998.027,en,laus 87 adg fad,Q105091917,laus 87 adgfad,97,93,1.043,,poster,LAUS 87 ADGFAD
10,2016.005.13,en,every day 89 people die from gun violence 208 people are shot and survive kakeart,Q105091770,every day 89 people die from gun violence; 208 people are shot and survive,94,99,0.949,,poster,Every day 89 people die from gun violence; 208 people are shot and survive
11,2001.074,en,kav a drive i into the desert at night with cocktails in a thermos and paper cups is beautiful. da t,Q105091576,a drive into the desert at night with cocktails in a thermos and paper cups is beautiful,94,98,0.959,,poster,A Drive into the desert at Night with cocktails in a thermos and paper cups is Beautiful
12,2000.094,en,duane jarvis los flacos and featuring phil lee and danny kurtz country soul rock'n'roll from the u.s. a new glitterhouse record combo platter ,Q105091752,"duane jarvis and los flacos - featuring phil lee and danny kurtz, country soul rock 'n' roll from the u.s.a., new glitterhouse record ""combo platter""",94,92,1.022,,poster,"Duane Jarvis and Los Flacos - Featuring Phil Lee and Danny Kurtz, Country Soul Rock 'N' Roll from the U.S.A., New Glitterhouse Record ""Combo Platter"""
13,2016.005.14,en,3 women are killed every day by their intimate partners kakeart,Q105091565,3 women are killed every day by their intimate partners,93,100,0.93,,poster,3 women are killed every day by their intimate partners
14,2016.005.15,en,94% of women murder victims are killed by men they knew kakeart,Q105091571,94% of women murder victims are killed by men they knew,93,100,0.93,,poster,94% of women murder victims are killed by men they knew
15,1988.080,en,wigeon.,Q102977108,wigeon,92,100,0.92,,print,Wigeon
16,1996.010,en,"john bernard myers gallery 50 west 57 street new york ny recent paintings opening march 31, 1973 through april 26 elaine lustig cohen",Q103301859,"john bernard myers gallery 50 west 57 street new york ny, recent paintings opening march 31, 1973 through april 26 ",92,99,0.929,,poster,"John Bernard Myers Gallery 50 West 57 Street New York NY, Recent Paintings Opening March 31, 1973 through April 26 (Dedicated poster)"
17,1976.004,en,village of plums eb,Q102976764,village of plums,91,100,0.91,,print,Village of Plums
18,2016.005.12,en,every 17 minutes someone is shot and killed kakeart,Q105091769,every 17 minutes someone is shot and killed,91,100,0.91,,poster,Every 17 Minutes Someone is Shot and Killed
19,2008.160,en,fimm cambridge on the london & north eastern railway of england and scotland,Q102962924,"cambridge, london & north eastern railway of england and scotland",91,89,1.022,,poster,"Cambridge, London & North Eastern Railway of England and Scotland"
20,2001.078,en,grand ole opry tribute то тне country music ⓡ  hall of fame and museum may 19-2001 ,Q105091834,"grand ole opry tribute to the country music hall of fame and museum, may 19, 2001",89,89,1,,poster,"Grand Ole Opry Tribute to the Country Music Hall of Fame and Museum, May 19, 2001"
21,2000.097,en,"**  come dance into new century with donna the buffalo at skipper's smokehouse tampa, fla. dec.31st 9:00pm   ",Q105091705,"come dance into the new century with donna the buffalo, at skipper's smoke house - tampa, fla. - dec. 31st",88,90,0.978,,poster,"Come Dance into the New Century with Donna the Buffalo, At Skipper's Smoke House - Tampa, Fla. - Dec. 31st"
22,2001.028,en,cork n bottle string band wednesdays at ken's bar & grill 6t09pm ,Q105091714,"cork 'n bottle string band, wednesday's at ken's bar and grill",88,90,0.978,,poster,"Cork 'n Bottle String Band, Wednesday's at Ken's Bar and Grill"
23,2004.069,en,iron origin - gold - origin,Q102966489,iron-origin-gold-origin,88,78,1.128,,poster,Iron-Origin-Gold-Origin
24,2001.068,en,the legendary gladys knight at the historic ryman auditorium sunday march 4.2001 7:30 pm ,Q105092193,"the legendary gladys knight at the historic ryman auditorium, march 2, 2001",87,89,0.978,,poster,"The Legendary Gladys Knight at the Historic Ryman Auditorium, March 2, 2001"
25,1979.1200P,en,ringling bros barnum&bailey and the greatest show on earth,Q103307571,ringling bros and barnum & bailey circus; the greatest show on earth,87,78,1.115,,poster,Ringling Bros and Barnum & Bailey Circus; The Greatest Show on Earth
26,2016.005.20,en,america is not for sale vote while it still matters vote bernie sanders 2015 partial pres its,Q105091593,"america is not for sale, vote while it still matters, vote bernie sanders",86,97,0.887,,poster,"AMERICA IS NOT FOR SALE, VOTE WHILE IT STILL MATTERS, VOTE BERNIE SANDERS"
27,2000.099,en,jesse lee jones and brazilbilly traditional country music with a latin flair *in* person robert's western world da match show brint m.fred,Q105091879,"jesse lee jones and brazil billy - traditional country music with a latin flair, in person - robert's western world",86,95,0.905,,poster,"Jesse Lee Jones and Brazil Billy - Traditional Country Music with a Latin Flair, In Person - Robert's Western World"
28,2000.095,en,"27b-6 twenty-seven b stroke six ** appearing at* check out their new album ""mijumaanja"" http://27b-6.utm.edu ",Q105091564,"27b-6 twenty - seven b stroke six. appearing at- check out their new album ""mijumaanja""",85,95,0.895,,poster,"27B-6 twenty - seven b stroke six. Appearing at- Check out their new album ""MiJumAanJa"""
29,2001.003,en,location plan 2010,Q102968225,location plan,84,100,0.84,,print,Location Plan
30,1972.010,en,the burro station vekeze,Q103309598,the burro station,83,100,0.83,,print,The Burro Station
31,1995.047,en,montgomery millions of troops are on the move... is your trip necessary? office of defense transportation government pet-0,Q105091970,millions of troops are on the move - is your trip necessary - office of defense transportation,83,96,0.865,,poster,Millions of Troops are on the Move - Is Your Trip Necessary - Office of Defense Transportation
32,1979.0333P,en,e.p. : it is pitiable priskin,Q106577324,e.p.: it is pitiable,82,95,0.863,,print,E.P.: It is Pitiable
