RecordNumber,dimension,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,Language,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,part_of,SubjectLC,RelScriptureVerse,Subject,Institution,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,Collection,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
29428,3D,2022-06-20 18:51:52.0,2003-04-29 00:00:00.0,France,Stone,"Quatrefoil on the western exterior, depicting Amos' visions in which God speaks to Amos about the fig trees and vines being stripped bare by locusts. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,G2L,1220-1240,||||,,Public Domain,"20 A51 CND 14W,002 L2",Amos 4:9,Cathédrale d'Amiens,1405,,Amos' Visions of the Impending Devastation that God Speaks to Amos,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,,Vanderbilt University,on,Relief sculpture,,Amos (Biblical figure),Amiens,,Art in the Christian Tradition,71O131,,2,1220,999,Creative Commons BY-SA 4.0
29429,3D,2022-06-20 18:52:04.0,2003-04-29 00:00:00.0,France,Stone,"Quatrefoil on the western exterior depicting Amos' visions, in which Amos speaks with God. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,G1L,1220-1240,||||,,Educational Use Permitted,"20 A51 CND 14W,002 L2",,Cathédrale d'Amiens,1404,,Amos' Visions of the Impending Devastation that Amos Speaks to God,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,,Vanderbilt University,on,Relief sculpture,,Amos (Biblical figure),Amiens,,Art in the Christian Tradition,71O131,,2,1220,999,Creative Commons BY-SA 4.0
29399,3D,2022-06-20 17:22:21.0,2003-04-26 00:00:00.0,France,Wood,"Carving is part of extensive cycle of carvings in the choirstall seating in the cathedral, 1508-1519.<p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,Choir stall,1508-1519,||||,BAdvt04,Educational Use Permitted,,Luke 1:26-38,Cathédrale d'Amiens,1401,,"Annunciation, wood carving",Q106934,,||||,Annunciation to Mary,Vanderbilt University,on,Furniture,,,Amiens,,Art in the Christian Tradition,73A521,,2,1508,999,Creative Commons BY-SA 4.0
51544,3D,2022-06-19 16:09:41.0,2007-06-08 00:00:00.0,France,Glass,"Stained-glass composition by J. Le Breton (glass studio of Gaudin, Paris), 1933. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,Image donated by Jim Womack and Anne Richardson,120,,1508-1519,||||,BAdvt04,Educational Use Permitted,,Luke 1:26-38,Cathédrale d'Amiens,Amiens21,,"Annunciation, stained glass",Q106934,Christian art and symbolism -- France -- Amiens,||||,Annunciation to Mary,Vanderbilt University,on,Stained glass,"Le Breton, Jacques ; Gaudin, Jean","Mary, the mother of Jesus (Biblical figure)",Amiens,,Art in the Christian Tradition,73A521,,2,1508,12,Creative Commons BY-SA 4.0
29378,3D,2022-06-20 16:38:24.0,2003-04-26 00:00:00.0,France,Glass,"Bottom: Annuncation of the birth of Jesus to Mary by Gabriel; Top: Mary visits Elizabeth.Third Sunday in Advent, Year A:This image is of the Annunciation and Visitation, and it specifically connects with the lectionary reading of the Magnificat in Luke. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1930-1939,||||,BAdvt04|AVis,Educational Use Permitted,,Luke 1:26-38|Luke 1:39-45,Cathédrale d'Amiens,1351,,"Annunciation and Visitation, stained glass",Q106934,"Christian art and symbolism -- France -- Amiens -- Modern period, 1500-",||||,Annunciation to Mary|Visitation,Vanderbilt University,on,Stained glass,,"Mary, the mother of Jesus (Biblical figure) |Elizabeth (Biblical figure)",Amiens,,Art in the Christian Tradition,,,2,1930,999,Creative Commons BY-SA 4.0
29442,3D,2022-06-20 18:54:29.0,2003-04-29 00:00:00.0,France,Stone,"West facade, right portal.Third Sunday in Advent, Year A:This image is of the Annunciation and Visitation, and it specifically connects with the lectionary reading of the Magnificat in Luke. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,,1220-1240,||||,BAdvt04|AVis|BVis|CVis,Educational Use Permitted,"20 A51 CND 14W,002 K1",Luke 1:26-38|Luke 1:39-57,Cathédrale d'Amiens,1420,,"Annunciation and Visitation, stone sculpture",Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,Annunciation to Mary|Visitation,Vanderbilt University,on,Relief sculpture,,"Mary, the mother of Jesus (Biblical figure) |Elizabeth (Biblical figure)",Amiens,,Art in the Christian Tradition,73A521,,2,1220,1,Creative Commons BY-SA 4.0
29265,3D,2022-06-19 18:00:41.0,2003-04-26 00:00:00.0,France,Stone,"Quatrefoil on the western exterior depicting the annunciation of John the Baptist's birth to Zechariah while he is offering incense in the temple. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,F10U,1220-1240,||||,,Educational Use Permitted,"20 A51 CND 14W,002 K2",Luke 1:57-80,Cathédrale d'Amiens,1241,,Annunciation of the Birth of John to Zechariah,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,,Vanderbilt University,on,Relief sculpture,,"Zechariah, (Biblical figure, New Testament)",Amiens,,Art in the Christian Tradition,73A11,,2,1220,999,Creative Commons BY-SA 4.0
29266,3D,2022-06-19 18:00:57.0,2003-04-26 00:00:00.0,France,Stone,"Quatrefoil on the western exterior, depicting Zechariah and Elizabeth hearing with disbelief the angel's announcement of the coming birth of John the Baptist. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,F11U,1220-1240,||||,,Educational Use Permitted,"20 A51 CND 14W,002 K2",,Cathédrale d'Amiens,1242,,Zechariah and Elizabeth Reacting to the Annunciation of the Birth of John the Baptist,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,Angels,Vanderbilt University,on,Relief sculpture,,"Elizabeth (Biblical figure) |Zechariah, (Biblical figure, New Testament) |Gabriel (archangel)",Amiens,,Art in the Christian Tradition,73A13,,2,1220,999,Creative Commons BY-SA 4.0
29255,3D,2022-06-19 17:58:01.0,2003-04-26 00:00:00.0,France,Stone,"Quatrefoil on the western exterior depicting Elizabeth giving birth to John the Baptist - [possible misidentification] <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,,F10L,1220-1240,||||,,Educational Use Permitted,,,Cathédrale d'Amiens,1234,,Elizabeth Giving Birth to John the Baptist,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,Birth of John the Baptist,Vanderbilt University,on,Relief sculpture,,"Elizabeth (Biblical figure) |John, the Baptist (Biblical figure)",Amiens,,Art in the Christian Tradition,73A14,,2,1220,999,Creative Commons BY-SA 4.0
29358,3D,2022-06-20 16:33:14.0,2003-04-26 00:00:00.0,France,Mixed,"Painted medallion on the choir-screen, northside, depicting Elizabeth giving birth to John the Baptist, with Mary mother of Jesus present. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>",en,||||,image donated by Jim Womack and Anne Richardson,100,,1508-1519,||||,,Educational Use Permitted,,,Cathédrale d'Amiens,1332,,Birth of John the Baptist with Mary the Mother of Jesus,Q106934,"Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500",||||,Birth of John the Baptist,Vanderbilt University,on,Relief sculpture,,,Amiens,,Art in the Christian Tradition,73A14,,2,1508,999,Creative Commons BY-SA 4.0
