RecordNumber	dimension	DateUpdated	DateCreated	LocationCountry	MaterialMedium	Description	Language	RelScriptureChapter	CopyrightStatement	BibliographyLink	StaffNotes	DateCreation	RelScriptureBook	LectionaryLink	CopyrightStatus	RelICANumber	RelScripture	SubjectBuildingName	ImageLink	Unit	Title	SubjectLC	RelScriptureVerse	Subject	Institution	ImageAvailable	ObjectFunction	CreatorArtist	SubjectName	LocationCreationSite	LocationState	Collection	IconClassNumber	OriginalLocation	BCAD	SortDate	LectionaryRank	CopyrightPermission
58940		2022-06-19 14:53:17.0	2021-10-01 17:02:36.0	France	Glass	Stained-glass composition by J. Le Breton (glass studio of Gaudin, Paris), 1933. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p> PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: Jacques Le Breton and Jean Gaudin, <i>Annunciation.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58940<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>	en	||||	Image donated by Jim Womack and Anne Richardson	120		1508-1519	||||	BAdvt04			Luke 1:26-38	Cathédrale d'Amiens	CAnLobw51544		Annunciation	Christian art and symbolism -- France -- Amiens	||||	Annunciation to Mary	Vanderbilt University	on	Stained glass	Le Breton, Jacques ; Gaudin, Jean	Mary, the mother of Jesus (Biblical figure)	Amiens		Art in the Christian Tradition	73A521		2	1508	12	Creative Commons BY-SA 4.0
58982		2022-06-19 14:51:39.0	2021-10-06 15:04:13.0	France	Glass	Stained-glass composition by J. Le Breton (glass studio of Gaudin, Paris), 1933. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>	en	||||	Image donated by Jim Womack and Anne Richardson	120		1508-1519	||||	CAnLo			Luke 1:26-38	Cathédrale d'Amiens	CAnLobw51544		Annunciation	Christian art and symbolism -- France -- Amiens	||||	Annunciation to Mary	Vanderbilt University	on	Stained glass	Le Breton, Jacques ; Gaudin, Jean	Mary, the mother of Jesus (Biblical figure)	Amiens		Art in the Christian Tradition	73A521		2	1508	1	Creative Commons BY-SA 4.0
59365		2022-06-19 14:43:02.0	2022-02-04 06:42:23.0	France	Stone	Adoration of the Magi <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p> <p>PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: <i>Cathedral of St. Lazare, Autun, France -- Relief Sculpture.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=59365<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>	en	||||	Image donated by Jim Womack and Anne Richardson			1130	||||	AEpDy			Matthew 2:1-12	Saint-Lazare (Cathedral : Autun, France)	AEpDybw53920		Cathedral of St. Lazare, Autun, France -- Relief sculpture		||||	Adoration of the Magi	Vanderbilt University	on	Relief sculpture			Autun		Art in the Christian Tradition			2	1130	999	Creative Commons BY-SA 4.0
58953		2022-06-19 14:52:59.0	2021-10-01 17:38:21.0	France		Composition by J. Le Breton; glass studio of Gaudin, Paris. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p> PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: Jacques Le Breton and Jean Gaudin, <i>Christ addressing his disciples at the Last Supper.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58953<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>	en	||||	Image donated by Jim Womack and Anne Richardson			1933	||||	AHoly03			John 13:21-32|Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56	Cathédrale d'Amiens	BHoly03bw29385		Christ addressing his disciples at the Last Supper	Christian art and symbolism -- France -- Amiens -- Modern period, 1500-	||||	Passion of Jesus Christ: Last Supper	Vanderbilt University	on	Stained glass	Le Breton, Jacques ; Gaudin, Jean		Amiens		Art in the Christian Tradition	73D27		2	1933	1	Creative Commons BY-SA 4.0
58966		2022-06-19 14:51:25.0	2021-10-01 17:56:28.0	France	Stone	Beneath architectural canopy, Christ, book in left hand, right hand raised, standing on lion and dragon (west facade, central portal, trumeau figure) [ICAD] <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p> PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: <i>Christ Treading on Beasts.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58966<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>	en	||||	Image donated by Jim Womack and Anne Richardson	124		1220-1240	||||	BAdvt01		20 A51 CND 14W,001 A5		Cathédrale d'Amiens	BAdvt01bw29336		Christ Treading on Beasts	Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500	||||		Vanderbilt University	on	Relief sculpture		Jesus Christ (Biblical figure)	Amiens		Art in the Christian Tradition			2	1220	1	Creative Commons BY-SA 4.0
59083		2022-06-19 14:50:18.0	2021-11-07 10:11:44.0	France	Stone	"Beneath architectural canopy, Christ, book in left hand, right hand raised, standing on lion and dragon (west facade, central portal, trumeau figure) [ICAD] <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p>	PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: <i>Christ Triumphant.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=59083<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>"	en	||||	Image donated by Jim Womack and Anne Richardson	124		1220-1240	||||	BAdvt01		20 A51 CND 14W,001 A5		Cathédrale d'Amiens	BAdvt01bw29336		Christ Triumphant	Christian art and symbolism -- France -- Amiens -- Medieval, 500-1500	||||		Vanderbilt University	on	Relief sculpture		Jesus Christ (Biblical figure)	Amiens		Art in the Christian Tradition			2	1220	1	Creative Commons BY-SA 4.0
59358		2022-06-19 14:43:36.0	2022-02-04 06:01:49.0	France		"""In comparison to Levitical codes or rabbinic mishnoth, early Christian literature is frustratingly devoid of ethical specificity.  The synoptic command to love one's neighbor is vague and ambiguous, and only John ventures so far as to give specifics.  For the Johannine author, love is defined in terms of Christly imitation and self-sacrifice...In understanding what it means to love one another, Jesus presents himself as a model.  We should love others as Jesus loves us.  A simple enough command, to be sure, except that to love as Jesus does means self-sacrifice and death."" (Moss, 49)  Note: Candida R. Moss, here quoted from her work ""Other Christs"" (cited below) was named a winner of the 2011 John Templeton Award for Theological Promise. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p> PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: Jacques Le Breton, Jean Gaudin, <i>Christ washes the feet of the Apostles.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=59358<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>"	en	||||	Image donated by Jim Womack and Anne Richardson			1933	||||	CHoly04			John 13:1-17, 31b-35	Cathédrale d'Amiens	CHoly04bw29387		Christ washes the feet of the Apostles	Christian art and symbolism -- France -- Amiens -- Modern period, 1500-	||||	Footwashing|Jesus Washes Disciples Feet	Vanderbilt University	on	Stained glass	Le Breton, Jacques ; Gaudin, Jean	Jesus Christ (Biblical figure) |Apostles (Biblical figures)	Amiens		Art in the Christian Tradition	73D23		2	1933	1	Creative Commons BY-SA 4.0
58954		2022-06-19 14:52:39.0	2021-10-01 17:39:20.0	France		Stained-glass composition by J. Le Breton (glass studio of Gaudin, Paris), 1933. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p> PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: Jacques Le Breton and Jean Gaudin, <i>Crucifixion.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58954<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>	en	||||	Image donated by Jim Womack and Anne Richardson	120		1508-1519	||||	BHoly05			Matthew 26:14-27:66|Mark 14:1-15:47|Luke 22:14-23:56	Cathédrale d'Amiens	BHoly05bw51572		Crucifixion	Christian art and symbolism -- France -- Amiens	||||	Passion of Jesus Christ: Crucifixion of Jesus	Vanderbilt University	on	Stained glass	Le Breton, Jacques ; Gaudin, Jean		Amiens		Art in the Christian Tradition	73D641		2	1508	1	Creative Commons BY-SA 4.0
59049		2022-06-19 14:50:38.0	2021-10-25 15:38:36.0	United States		Narthex, Benton Chapel Tradition holds that he was the repentant thief on the cross on Golgatha.  He is unnamed in the canonical gospels. <p><p>Donated by The Vanderbilt Divinity Library, Nashville, TN.</p> <p>PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: Thomas Puryear Mims, <i>Dismas.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=59049<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>	en	||||	Image donated by Jim Womack and Anne Richardson			1964	||||	CRegn			Luke 23:33-43	Benton Chapel, Vanderbilt University	CRegnbw46048		Dismas		||||	Thief	Vanderbilt University	on		Mims, Thomas Puryear, 1906-1975	Dismas (Biblical and apocryphal figure)	Nashville	TN	Art in the Christian Tradition	73D6		2	1964	999	Creative Commons BY-SA 4.0
59084		2022-06-19 14:49:31.0	2021-11-07 10:34:19.0	France	Glass	Stained-glass composition by J. Le Breton (glass studio of Gaudin, Paris), 1933. <p><p>Donated by James T. Womack and Anne Richardson, Nashville, TN.</p><br><br> PLEASE USE THIS BRIEF CREDIT INFORMATION FOR FREE, NON-COMMERCIAL CONGREGATIONAL PRINTING: Jacques Le Breton and Jean Gaudin, <i>Jesus Heals the Lame.</i> http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=59084<br>FOR OTHER USES: Full credit information can be found below in the Copyright Source field. <br><br>	en	||||	Image donated by Jim Womack and Anne Richardson	120		1508-1519	||||	BEpip04			John 5:1-9	Cathédrale d'Amiens	BEpip04bw51562		Jesus Heals the Lame	Christian art and symbolism -- France -- Amiens	||||	Healing	Vanderbilt University	on	Stained glass	Le Breton, Jacques ; Gaudin, Jean		Amiens		Art in the Christian Tradition	73C46		2	1508	1	Creative Commons BY-SA 4.0
