unique_identifier,author,editor,translator,referenceUrl,stated_in
7ABPA2C5,"[{""orcid"": """", ""givenName"": ""Choon-Leong"", ""familyName"": ""Seow"", ""suffix"": """", ""affiliation"": []}]",[],[],,Q114403967
3BGG759M,"[{""orcid"": """", ""givenName"": ""Choon-Leong"", ""familyName"": ""Seow"", ""suffix"": """", ""affiliation"": []}]",[],[],,Q114403967
RXDAAUD4,"[{""orcid"": """", ""givenName"": ""James"", ""familyName"": ""Hudnut-Beumler"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Constance M"", ""familyName"": ""Furey"", ""suffix"": """", ""affiliation"": []}, {""orcid"": """", ""givenName"": ""Brian J"", ""familyName"": ""Matz"", ""suffix"": """", ""affiliation"": []}, {""orcid"": """", ""givenName"": ""Steven L"", ""familyName"": ""McKenzie"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
BPW7UJT3,"[{""orcid"": """", ""givenName"": ""Dale P"", ""familyName"": ""Andrews"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Cynthia A"", ""familyName"": ""Jarvis"", ""suffix"": """", ""affiliation"": []}, {""orcid"": """", ""givenName"": ""E Elizabeth"", ""familyName"": ""Johnson"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
VVK5A6FU,"[{""orcid"": """", ""givenName"": ""Ellen T"", ""familyName"": ""Armour"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""St\u00e5le Johannes"", ""familyName"": ""Kristiansen"", ""suffix"": """", ""affiliation"": []}, {""orcid"": """", ""givenName"": ""Svein"", ""familyName"": ""Rise"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
BZP9WE3N,"[{""orcid"": """", ""givenName"": ""Fernando F"", ""familyName"": ""Segovia"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Jonathan"", ""familyName"": ""Tan"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
HRX36ZRT,"[{""orcid"": """", ""givenName"": ""Amy-Jill"", ""familyName"": ""Levine"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Gail"", ""familyName"": ""O'Day"", ""suffix"": """", ""affiliation"": []}, {""orcid"": """", ""givenName"": ""David"", ""familyName"": ""Peterson"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
X4AK8Q56,"[{""orcid"": """", ""givenName"": ""Choon-Leong"", ""familyName"": ""Seow"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Michael David Newsom"", ""familyName"": ""Coogan"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
X8KED8FF,"[{""orcid"": """", ""givenName"": ""Douglas A"", ""familyName"": ""Knight"", ""suffix"": """", ""affiliation"": []}]",[],[],,Q114403967
IQFIVJJD,"[{""orcid"": """", ""givenName"": ""Amy-Jill"", ""familyName"": ""Levine"", ""suffix"": """", ""affiliation"": []}]",[],[],,Q114403967
4KJTHW3S,"[{""orcid"": """", ""givenName"": ""Fernando F"", ""familyName"": ""Segovia"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Rasiah S"", ""familyName"": ""Sugirtharajah"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
K9CZJPF6,"[{""orcid"": """", ""givenName"": ""M Douglas"", ""familyName"": ""Meeks"", ""suffix"": """", ""affiliation"": []}]",[],[],,Q114403967
3Q8U5QAQ,"[{""orcid"": """", ""givenName"": ""Emilie M"", ""familyName"": ""Townes"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Christie Cozad"", ""familyName"": ""Neuger"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
W7265AJM,"[{""orcid"": """", ""givenName"": ""Fernando F"", ""familyName"": ""Segovia"", ""suffix"": """", ""affiliation"": []}]","[{""orcid"": """", ""givenName"": ""Fernando F"", ""familyName"": ""Segovia"", ""suffix"": """", ""affiliation"": []}, {""orcid"": """", ""givenName"": ""Mary Ann"", ""familyName"": ""Tolbert"", ""suffix"": """", ""affiliation"": []}]",[],,Q114403967
