RecordNumber,filename,template_type,artist,author,title,description,depicted people,depicted place,date,medium,dimensions,institution,department,accession number,place of creation,place of discovery,object history,exhibition history,credit line,inscriptions,notes,references,source,permission,other_versions,wikidata,other fields,other versions,photographer,camera coord,attribution,collection,genre,object type,source/photographer,current location
54805,"'Abraham Leading Isaac to Sacrifice', oil on copper painting by Domenichino.JPG",artwork,"[""Domenichino"", ""(1581\u20131641)"", ""Alternative names"", ""Domenico Zampieri"", ""Description"", ""Italian painter and architect"", ""Date of birth/death"", ""21 October 1581"", ""6 April 1641 / 16 April 1641"", ""Location of birth/death"", ""Bologna"", ""Naples"", ""Work location"", ""Rome"", "","", ""Bologna"", "","", ""Naples"", ""Authority control"", "":"", ""Q320118"", ""VIAF"", "":"", ""56618267"", ""ISNI"", "":"", ""0000 0001 2134 0539"", ""ULAN"", "":"", ""500018832"", ""LCCN"", "":"", ""n82028279"", ""WGA"", "":"", ""DOMENICHINO"", ""WorldCat"", ""artist QS:P170,Q320118""]",[],[],"[""English:"", ""Abraham Leading Isaac to Sacrifice""]",[],[],"[""1602"", ""date QS:P571,+1602-00-00T00:00:00Z/9""]","[""oil"", ""on"", ""copper"", ""medium QS:P186,Q296955;P186,Q753,P518,Q861259""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Kimbell Art Museum"", ""Native name"", ""Kimbell Art Museum"", ""Location"", ""Fort Worth"", "","", ""Texas"", ""Coordinates"", ""32\u00b0\u00a044\u2032\u00a054\u2033\u00a0N, 97\u00b0\u00a021\u2032\u00a055\u2033\u00a0W"", ""Established"", ""1972"", ""Web page"", ""www.kimbellart.org"", ""Authority control"", "":"", ""Q1741629"", ""VIAF"", "":"", ""148545856"", ""ISNI"", "":"", ""0000 0004 0402 048X"", ""ULAN"", "":"", ""500305329"", ""LCCN"", "":"", ""n79021847"", ""NLA"", "":"", ""35270928"", ""WorldCat"", ""institution QS:P195,Q1741629""]",[],[],"[""\nKimbell Art Museum""]",[]
56951,'Adam's Creation Sistine Chapel ceiling' by Michelangelo JBU33cut.jpg,information,[],"[""J\u00f6rg Bittner Unna""]",[],"[""Deutsch:"", ""Die Erschaffung Adams, Decke der Sixtinischen Kapelle, Michelangelo, Rom, Vatikan"", ""English:"", ""Creation of Adam, fresco painted by Michelangelo (1475-1564), Sistine Chapel Ceiling (1508-1512) Rome, Vatican""]",[],[],"[""\n16 August 2011, 13:41:04""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
57427,"'Butterfly and Wild Rose' by Shibata Zeshin, 1885, Honolulu Museum of Art, 4658.1.JPG",information,[],"[""Shibata Zeshin"", ""(1807\u20131891)"", ""Alternative names"", ""Zeshin Shibata; Tairy\u016bkyo; Tanzen; Junz\u014d; Koma; Zeshin; Reisai"", ""Description"", ""Japanese painter"", ""Date of birth/death"", ""15 March 1807"", ""13 July 1891"", ""Location of birth/death"", ""Ry\u014dgoku"", ""Asakusa-ku"", ""Work period"", ""1891"", ""Work location"", ""Japan"", ""Authority control"", "":"", ""Q2386947"", ""VIAF"", "":"", ""33282205"", ""ISNI"", "":"", ""0000 0000 8218 1749"", ""ULAN"", "":"", ""500325954"", ""LCCN"", "":"", ""n79118138"", ""Open Library"", "":"", ""OL1319132A"", ""WorldCat"", ""creator QS:P170,Q2386947""]",[],"[""Butterfly and Wild Rose"", ""by Shibata Zeshin, 1885, lacquer on paper, 7 3/8 x 6 1/2 in., Honolulu Museum of Art, accession 4658.1""]",[],[],"[""\n1885""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]","[""Public domain"", ""Public domain"", ""false"", ""false"", ""This work is in the"", ""public domain"", ""in its country of origin and other countries and areas where the"", ""copyright term"", ""is the author's"", ""life plus 100 years or fewer"", ""."", ""You must also include a"", ""United States public domain tag"", ""to indicate why this work is in the public domain in the United States."", ""This file has been identified as being free of known restrictions under copyright law, including all related and neighboring rights."", ""https://creativecommons.org/publicdomain/mark/1.0/"", ""PDM"", ""Creative Commons Public Domain Mark 1.0"", ""false"", ""false""]",[],[],[],[],[],[],[],[],[],[],[],[]
58793,"'Christ Interred' from the Philippines, 17th-18th century, Honolulu Museum of Art.JPG",information,[],"[""Hiart""]",[],"[""English:"", ""Christ Interred"", ""from the Philippines, 17th-18th century, wood with traces of gesso and pigment, silver crown of thorns, Honolulu Museum of Art accession 5026.1""]",[],[],"[""\nTaken in\u00a02016""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
50629,"'David Playing the Harp before Saul' by Lucas van Leyden, Honolulu Museum of Art.JPG",information,[],"[""Lucas van Leyden"", ""(1494\u20131533)"", ""Alternative names"", ""Lucas van Leiden, Lucas van Leijden, Lucas Hugensz. van Leyden,"", ""Luca d'Olanda, Lucas Iacobsz., Lucas Jacobsz."", ""Description"", ""Dutch painter, drawer, engraver and wood carver"", ""Date of birth/death"", ""1494"", ""1533"", ""Location of birth/death"", ""Leiden"", ""Leiden"", ""Work period"", ""circa 1508-1533"", ""Work location"", ""Leiden"", ""Authority control"", "":"", ""Q320980"", ""VIAF"", "":"", ""95809141"", ""ISNI"", "":"", ""0000 0003 5543 7835"", ""ULAN"", "":"", ""500020789"", ""LCCN"", "":"", ""n79043330"", ""NLA"", "":"", ""35570589"", ""WorldCat"", ""creator QS:P170,Q320980""]",[],"[""English:"", ""David Playing the Harp before Saul"", ""by Lucas van Leyden, copper engraving, c. 1508, Honolulu Museum of Art, accession 10607""]",[],[],"[""circa 1508"", ""date QS:P,+1508-00-00T00:00:00Z/9,P1480,Q5727902""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
56961,"'Freedman', plaster sculpture by John Quincy Adams Ward,.JPG",information,[],"[""Wmpearl""]",[],"[""English:"", ""Freedman"", "", plaster sculpture by John Quincy Adams Ward, 1863, Pennsylvania Academy of the Fine Arts""]",[],[],"[""\nTaken in\u00a02012""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
55420,"'Hands Across the Divide' sculpture, Derry.jpg",information,[],"[""{{{1}}}""]",[],"[""\n'Hands Across the Divide' sculpture, Derry, by Maurice Harron""]",[],[],"[""\n19 November 2005, 13:03:20""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Flickr"", "":"", ""'Hands Across the Divide' sculpture""]","[""This image, which was originally posted to"", ""Flickr"", "", was uploaded to Commons using"", ""Flickr upload bot"", ""on 20 April 2012, 13:03 by"", ""NornIronphotos"", "". On that date, it was confirmed to be licensed under the terms of the license indicated."", ""This file is licensed under the"", ""Creative Commons"", ""Attribution 2.0 Generic"", ""license."", ""You are free:"", ""to share"", ""\u2013 to copy, distribute and transmit the work"", ""to remix"", ""\u2013 to adapt the work"", ""Under the following conditions:"", ""attribution"", ""\u2013 You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use."", ""https://creativecommons.org/licenses/by/2.0"", ""CC BY 2.0"", ""Creative Commons Attribution 2.0"", ""true"", ""true""]",[],[],[],[],[],[],[],[],[],[],[],[]
54282,"'Joseph's Dream', painting by Gaetano Gandolfi, c. 1790.jpg",artwork,"[""Gaetano Gandolfi"", ""(1734\u20131802)"", ""Alternative names"", ""San Matteo della Decima"", ""Description"", ""Italian painter"", ""Date of birth/death"", ""31 August 1734"", ""20 June 1802"", ""Location of birth/death"", ""San Giovanni in Persiceto"", ""Bologna"", "", Italy"", ""Work period"", ""Baroque"", ""Work location"", ""Bologna"", ""Authority control"", "":"", ""Q1491011"", ""VIAF"", "":"", ""69098170"", ""ISNI"", "":"", ""0000 0000 8344 4619"", ""ULAN"", "":"", ""500005315"", ""LCCN"", "":"", ""n88201880"", ""WGA"", "":"", ""GANDOLFI, Gaetano"", ""WorldCat"", ""artist QS:P170,Q1491011""]",[],"[""Joseph's Dream""]",[],[],[],"[""circa 1790"", ""date QS:P571,+1790-00-00T00:00:00Z/9,P1480,Q5727902""]","[""oil on canvas"", ""medium QS:P186,Q296955;P186,Q12321255,P518,Q861259""]","[""Height: 95 cm (37.4 in); Width: 76 cm (29.9 in)"", ""dimensions QS:P2048,95U174728"", ""dimensions QS:P2049,76U174728""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Private collection"", ""institution QS:P195,Q768717""]",[],"[""painting"", ""object_type QS:P31,Q3305213""]","[""Web Gallery of Art"", "":"", ""Image"", ""Info about artwork"", ""reference_wga QS:P973,\"""", ""http://www.wga.hu/html/g/gandolfi/gaetano/joseph_d.html"", ""\""""]",[]
55542,'Looking Up' at Withybush Hospital - geograph.org.uk - 925250.jpg,information,[],"[""ceridwen""]",[],"[""English:"", ""'Looking Up' at  Withybush Hospital Stone head by local artist John Cleal who died in 2007. The sculpture symbolizes optimism and faith in the future and was donated by the artist in recognition of the help received by him and his family from the hospital over the years.""]",[],[],"[""\n14 August 2008""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""From"", ""geograph.org.uk""]",[],[],[],[],[],[],[],"[""ceridwen\u00a0/\u00a0'"", ""Looking Up' at  Withybush Hospital"", ""/"", ""CC BY-SA 2.0""]",[],[],[],[],[]
58790,"'Our Lady of Sorrow' from the Philippines, Honolulu Museum of Art.JPG",information,[],"[""Hiart""]",[],"[""English:"", ""Our Lady of Sorrow"", ""from the Philippines, 19th-20th century, wood with pigment, Honolulu Museum of Art""]",[],[],"[""\nTaken in\u00a02012""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Own work""]",[],[],[],[],[],[],[],[],[],[],[],[],[]
