RecordNumber,qid,filename,commons_uri,commons_page_url
57836,Q70239131,Drawing of Abbie Sweetwine treating injured.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Drawing%20of%20Abbie%20Sweetwine%20treating%20injured.jpg,https://commons.wikimedia.org/wiki/File:Drawing_of_Abbie_Sweetwine_treating_injured.jpg
49613,Q28740109,Jan van Eyck 070.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Eyck%20070.jpg,https://commons.wikimedia.org/wiki/File:Jan_van_Eyck_070.jpg
58778,Q79990099,"Northern India, Uttar Pradesh, Allahabad, Mughal period - The Adoration of the Shepherds, from a Mirror of Holiness (Mir'at al-quds) - 2005.145.6 - Cleveland Museum of Art.tif",http://commons.wikimedia.org/wiki/Special:FilePath/Northern%20India%2C%20Uttar%20Pradesh%2C%20Allahabad%2C%20Mughal%20period%20-%20The%20Adoration%20of%20the%20Shepherds%2C%20from%20a%20Mirror%20of%20Holiness%20%28Mir%27at%20al-quds%29%20-%202005.145.6%20-%20Cleveland%20Museum%20of%20Art.tif,"https://commons.wikimedia.org/wiki/File:Northern_India,_Uttar_Pradesh,_Allahabad,_Mughal_period_-_The_Adoration_of_the_Shepherds,_from_a_Mirror_of_Holiness_(Mir%27at_al-quds)_-_2005.145.6_-_Cleveland_Museum_of_Art.tif"
55553,Q52228237,"Christ the True Vine icon (Athens, 16th century).jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20the%20True%20Vine%20icon%20%28Athens%2C%2016th%20century%29.jpg,"https://commons.wikimedia.org/wiki/File:Christ_the_True_Vine_icon_(Athens,_16th_century).jpg"
57280,Q41370,5201-king-david-in-prayer-pieter-de-grebber.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/5201-king-david-in-prayer-pieter-de-grebber.jpg,https://commons.wikimedia.org/wiki/File:5201-king-david-in-prayer-pieter-de-grebber.jpg
57436,Q49377,Christ feeding the multitude.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Christ%20feeding%20the%20multitude.jpg,https://commons.wikimedia.org/wiki/File:Christ_feeding_the_multitude.jpg
58829,Q29273401,Statue bourgeois calais rodin.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Statue%20bourgeois%20calais%20rodin.jpg,https://commons.wikimedia.org/wiki/File:Statue_bourgeois_calais_rodin.jpg
49636,Q87645685,Apostles Christ ivory Louvre OA3850.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Apostles%20Christ%20ivory%20Louvre%20OA3850.jpg,https://commons.wikimedia.org/wiki/File:Apostles_Christ_ivory_Louvre_OA3850.jpg
55005,Q29134514,Picnic tournai tapisserie.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Picnic%20tournai%20tapisserie.jpg,https://commons.wikimedia.org/wiki/File:Picnic_tournai_tapisserie.jpg
27238,Q87737739,Tree of Jesse Louvre OA10428.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tree%20of%20Jesse%20Louvre%20OA10428.jpg,https://commons.wikimedia.org/wiki/File:Tree_of_Jesse_Louvre_OA10428.jpg
46638,Q30594,Byzantinischer Mosaizist um 1020 001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Byzantinischer%20Mosaizist%20um%201020%20001.jpg,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1020_001.jpg
57440,Q46715773,Map3.3Trafficking compressed.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Map3.3Trafficking%20compressed.jpg,https://commons.wikimedia.org/wiki/File:Map3.3Trafficking_compressed.jpg
57420,Q4047,Mount Lushan - fog.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Lushan%20-%20fog.JPG,https://commons.wikimedia.org/wiki/File:Mount_Lushan_-_fog.JPG
46630,Q43675,Georges de La Tour 053.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20de%20La%20Tour%20053.jpg,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_053.jpg
57368,Q58555,Holy Spirit Seminary.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Holy%20Spirit%20Seminary.JPG,https://commons.wikimedia.org/wiki/File:Holy_Spirit_Seminary.JPG
54592,Q37084,John VI Kantakouzenos.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/John%20VI%20Kantakouzenos.jpg,https://commons.wikimedia.org/wiki/File:John_VI_Kantakouzenos.jpg
56825,Q14019,A snowstorm of stars.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/A%20snowstorm%20of%20stars.jpg,https://commons.wikimedia.org/wiki/File:A_snowstorm_of_stars.jpg
58618,Q4224666,Saabaghiberti.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Saabaghiberti.jpg,https://commons.wikimedia.org/wiki/File:Saabaghiberti.jpg
57285,Q4416778,Antonio Molinari David y Abigail.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Molinari%20David%20y%20Abigail.jpg,https://commons.wikimedia.org/wiki/File:Antonio_Molinari_David_y_Abigail.jpg
55661,Q5785920,Interior convento 3.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20convento%203.jpg,https://commons.wikimedia.org/wiki/File:Interior_convento_3.jpg
49955,Q5891723,Fiery furnace 01.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Fiery%20furnace%2001.jpg,https://commons.wikimedia.org/wiki/File:Fiery_furnace_01.jpg
55115,Q21074334,Ecce homo by Antonio Ciseri (1).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ecce%20homo%20by%20Antonio%20Ciseri%20%281%29.jpg,https://commons.wikimedia.org/wiki/File:Ecce_homo_by_Antonio_Ciseri_(1).jpg
53078,Q139797,Madaba Jerusalem Mosaic.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Madaba%20Jerusalem%20Mosaic.jpg,https://commons.wikimedia.org/wiki/File:Madaba_Jerusalem_Mosaic.jpg
57247,Q2318992,Todtnau - St. Jakobus der Ältere3.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Todtnau%20-%20St.%20Jakobus%20der%20%C3%84ltere3.jpg,https://commons.wikimedia.org/wiki/File:Todtnau_-_St._Jakobus_der_%C3%84ltere3.jpg
56178,Q2961394,Healing of the demon-possessed.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Healing%20of%20the%20demon-possessed.jpg,https://commons.wikimedia.org/wiki/File:Healing_of_the_demon-possessed.jpg
46626,Q128267,Georges de La Tour 048.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20de%20La%20Tour%20048.jpg,https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_048.jpg
54763,Q292242,Photina of Protat.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Photina%20of%20Protat.JPG,https://commons.wikimedia.org/wiki/File:Photina_of_Protat.JPG
47454,Q131737,Filippino Lippi 016.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Filippino%20Lippi%20016.jpg,https://commons.wikimedia.org/wiki/File:Filippino_Lippi_016.jpg
56580,Q241156,Tissot The Gathering of the Manna (color).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tissot%20The%20Gathering%20of%20the%20Manna%20%28color%29.jpg,https://commons.wikimedia.org/wiki/File:Tissot_The_Gathering_of_the_Manna_(color).jpg
49616,Q372381,Jan van Eyck 004.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Eyck%20004.jpg,https://commons.wikimedia.org/wiki/File:Jan_van_Eyck_004.jpg
48067,Q282220,Emile Jean Horace Vernet 001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Jean%20Horace%20Vernet%20001.jpg,https://commons.wikimedia.org/wiki/File:Emile_Jean_Horace_Vernet_001.jpg
55139,Q18191540,Nathan and David.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Nathan%20and%20David.jpg,https://commons.wikimedia.org/wiki/File:Nathan_and_David.jpg
58438,Q9352871,Stefan Lochner - Last Judgement - circa 1435.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Stefan%20Lochner%20-%20Last%20Judgement%20-%20circa%201435.jpg,https://commons.wikimedia.org/wiki/File:Stefan_Lochner_-_Last_Judgement_-_circa_1435.jpg
58435,Q186529,Narcissus-Caravaggio (1594-96) edited.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Narcissus-Caravaggio%20%281594-96%29%20edited.jpg,https://commons.wikimedia.org/wiki/File:Narcissus-Caravaggio_(1594-96)_edited.jpg
46655,Q602530,Gerard David 004.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20David%20004.jpg,https://commons.wikimedia.org/wiki/File:Gerard_David_004.jpg
46517,Q81240,Giovanni Antonio Pellegrini 001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Antonio%20Pellegrini%20001.jpg,https://commons.wikimedia.org/wiki/File:Giovanni_Antonio_Pellegrini_001.jpg
57678,Q20009111,MARC538fol5.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/MARC538fol5.jpg,https://commons.wikimedia.org/wiki/File:MARC538fol5.jpg
55579,Q3935981,Parma-cupola duomo.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Parma-cupola%20duomo.jpg,https://commons.wikimedia.org/wiki/File:Parma-cupola_duomo.jpg
54466,Q606424,Codex Washingtonensis W 032.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Codex%20Washingtonensis%20W%20032.JPG,https://commons.wikimedia.org/wiki/File:Codex_Washingtonensis_W_032.JPG
47842,Q309736,Fra Angelico 074.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20Angelico%20074.jpg,https://commons.wikimedia.org/wiki/File:Fra_Angelico_074.jpg
54822,Q671872,Sacrifice of Isaac-Caravaggio (c. 1603).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Sacrifice%20of%20Isaac-Caravaggio%20%28c.%201603%29.jpg,https://commons.wikimedia.org/wiki/File:Sacrifice_of_Isaac-Caravaggio_(c._1603).jpg
58325,Q3079224,Healing of a bleeding women Marcellinus-Peter-Catacomb.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Healing%20of%20a%20bleeding%20women%20Marcellinus-Peter-Catacomb.jpg,https://commons.wikimedia.org/wiki/File:Healing_of_a_bleeding_women_Marcellinus-Peter-Catacomb.jpg
46151,Q26256901,Jacopo del Conte 001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20del%20Conte%20001.jpg,https://commons.wikimedia.org/wiki/File:Jacopo_del_Conte_001.jpg
57412,Q457575,WestminsterAbbey-Martyrs.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/WestminsterAbbey-Martyrs.jpg,https://commons.wikimedia.org/wiki/File:WestminsterAbbey-Martyrs.jpg
56596,Q2089788,Weduwe met kind Lidi Buma Ossenmarkt Weesp v1.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Weduwe%20met%20kind%20Lidi%20Buma%20Ossenmarkt%20Weesp%20v1.JPG,https://commons.wikimedia.org/wiki/File:Weduwe_met_kind_Lidi_Buma_Ossenmarkt_Weesp_v1.JPG
55642,Q4068319,Philemon and Apphia.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Philemon%20and%20Apphia.jpg,https://commons.wikimedia.org/wiki/File:Philemon_and_Apphia.jpg
46635,Q199496,Byzantinischer Mosaizist um 705 002.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Byzantinischer%20Mosaizist%20um%20705%20002.jpg,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_705_002.jpg
47458,Q5464245,Folchard 001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Folchard%20001.jpg,https://commons.wikimedia.org/wiki/File:Folchard_001.jpg
54435,Q733890,"Interior of Basilica di Santa Prassede, Rome.JPG",http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20of%20Basilica%20di%20Santa%20Prassede%2C%20Rome.JPG,"https://commons.wikimedia.org/wiki/File:Interior_of_Basilica_di_Santa_Prassede,_Rome.JPG"
56672,Q7561125,Malnazar - Hannah before Eli the High Priest - Google Art Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Malnazar%20-%20Hannah%20before%20Eli%20the%20High%20Priest%20-%20Google%20Art%20Project.jpg,https://commons.wikimedia.org/wiki/File:Malnazar_-_Hannah_before_Eli_the_High_Priest_-_Google_Art_Project.jpg
57284,Q1341397,Michal Gustave Doré.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Michal%20Gustave%20Dor%C3%A9.jpg,https://commons.wikimedia.org/wiki/File:Michal_Gustave_Dor%C3%A9.jpg
47776,Q379691,Fra Angelico 032.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20Angelico%20032.jpg,https://commons.wikimedia.org/wiki/File:Fra_Angelico_032.jpg
54454,Q554947,"Monasterio de Tatev, Armenia, 2016-10-01, DD 86-88 HDR.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Monasterio%20de%20Tatev%2C%20Armenia%2C%202016-10-01%2C%20DD%2086-88%20HDR.jpg,"https://commons.wikimedia.org/wiki/File:Monasterio_de_Tatev,_Armenia,_2016-10-01,_DD_86-88_HDR.jpg"
